actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-10-31T23:10:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T23:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-31T23:10:45.7Z,1,REGULAR,jumpball,recovered,[],203648,,,1610612749,0,0,2021-10-31T23:10:45Z,40000,,,0,,Jump Ball G. Antetokounmpo vs. R. Gobert: Tip to T. Antetokounmpo,"[203648, 203507, 203497]",1610612749.0,MIL,startperiod,T. Antetokounmpo,203648.0,Antetokounmpo,T. Antetokounmpo,Antetokounmpo,203507.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2021-10-31T23:11:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201588,80.3712220762155,63.725490196078425,1610612749,0,0,2021-10-31T23:11:51Z,70000,69.0,132.0,1,right,MISS G. Hill 14' Jump Shot,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,14.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2021-10-31T23:11:12.2Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,0,0,2021-10-31T23:11:12Z,80000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M14.00S,2021-10-31T23:11:25.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,34.773324572930356,44.85294117647059,1610612762,0,3,2021-10-31T23:11:54Z,90000,26.0,274.0,1,left,D. Mitchell 27' 3PT  (3 PTS),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,27.56,Made,,,,,3.0,,,,,,,,,,,,,,
10,PT10M59.00S,2021-10-31T23:11:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203648,89.35611038107753,47.21200980392157,1610612749,0,3,2021-10-31T23:17:16Z,100000,-14.0,48.0,1,right,MISS T. Antetokounmpo cutting Layup - blocked,"[203648, 203497]",1610612749.0,MIL,cutting,,,Antetokounmpo,T. Antetokounmpo,,,,,4.96,Missed,,,,,,Gobert,203497.0,,,,,,,,,,,,
11,PT10M59.00S,2021-10-31T23:11:41.7Z,1,REGULAR,block,,[],203497,,,1610612749,0,3,2021-10-31T23:11:47Z,110000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2021-10-31T23:11:41.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,0,3,2021-10-31T23:11:57Z,120000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M47.00S,2021-10-31T23:11:53.4Z,1,REGULAR,3pt,Jump Shot,[],1626220,9.674770039421814,96.81372549019608,1610612762,0,6,2021-10-31T23:12:05Z,130000,-234.0,38.0,1,left,R. O'Neale 3PT  (3 PTS) (B. Bogdanovic 1 AST),"[1626220, 202711]",1610612762.0,UTA,,,,O'Neale,R. O'Neale,,,,,23.72,Made,,,,,3.0,,,B. Bogdanovic,202711.0,1.0,,,,,,,,,
15,PT10M30.00S,2021-10-31T23:12:09.6Z,1,REGULAR,3pt,Jump Shot,[],1628960,69.72733245729303,76.7156862745098,1610612749,3,6,2021-10-31T23:12:14Z,150000,134.0,232.0,1,right,G. Allen 26' 3PT  (3 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.78,Made,,,,,3.0,,,,,,,,,,,,,,
16,PT10M02.00S,2021-10-31T23:12:38.5Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612762,3,6,2021-10-31T23:12:45Z,160000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 203507]",1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,1.0,Antetokounmpo,203507.0,,,,,,
17,PT10M02.00S,2021-10-31T23:12:38.5Z,1,REGULAR,steal,,[],203507,,,1610612749,3,6,2021-10-31T23:12:41Z,170000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
