actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-02T00:11:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-02T00:11:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-02T00:11:41.0Z,1,REGULAR,jumpball,recovered,[],1629670,,,1610612749,0,0,2022-04-02T00:11:41Z,40000,,,0,,Jump Ball S. Ibaka vs. I. Zubac: Tip to J. Nwora,"[1629670, 201586, 1627826]",1610612749.0,MIL,startperiod,J. Nwora,1629670.0,Nwora,J. Nwora,Ibaka,201586.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2022-04-02T00:12:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,93.51182654402102,49.754901960784316,1610612749,2,0,2022-04-02T00:12:07Z,70000,-1.0,8.0,1,right,P. Connaughton driving Layup (2 PTS) (B. Portis 1 AST),"[1626192, 1626171]",1610612749.0,MIL,driving,,,Connaughton,P. Connaughton,,,,,0.86,Made,2.0,B. Portis,1626171.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2022-04-02T00:12:23.3Z,1,REGULAR,foul,personal,[],201586,,,1610612746,2,0,2022-04-02T00:12:40Z,90000,,,0,,S. Ibaka personal FOUL (1 PF),"[201586, 1627826]",1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,2882.0,1.0,0.0,Zubac,1627826.0,,,,,,,,,
11,PT11M11.00S,2022-04-02T00:12:46.3Z,1,REGULAR,3pt,Jump Shot,[],203496,31.61957950065703,34.31372549019608,1610612746,2,3,2022-04-02T00:12:51Z,110000,78.0,245.0,1,left,R. Covington 25' 3PT  (3 PTS) (I. Zubac 1 AST),"[203496, 1627826]",1610612746.0,LAC,,,,Covington,R. Covington,,,,,25.7,Made,3.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,
13,PT10M54.00S,2022-04-02T00:13:01.8Z,1,REGULAR,2pt,Jump Shot,[],1629670,79.97700394218134,33.57843137254902,1610612749,2,3,2022-04-02T00:13:33Z,130000,-82.0,136.0,1,right,MISS J. Nwora 15' pullup Shot,[1629670],1610612749.0,MIL,pullup,,,Nwora,J. Nwora,,,,,15.86,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2022-04-02T00:13:03.8Z,1,REGULAR,rebound,offensive,[],201586,,,1610612749,2,3,2022-04-02T00:13:08Z,140000,,,0,,S. Ibaka REBOUND (Off:1 Def:0),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT10M50.00S,2022-04-02T00:13:06.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201586,85.10183968462549,46.07843137254902,1610612749,2,3,2022-04-02T00:13:15Z,150000,-20.0,88.0,1,right,MISS S. Ibaka 8' floating Shot,[201586],1610612749.0,MIL,floating,,,Ibaka,S. Ibaka,,,,,8.97,Missed,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2022-04-02T00:13:08.8Z,1,REGULAR,rebound,defensive,[],203496,,,1610612746,2,3,2022-04-02T00:13:08Z,160000,,,0,,R. Covington REBOUND (Off:0 Def:1),[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M38.00S,2022-04-02T00:13:23.9Z,1,REGULAR,foul,offensive,[],1629611,,,1610612746,2,3,2022-04-02T00:13:41Z,170000,,,0,,T. Mann offensive FOUL (1 PF),"[1629611, 1626192]",1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,2002.0,1.0,0.0,Connaughton,1626192.0,,,,,,,,,
19,PT10M38.00S,2022-04-02T00:13:23.9Z,1,REGULAR,turnover,offensive foul,[],1629611,,,1610612746,2,3,2022-04-02T00:13:23Z,190000,,,0,,T. Mann offensive foul TURNOVER (1 TO),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,2002.0,,,,,,,,,1.0,,,,
20,PT10M27.00S,2022-04-02T00:13:46.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1626171,92.19776609724047,48.77450980392157,1610612749,4,3,2022-04-02T00:13:51Z,200000,-6.0,21.0,1,right,B. Portis driving Hook (2 PTS),[1626171],1610612749.0,MIL,driving,,,Portis,B. Portis,,,,,2.17,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M08.00S,2022-04-02T00:14:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628379,19.398817345597898,35.294117647058826,1610612746,4,3,2022-04-02T00:14:13Z,210000,74.0,130.0,1,left,MISS L. Kennard 14' pullup Shot,[1628379],1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,14.92,Missed,,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2022-04-02T00:14:07.6Z,1,REGULAR,rebound,defensive,[],1628975,,,1610612749,4,3,2022-04-02T00:14:07Z,220000,,,0,,J. Carter REBOUND (Off:0 Def:1),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,
23,PT09M58.00S,2022-04-02T00:14:15.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,86.41590013140605,40.44117647058824,1610612749,6,3,2022-04-02T00:14:20Z,230000,-48.0,75.0,1,right,B. Portis 8' turnaround Hook (4 PTS) (J. Carter 1 AST),"[1626171, 1628975]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,8.91,Made,4.0,J. Carter,1628975.0,1.0,,,,,,,,,,,,,,
25,PT09M45.00S,2022-04-02T00:14:29.0Z,1,REGULAR,3pt,Jump Shot,[],203496,29.122864651773984,20.833333333333336,1610612746,6,3,2022-04-02T00:14:34Z,250000,146.0,221.0,1,left,MISS R. Covington 26' 3PT,[203496],1610612746.0,LAC,,,,Covington,R. Covington,,,,,26.5,Missed,,,,,,,,,,,,,,,,,,
26,PT09M41.00S,2022-04-02T00:14:33.0Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,6,3,2022-04-02T00:14:34Z,260000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,
27,PT09M31.00S,2022-04-02T00:14:43.2Z,1,REGULAR,2pt,Jump Shot,[],1626171,85.49605781865965,25.245098039215684,1610612749,8,3,2022-04-02T00:14:49Z,270000,-124.0,84.0,1,right,B. Portis 14' turnaround fadeaway Jump Shot (6 PTS) (P. Connaughton 1 AST),"[1626171, 1626192]",1610612749.0,MIL,turnaround fadeaway,,,Portis,B. Portis,,,,,14.95,Made,6.0,P. Connaughton,1626192.0,1.0,,,,,,,,,,,,,,
29,PT09M14.00S,2022-04-02T00:14:59.1Z,1,REGULAR,3pt,Jump Shot,[],1629599,34.641918528252305,37.5,1610612746,8,6,2022-04-02T00:15:08Z,290000,62.0,273.0,1,left,A. Coffey 28' 3PT pullup (3 PTS) (T. Mann 1 AST),"[1629599, 1629611]",1610612746.0,LAC,pullup,,,Coffey,A. Coffey,,,,,28.02,Made,3.0,T. Mann,1629611.0,1.0,,,,,,,,,,,,,,
31,PT09M08.00S,2022-04-02T00:15:05.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629670,93.11760840998686,54.41176470588235,1610612749,10,6,2022-04-02T00:16:01Z,310000,22.0,12.0,1,right,J. Nwora running DUNK (2 PTS) (J. Carter 2 AST),"[1629670, 1628975]",1610612749.0,MIL,running,,,Nwora,J. Nwora,,,,,2.52,Made,2.0,J. Carter,1628975.0,2.0,,,,,,,,,,,,,,
33,PT08M51.00S,2022-04-02T00:15:22.3Z,1,REGULAR,3pt,Jump Shot,[],1628379,32.670827858081466,67.8921568627451,1610612746,10,9,2022-04-02T00:15:27Z,330000,-89.0,255.0,1,left,L. Kennard 26' 3PT pullup (3 PTS) (A. Coffey 1 AST),"[1628379, 1629599]",1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,26.99,Made,3.0,A. Coffey,1629599.0,1.0,,,,,,,,,,,,,,
35,PT08M34.00S,2022-04-02T00:15:40.6Z,1,REGULAR,3pt,Jump Shot,[],1626171,75.1149802890933,11.029411764705882,1610612749,10,9,2022-04-02T00:15:45Z,350000,-195.0,181.0,1,right,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.63,Missed,,,,,,,,,,,,,,,,,,
36,PT08M34.00S,2022-04-02T00:15:40.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,10,9,2022-04-02T00:15:45Z,360000,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,
37,PT08M34.00S,2022-04-02T00:15:45.7Z,1,REGULAR,foul,personal,[],201586,,,1610612746,10,9,2022-04-02T00:15:55Z,370000,,,0,,S. Ibaka loose ball personal FOUL (2 PF),"[201586, 1629611]",1610612749.0,MIL,loose ball,,,Ibaka,S. Ibaka,,,,,,,,,,,2882.0,2.0,0.0,Mann,1629611.0,,,,,,,,,
39,PT08M34.00S,2022-04-02T00:15:56.8Z,1,REGULAR,substitution,out,[],201586,,,1610612746,10,9,2022-04-02T00:16:13Z,390000,,,0,,SUB out: S. Ibaka,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M34.00S,2022-04-02T00:15:56.8Z,1,REGULAR,substitution,in,[],1630572,,,1610612746,10,9,2022-04-02T00:16:13Z,400000,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M20.00S,2022-04-02T00:16:14.9Z,1,REGULAR,3pt,Jump Shot,[],1629599,36.35019710906702,35.049019607843135,1610612746,10,12,2022-04-02T00:16:19Z,410000,75.0,289.0,1,left,A. Coffey 29' 3PT  (6 PTS) (L. Kennard 1 AST),"[1629599, 1628379]",1610612746.0,LAC,,,,Coffey,A. Coffey,,,,,29.87,Made,6.0,L. Kennard,1628379.0,1.0,,,,,,,,,,,,,,
