actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value
22,PT10M14.00S,2022-02-27T01:43:00.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,4,4,2022-02-27T01:43:00Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M08.00S,2022-02-27T01:43:16.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,19.66162943495401,4.901960784313726,1610612749,4,4,2022-02-27T01:43:24Z,230000,225.0,132.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2022-02-27T01:43:18.5Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,4,4,2022-02-27T01:43:18Z,240000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,
25,PT10M05.00S,2022-02-27T01:43:22.1Z,1,REGULAR,foul,personal,['2freethrow'],203083,,,1610612749,4,4,2022-02-27T01:43:53Z,250000,,,0,,A. Drummond shooting personal FOUL (1 PF) (Portis 2 FT),"[203083, 1626171]",1610612751.0,BKN,shooting,,,Drummond,A. Drummond,,,,,,,,,,,204059.0,1.0,0.0,Portis,1626171.0,,,,,,,,,,
27,PT10M05.00S,2022-02-27T01:43:54.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626171,,,1610612749,4,4,2022-02-27T01:43:54Z,270000,,,0,,MISS B. Portis Free Throw 1 of 2,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M05.00S,2022-02-27T01:43:54.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,4,4,2022-02-27T01:43:54Z,280000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,
29,PT10M05.00S,2022-02-27T01:43:54.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626171,,,1610612749,4,4,2022-02-27T01:44:15Z,290000,,,0,,MISS B. Portis Free Throw 2 of 2,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M01.00S,2022-02-27T01:43:58.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,4,4,2022-02-27T01:44:15Z,300000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,
31,PT09M44.00S,2022-02-27T01:44:30.7Z,1,REGULAR,2pt,Jump Shot,[],1628971,93.51182654402102,78.18627450980392,1610612751,4,4,2022-02-27T01:44:37Z,310000,141.0,8.0,1,right,MISS B. Brown 14' floating Shot,[1628971],1610612751.0,BKN,floating,,,Brown,B. Brown,,,,,14.12,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M42.00S,2022-02-27T01:44:32.7Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,4,4,2022-02-27T01:44:37Z,320000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,31.0,1.0,0.0,1.0,,,,
33,PT09M42.00S,2022-02-27T01:44:36.6Z,1,REGULAR,turnover,out-of-bounds,[],203552,,,1610612751,4,4,2022-02-27T01:44:49Z,330000,,,0,,S. Curry step out-of-bounds TURNOVER (1 TO),[203552],1610612751.0,BKN,step,,,Curry,S. Curry,,,,,,,,,,,203177.0,,,,,,,,,,,1.0,,,
34,PT09M31.00S,2022-02-27T01:44:54.2Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,4,4,2022-02-27T01:44:58Z,340000,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 202681]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,1.0,Irving,202681.0,
35,PT09M31.00S,2022-02-27T01:44:54.2Z,1,REGULAR,steal,,[],202681,,,1610612751,4,4,2022-02-27T01:44:56Z,350000,,,0,,K. Irving STEAL (1 STL),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M17.00S,2022-02-27T01:45:07.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202681,94.43166885676742,50.0,1610612751,4,6,2022-02-27T01:45:11Z,360000,0.0,0.0,1,right,K. Irving driving reverse DUNK (2 PTS) (A. Drummond 1 AST),"[202681, 203083]",1610612751.0,BKN,driving reverse,,,Irving,K. Irving,,,,,0.02,Made,2.0,A. Drummond,203083.0,1.0,,,,,,,,,,,,,,,
38,PT09M10.00S,2022-02-27T01:45:14.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,8.886333771353483,48.77450980392157,1610612749,6,6,2022-02-27T01:45:18Z,380000,6.0,31.0,1,left,K. Middleton driving Layup (2 PTS),[203114],1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,3.16,Made,2.0,,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2022-02-27T01:45:40.0Z,1,REGULAR,turnover,traveling,[],203083,,,1610612751,6,6,2022-02-27T01:45:47Z,390000,,,0,,A. Drummond traveling TURNOVER (1 TO),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,204059.0,,,,,,,,,,,1.0,,,
40,PT08M33.00S,2022-02-27T01:46:04.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626171,10.988830486202366,1.9607843137254901,1610612749,9,6,2022-02-27T01:46:08Z,400000,240.0,51.0,1,left,B. Portis 24' 3PT  (5 PTS) (J. Holiday 1 AST),"[1626171, 201950]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,24.55,Made,5.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,,
42,PT08M22.00S,2022-02-27T01:46:15.5Z,1,REGULAR,3pt,Jump Shot,[],203552,66.96780551905388,56.372549019607845,1610612751,9,6,2022-02-27T01:46:20Z,420000,32.0,258.0,1,right,MISS S. Curry 26' 3PT,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,,
43,PT08M19.00S,2022-02-27T01:46:18.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,9,6,2022-02-27T01:46:20Z,430000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,42.0,2.0,1.0,1.0,,,,
44,PT08M13.00S,2022-02-27T01:46:25.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626171,33.722076215505915,43.13725490196079,1610612749,12,6,2022-02-27T01:46:31Z,440000,34.0,264.0,1,left,B. Portis 26' 3PT running (8 PTS) (G. Antetokounmpo 1 AST),"[1626171, 203507]",1610612749.0,MIL,running,,,Portis,B. Portis,,,,,26.67,Made,8.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,,
46,PT07M55.00S,2022-02-27T01:46:42.5Z,1,REGULAR,3pt,Jump Shot,[],201949,88.78120893561103,96.56862745098039,1610612751,12,6,2022-02-27T01:46:52Z,460000,233.0,53.0,1,right,MISS J. Johnson 3PT,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M52.00S,2022-02-27T01:46:45.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,12,6,2022-02-27T01:46:52Z,470000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,
48,PT07M49.00S,2022-02-27T01:46:51.2Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612749,12,6,2022-02-27T01:47:13Z,480000,,,0,,B. Brown shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1628971, 203507]",1610612751.0,BKN,shooting,,,Brown,B. Brown,,,,,,,,,,,1830.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
50,PT07M49.00S,2022-02-27T01:47:33.8Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,12,6,2022-02-27T01:47:33Z,500000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M49.00S,2022-02-27T01:47:33.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,12,6,2022-02-27T01:47:33Z,510000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,
52,PT07M49.00S,2022-02-27T01:47:37.1Z,1,REGULAR,substitution,out,[],1626171,,,1610612749,12,6,2022-02-27T01:47:43Z,520000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M49.00S,2022-02-27T01:47:37.1Z,1,REGULAR,substitution,in,[],201586,,,1610612749,12,6,2022-02-27T01:47:43Z,530000,,,0,,SUB in: S. Ibaka,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M49.00S,2022-02-27T01:47:58.4Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,13,6,2022-02-27T01:47:58Z,540000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
55,PT07M32.00S,2022-02-27T01:48:17.0Z,1,REGULAR,3pt,Jump Shot,[],202681,81.42247043363994,94.85294117647058,1610612751,13,6,2022-02-27T01:48:29Z,550000,224.0,122.0,1,right,MISS K. Irving 25' 3PT,[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M28.00S,2022-02-27T01:48:21.0Z,1,REGULAR,rebound,offensive,[],201949,,,1610612751,13,6,2022-02-27T01:48:29Z,560000,,,0,,J. Johnson REBOUND (Off:1 Def:0),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,55.0,1.0,0.0,1.0,,,,
57,PT07M21.00S,2022-02-27T01:48:28.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203083,92.46057818659659,50.73529411764706,1610612751,13,8,2022-02-27T01:48:33Z,570000,4.0,18.0,1,right,A. Drummond cutting DUNK (4 PTS) (K. Irving 1 AST),"[203083, 202681]",1610612751.0,BKN,cutting,,,Drummond,A. Drummond,,,,,1.88,Made,4.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,,,
59,PT07M08.00S,2022-02-27T01:48:42.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201586,8.360709592641262,49.754901960784316,1610612749,15,8,2022-02-27T01:48:48Z,590000,1.0,26.0,1,left,S. Ibaka cutting Layup (2 PTS) (J. Holiday 2 AST),"[201586, 201950]",1610612749.0,MIL,cutting,,,Ibaka,S. Ibaka,,,,,2.61,Made,2.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,,
61,PT07M08.00S,2022-02-27T01:48:45.8Z,1,REGULAR,foul,personal,['1freethrow'],203083,,,1610612749,15,8,2022-02-27T01:48:56Z,610000,,,0,,A. Drummond shooting personal FOUL (2 PF) (Ibaka 1 FT),"[203083, 201586]",1610612751.0,BKN,shooting,,,Drummond,A. Drummond,,,,,,,,,,,203177.0,2.0,0.0,Ibaka,201586.0,,,,,,,,,,
63,PT07M08.00S,2022-02-27T01:49:14.6Z,1,REGULAR,freethrow,1 of 1,[],201586,,,1610612749,16,8,2022-02-27T01:49:14Z,630000,,,0,,S. Ibaka Free Throw 1 of 1 (3 PTS),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
64,PT06M59.00S,2022-02-27T01:49:28.9Z,1,REGULAR,foul,personal,[],1628960,,,1610612751,16,8,2022-02-27T01:49:42Z,640000,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 203552]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,204059.0,1.0,0.0,Curry,203552.0,,,,,,,,,,
66,PT06M59.00S,2022-02-27T01:49:38.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,16,8,2022-02-27T01:49:38Z,660000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M59.00S,2022-02-27T01:52:26.6Z,1,REGULAR,substitution,out,[],203507,,,1610612751,16,8,2022-02-27T01:53:02Z,670000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M59.00S,2022-02-27T01:52:26.6Z,1,REGULAR,substitution,out,[],203083,,,1610612751,16,8,2022-02-27T01:53:02Z,680000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M59.00S,2022-02-27T01:52:26.6Z,1,REGULAR,substitution,out,[],203552,,,1610612751,16,8,2022-02-27T01:53:02Z,690000,,,0,,SUB out: S. Curry,[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M59.00S,2022-02-27T01:52:26.6Z,1,REGULAR,substitution,in,[],1626171,,,1610612751,16,8,2022-02-27T01:53:02Z,700000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M59.00S,2022-02-27T01:52:26.6Z,1,REGULAR,substitution,in,[],1630560,,,1610612751,16,8,2022-02-27T01:53:02Z,710000,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M59.00S,2022-02-27T01:52:26.6Z,1,REGULAR,substitution,in,[],200746,,,1610612751,16,8,2022-02-27T01:53:02Z,720000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M50.00S,2022-02-27T01:53:07.8Z,1,REGULAR,2pt,Jump Shot,[],202681,74.45795006570303,47.794117647058826,1610612751,16,8,2022-02-27T01:53:12Z,730000,-11.0,188.0,1,right,MISS K. Irving 18' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,18.79,Missed,,,,,,,,,,,,,,,,,,,
77,PT06M47.00S,2022-02-27T01:53:10.8Z,1,REGULAR,rebound,defensive,[],201586,,,1610612749,16,8,2022-02-27T01:53:12Z,740000,,,0,,S. Ibaka REBOUND (Off:0 Def:1),[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,,,,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,
78,PT06M33.00S,2022-02-27T01:53:24.1Z,1,REGULAR,3pt,Jump Shot,[],201586,30.305519053876477,24.019607843137255,1610612749,16,8,2022-02-27T01:53:29Z,750000,130.0,232.0,1,left,MISS S. Ibaka 26' 3PT,[201586],1610612749.0,MIL,,,,Ibaka,S. Ibaka,,,,,26.62,Missed,,,,,,,,,,,,,,,,,,,
79,PT06M29.00S,2022-02-27T01:53:28.3Z,1,REGULAR,rebound,defensive,[],201949,,,1610612751,16,8,2022-02-27T01:53:28Z,760000,,,0,,J. Johnson REBOUND (Off:1 Def:1),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,78.0,2.0,1.0,1.0,,,,
80,PT06M14.00S,2022-02-27T01:53:43.0Z,1,REGULAR,2pt,Jump Shot,[],1630560,80.50262812089356,32.35294117647059,1610612751,16,10,2022-02-27T01:53:47Z,770000,-88.0,131.0,1,right,C. Thomas 15' pullup Jump Shot (2 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,15.78,Made,2.0,,,,,,,,,,,,,,,,,,
81,PT06M01.00S,2022-02-27T01:53:55.8Z,1,REGULAR,3pt,Jump Shot,[],203114,33.722076215505915,44.36274509803921,1610612749,16,10,2022-02-27T01:54:32Z,780000,28.0,264.0,1,left,MISS K. Middleton 26' pullup 3PT,[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,26.6,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M58.00S,2022-02-27T01:53:58.8Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,16,10,2022-02-27T01:54:00Z,790000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,
83,PT05M48.00S,2022-02-27T01:54:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,94.03745072273325,55.63725490196079,1610612751,16,10,2022-02-27T01:55:10Z,800000,28.0,4.0,1,right,MISS B. Brown Layup,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,2.84,Missed,,,,,,,,,,,,,,,,,,,
84,PT05M45.00S,2022-02-27T01:54:13.0Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,16,10,2022-02-27T01:54:15Z,810000,,,0,,B. Portis REBOUND (Off:1 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,83.0,3.0,2.0,1.0,,,,
85,PT05M37.00S,2022-02-27T01:54:23.1Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,16,10,2022-02-27T01:54:34Z,820000,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,bad pass,,,Holiday,J. Holiday,,,,,,,,,,,204059.0,,,,,,,,,,,1.0,,,
86,PT05M37.00S,2022-02-27T01:54:28.9Z,1,REGULAR,substitution,out,[],1628960,,,1610612751,16,10,2022-02-27T01:54:46Z,830000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M37.00S,2022-02-27T01:54:28.9Z,1,REGULAR,substitution,out,[],201949,,,1610612751,16,10,2022-02-27T01:54:46Z,840000,,,0,,SUB out: J. Johnson,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M37.00S,2022-02-27T01:54:28.9Z,1,REGULAR,substitution,in,[],1630556,,,1610612751,16,10,2022-02-27T01:54:46Z,860000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT05M37.00S,2022-02-27T01:54:28.9Z,1,REGULAR,substitution,in,[],202083,,,1610612751,16,10,2022-02-27T01:57:14Z,865000,,,0,,SUB in: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M17.00S,2022-02-27T01:55:03.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202681,91.80354796320631,78.92156862745098,1610612751,16,12,2022-02-27T01:55:10Z,870000,145.0,25.0,1,right,K. Irving 14' pullup Jump Shot (4 PTS) (K. Edwards 1 AST),"[202681, 1630556]",1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,14.67,Made,4.0,K. Edwards,1630556.0,1.0,,,,,,,,,,,,,,,
92,PT05M02.00S,2022-02-27T01:55:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,8.886333771353483,53.92156862745098,1610612749,16,12,2022-02-27T01:59:23Z,890000,-20.0,31.0,1,left,MISS K. Middleton Layup,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,3.67,Missed,,,,,,,,,,,,,,,,,,,
93,PT04M59.00S,2022-02-27T01:55:20.9Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,16,12,2022-02-27T01:55:22Z,900000,,,0,,B. Brown REBOUND (Off:1 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,92.0,2.0,1.0,1.0,,,,
