actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-27T01:40:33.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-27T01:40:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-02-27T01:40:39.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-02-27T01:40:39Z,40000,,,0,,Jump Ball B. Portis vs. A. Drummond: Tip to G. Antetokounmpo,"[203507, 1626171, 203083]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-27T01:40:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,8.09789750328515,49.26470588235294,1610612749,2,0,2022-02-27T01:40:54Z,70000,4.0,24.0,1,left,J. Holiday alley-oop Layup (2 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,alley-oop,,,Holiday,J. Holiday,,,,,2.39,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-02-27T01:41:03.8Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612751,2,0,2022-02-27T01:41:36Z,90000,,,0,,K. Middleton shooting personal FOUL (1 PF) (Brown 2 FT),"[203114, 1628971]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,,,,,,,204059.0,1.0,0.0,Brown,1628971.0,,,,,,,,,,
11,PT11M31.00S,2022-02-27T01:41:39.9Z,1,REGULAR,freethrow,1 of 2,[],1628971,,,1610612751,2,1,2022-02-27T01:41:39Z,110000,,,0,,B. Brown Free Throw 1 of 2 (1 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
12,PT11M31.00S,2022-02-27T01:41:40.4Z,1,REGULAR,freethrow,2 of 2,[],1628971,,,1610612751,2,2,2022-02-27T01:41:40Z,120000,,,0,,B. Brown Free Throw 2 of 2 (2 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
67,PT11M22.00S,2022-02-27T01:41:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.1268068331143235,51.71568627450981,1610612749,2,2,2022-02-27T01:50:37Z,125000,-9.0,5.0,1,left,MISS G. Antetokounmpo Layup - blocked,"[203507, 201949]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,1.0,Missed,,,,,,,,,,Johnson,201949.0,,,,,,,,
68,PT11M22.00S,2022-02-27T01:41:46.3Z,1,REGULAR,block,,[],201949,,,1610612749,2,2,2022-02-27T01:50:37Z,127500,,,0,,J. Johnson BLOCK (1 BLK),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT11M19.00S,2022-02-27T01:41:49.3Z,1,REGULAR,rebound,defensive,[],203552,,,1610612751,2,2,2022-02-27T01:50:37Z,128750,,,0,,S. Curry REBOUND (Off:0 Def:1),[203552],1610612751.0,BKN,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,
15,PT11M03.00S,2022-02-27T01:42:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,91.40932982917214,46.568627450980394,1610612751,2,4,2022-02-27T01:50:43Z,150000,-17.0,28.0,1,right,A. Drummond driving Layup (2 PTS),[203083],1610612751.0,BKN,driving,,,Drummond,A. Drummond,,,,,3.31,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2022-02-27T01:42:18.5Z,1,REGULAR,3pt,Jump Shot,[],1626171,30.436925098554536,24.264705882352942,1610612749,2,4,2022-02-27T01:42:34Z,160000,129.0,234.0,1,left,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.67,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2022-02-27T01:42:20.9Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,2,4,2022-02-27T01:42:21Z,170000,,,0,,K. Middleton REBOUND (Off:1 Def:0),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,
18,PT10M45.00S,2022-02-27T01:42:25.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,5.863994743758213,51.470588235294116,1610612749,4,4,2022-02-27T01:43:09Z,180000,-7.0,3.0,1,left,B. Portis Layup (2 PTS) (K. Middleton 2 AST),"[1626171, 203114]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,0.78,Made,2.0,K. Middleton,203114.0,2.0,,,,,,,,,,,,,,,
20,PT10M26.00S,2022-02-27T01:42:44.8Z,1,REGULAR,2pt,Jump Shot,[],202681,80.76544021024968,75.24509803921569,1610612751,4,4,2022-02-27T01:42:50Z,200000,126.0,128.0,1,right,MISS K. Irving 18' pullup Shot,[202681],1610612751.0,BKN,pullup,,,Irving,K. Irving,,,,,18.0,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2022-02-27T01:42:47.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,4,2022-02-27T01:42:50Z,210000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
