actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-23T01:10:18.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-23T01:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-23T01:10:21.4Z,1,REGULAR,jumpball,recovered,[],1629717,,,1610612745,0,0,2021-12-23T01:10:21Z,40000,,,0,,Jump Ball C. Wood vs. D. Cousins: Tip to A. Brooks,"[1629717, 1626174, 202326]",1610612745.0,HOU,startperiod,A. Brooks,1629717.0,Brooks,A. Brooks,Wood,1626174.0,Cousins,202326.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2021-12-23T01:10:30.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630256,88.12417871222075,51.225490196078425,1610612745,0,0,2021-12-23T01:10:52Z,70000,6.0,59.0,1,right,MISS J. Tate cutting Layup,[1630256],1610612745.0,HOU,cutting,,,Tate,J. Tate,,,,,5.94,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M49.00S,2021-12-23T01:10:30.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,0,0,2021-12-23T01:10:56Z,90000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
10,PT11M49.00S,2021-12-23T01:10:37.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,0,0,2021-12-23T01:10:56Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2021-12-23T01:11:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,16.507884362680684,46.32352941176471,1610612749,2,0,2021-12-23T01:11:07Z,110000,18.0,103.0,1,left,J. Holiday 10' driving floating Jump Shot (2 PTS),[201950],1610612749.0,MIL,driving floating,,,Holiday,J. Holiday,,,,,10.43,Made,,2.0,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2021-12-23T01:11:15.9Z,1,REGULAR,turnover,traveling,[],1630256,,,1610612745,2,0,2021-12-23T01:11:22Z,120000,,,0,,J. Tate traveling TURNOVER (1 TO),[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,203591.0,1.0,,,,,,,,,,,,,,,
13,PT11M09.00S,2021-12-23T01:11:37.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202326,8.492115637319317,95.09803921568627,1610612749,2,0,2021-12-23T01:11:41Z,130000,-225.0,27.0,1,left,MISS D. Cousins 3PT,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,22.71,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2021-12-23T01:11:40.4Z,1,REGULAR,rebound,defensive,[],1629717,,,1610612745,2,0,2021-12-23T01:11:41Z,140000,,,0,,A. Brooks REBOUND (Off:0 Def:1),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,13.0,,,,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M03.00S,2021-12-23T01:11:46.5Z,1,REGULAR,foul,personal,[],202326,,,1610612745,2,0,2021-12-23T01:11:56Z,150000,,,0,,D. Cousins personal FOUL (1 PF),"[202326, 1629717]",1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,,,,,2530.0,,,,,1.0,0.0,Brooks,1629717.0,,,,,,,,
