actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-03T17:11:14.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-03T17:11:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-03T17:11:18.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-04-03T17:11:18Z,40000,,,0,,Jump Ball B. Lopez vs. D. Powell: Tip to G. Antetokounmpo,"[203507, 201572, 203939]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-04-03T17:11:34.5Z,1,REGULAR,3pt,Jump Shot,[],201950,25.18068331143233,83.82352941176471,1610612749,3,0,2022-04-03T17:11:40Z,70000,-169.0,184.0,1,left,J. Holiday 25' 3PT step back (3 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,25.0,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2022-04-03T17:11:54.2Z,1,REGULAR,2pt,Jump Shot,[],1629029,93.11760840998686,73.0392156862745,1610612742,3,2,2022-04-03T17:12:09Z,80000,115.0,12.0,1,right,L. Doncic 11' floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,floating,,,Doncic,L. Doncic,,,,,11.58,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-04-03T17:11:58.0Z,1,REGULAR,foul,personal,['1freethrow'],203507,,,1610612742,3,2,2022-04-03T17:12:07Z,90000,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Doncic 1 FT),"[203507, 1629029]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,1627962.0,1.0,0.0,Doncic,1629029.0,,,,,,,,,,,,,
11,PT11M23.00S,2022-04-03T17:12:22.2Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,3,2,2022-04-03T17:12:26Z,110000,,,0,,MISS L. Doncic Free Throw 1 of 1,[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2022-04-03T17:12:27.2Z,1,REGULAR,rebound,defensive,[],202083,,,1610612749,3,2,2022-04-03T17:12:26Z,120000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M04.00S,2022-04-03T17:12:39.9Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,3,2,2022-04-03T17:12:47Z,130000,,,0,,G. Antetokounmpo lost ball TURNOVER (1 TO),"[203507, 1627827]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,
14,PT11M04.00S,2022-04-03T17:12:39.9Z,1,REGULAR,steal,,[],1627827,,,1610612742,3,2,2022-04-03T17:12:43Z,140000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2022-04-03T17:12:46.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203493,67.36202365308804,71.07843137254902,1610612742,3,2,2022-04-03T17:12:53Z,150000,105.0,254.0,1,right,MISS R. Bullock 27' running pullup 3PT,[203493],1610612742.0,DAL,running pullup,,,Bullock,R. Bullock,,,,,27.53,Missed,,,,,,,,,,,,,,,,,,,
