actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-20T01:10:46.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T01:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-20T01:10:50.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-01-20T01:10:50Z,40000,,,0,,Jump Ball S. Adams vs. B. Portis: Tip to J. Morant,"[1629630, 203500, 1626171]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-20T01:11:07.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,0,2022-01-20T01:11:07Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-20T01:11:27.1Z,1,REGULAR,3pt,Jump Shot,[],1630533,11.251642575558476,2.941176470588235,1610612763,0,0,2022-01-20T01:13:07Z,105000,235.0,53.0,1,left,MISS Z. Williams 24' 3PT,[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,24.13,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2022-01-20T01:11:27.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2022-01-20T01:13:07Z,107500,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-01-20T01:11:35.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612763,0,0,2022-01-20T01:13:14Z,108750,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,,,,1148.0,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2022-01-20T01:11:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201588,93.24901445466492,52.450980392156865,1610612749,2,0,2022-01-20T01:13:14Z,110000,12.0,11.0,1,right,G. Hill cutting Layup (2 PTS) (G. Antetokounmpo 1 AST),"[201588, 203507]",1610612749.0,MIL,cutting,,,Hill,G. Hill,,,,,1.65,Made,,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,
13,PT11M16.00S,2022-01-20T01:11:57.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630533,9.674770039421814,48.77450980392157,1610612763,2,2,2022-01-20T01:12:31Z,130000,6.0,38.0,1,left,Z. Williams cutting Layup (2 PTS) (J. Morant 1 AST),"[1630533, 1629630]",1610612763.0,MEM,cutting,,,Williams,Z. Williams,,,,,3.89,Made,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,
15,PT11M16.00S,2022-01-20T01:12:01.5Z,1,REGULAR,foul,personal,['1freethrow'],1628960,,,1610612763,2,2,2022-01-20T01:12:11Z,150000,,,0,,G. Allen shooting personal FOUL (1 PF) (Williams 1 FT),"[1628960, 1630533]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,,,,202035.0,,,,,1.0,0.0,Williams,1630533.0,,,,,,,,,
17,PT11M16.00S,2022-01-20T01:12:23.8Z,1,REGULAR,freethrow,1 of 1,[],1630533,,,1610612763,2,3,2022-01-20T01:12:31Z,170000,,,0,,Z. Williams Free Throw 1 of 1 (3 PTS),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,,Made,,,3.0,,,,,,,,,,,,,,,,
