actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-06T01:10:49.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T01:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-06T01:10:54.7Z,1,REGULAR,jumpball,recovered,[],202083,,,1610612749,0,0,2022-01-06T01:10:54Z,40000,,,0,,Jump Ball B. Portis vs. S. Barnes: Tip to W. Matthews,"[202083, 1626171, 1630567]",1610612749.0,MIL,startperiod,W. Matthews,202083.0,Matthews,W. Matthews,Portis,1626171.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-01-06T01:10:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629670,5.995400788436268,52.20588235294118,1610612749,2,0,2022-01-06T01:11:05Z,70000,-11.0,4.0,1,left,J. Nwora cutting Layup (2 PTS) (J. Holiday 1 AST),"[1629670, 201950]",1610612749.0,MIL,cutting,,,Nwora,J. Nwora,,,,,1.17,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-01-06T01:11:14.0Z,1,REGULAR,3pt,Jump Shot,[],1627832,71.56701708278581,15.931372549019606,1610612761,2,3,2022-01-06T01:11:19Z,90000,-170.0,215.0,1,right,F. VanVleet 27' 3PT pullup (3 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,27.41,Made,3.0,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-01-06T01:11:32.1Z,1,REGULAR,3pt,Jump Shot,[],203114,33.327858081471746,47.549019607843135,1610612749,2,3,2022-01-06T01:11:37Z,100000,12.0,261.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.11,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2022-01-06T01:11:35.1Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,2,3,2022-01-06T01:11:37Z,110000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M11.00S,2022-01-06T01:11:41.4Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612761,2,3,2022-01-06T01:11:52Z,120000,,,0,,B. Portis shooting personal FOUL (1 PF) (Barnes 2 FT),"[1626171, 1630567]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,,,,,,,,,,,2003.0,1.0,0.0,Barnes,1630567.0,,,,,
14,PT11M11.00S,2022-01-06T01:12:05.0Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,2,3,2022-01-06T01:12:05Z,140000,,,0,,MISS S. Barnes Free Throw 1 of 2,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M11.00S,2022-01-06T01:12:05.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,2,3,2022-01-06T01:12:05Z,150000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
16,PT11M11.00S,2022-01-06T01:12:18.8Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,2,4,2022-01-06T01:12:18Z,160000,,,0,,S. Barnes Free Throw 2 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
