actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-05T23:46:02.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T23:46:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T23:46:05.6Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2021-11-05T23:46:05Z,40000,,,0,,Jump Ball M. Robinson vs. G. Antetokounmpo: Tip to K. Walker,"[202689, 1629011, 203507]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-05T23:46:16.7Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,0,0,2021-11-05T23:46:22Z,70000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 203507]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2021-11-05T23:46:16.7Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2021-11-05T23:46:19Z,80000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-05T23:46:31.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203507,28.728646517739815,75.73529411764706,1610612749,0,0,2021-11-05T23:46:35Z,90000,-129.0,218.0,1,left,MISS G. Antetokounmpo 25' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,25.27,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2021-11-05T23:46:33.3Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2021-11-05T23:46:35Z,100000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M28.00S,2021-11-05T23:46:35.7Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,0,0,2021-11-05T23:46:44Z,110000,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (2 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,2.0,,,,,,,,,202053.0,,,,,,,,,,
12,PT11M13.00S,2021-11-05T23:47:00.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,34.37910643889619,48.77450980392157,1610612749,3,0,2021-11-05T23:47:49Z,120000,6.0,271.0,1,left,G. Allen 27' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,27.08,Made,,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,
14,PT10M52.00S,2021-11-05T23:47:21.9Z,1,REGULAR,2pt,Jump Shot,[],202689,82.21090670170827,32.1078431372549,1610612752,3,0,2021-11-05T23:47:27Z,140000,-89.0,115.0,1,right,MISS K. Walker 14' pullup Shot,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,,,,14.55,Missed,,,,,,,,,,,,,,,
15,PT10M49.00S,2021-11-05T23:47:24.9Z,1,REGULAR,rebound,defensive,[],203648,,,1610612749,3,0,2021-11-05T23:47:27Z,150000,,,0,,T. Antetokounmpo REBOUND (Off:0 Def:1),[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
