actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-29T03:16:16.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-29T03:16:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-29T03:16:20.5Z,1,REGULAR,jumpball,recovered,[],202689,,,1610612752,0,0,2022-01-29T03:16:20Z,40000,,,0,,Jump Ball M. Robinson vs. B. Portis: Tip to K. Walker,"[202689, 1629011, 1626171]",1610612752.0,NYK,startperiod,K. Walker,202689.0,Walker,K. Walker,Robinson,1629011.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-29T03:16:31.8Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,0,0,2022-01-29T03:16:37Z,70000,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1628960]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,1.0,Allen,1628960.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-01-29T03:16:31.8Z,1,REGULAR,steal,,[],1628960,,,1610612749,0,0,2022-01-29T03:26:23Z,80000,,,0,,G. Allen STEAL (1 STL),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-01-29T03:16:38.6Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'fromturnover']",1626171,6.964520367936925,8.356311274509803,1610612749,2,0,2022-01-29T03:19:21Z,90000,208.0,13.0,1,left,B. Portis 20' running Jump Shot (2 PTS) (K. Middleton 1 AST),"[1626171, 203114]",1610612749.0,MIL,running,,,Portis,B. Portis,,,,,,,,20.86,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,
11,PT11M16.00S,2022-01-29T03:16:58.3Z,1,REGULAR,2pt,Jump Shot,[],203944,88.51839684625493,83.33333333333334,1610612752,2,0,2022-01-29T03:19:35Z,110000,167.0,55.0,1,right,MISS J. Randle 17' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,17.57,Missed,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-01-29T03:16:58.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,2,0,2022-01-29T03:17:12Z,120000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M10.00S,2022-01-29T03:17:05.3Z,1,REGULAR,3pt,Jump Shot,[],203507,33.065045992115635,46.81372549019608,1610612749,5,0,2022-01-29T03:20:16Z,130000,16.0,258.0,1,left,G. Antetokounmpo 25' 3PT pullup (3 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,25.88,Made,3.0,,,,,,,,,,,,,,,
14,PT10M55.00S,2022-01-29T03:17:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,85.89027595269383,40.931372549019606,1610612752,5,2,2022-01-29T03:20:40Z,140000,-45.0,80.0,1,right,E. Fournier 9' driving floating Jump Shot (2 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,,,,9.2,Made,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,,
15,PT10M40.00S,2022-01-29T03:17:39.9Z,1,REGULAR,turnover,out-of-bounds,[],203114,,,1610612749,5,2,2022-01-29T03:17:48Z,150000,,,0,,K. Middleton bad pass out-of-bounds TURNOVER (1 TO),[203114],1610612749.0,MIL,bad pass,,,Middleton,K. Middleton,,,,,1.0,,,,,,,,,,,,,201245.0,,,,,,,
16,PT10M30.00S,2022-01-29T03:17:58.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629628,85.49605781865965,47.549019607843135,1610612752,5,2,2022-01-29T03:21:25Z,160000,-12.0,84.0,1,right,MISS R. Barrett 8' floating Shot,[1629628],1610612752.0,NYK,floating,,,Barrett,R. Barrett,,,,,,,,8.47,Missed,,,,,,,,,,,,,,,,
17,PT10M30.00S,2022-01-29T03:17:58.0Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,5,2,2022-01-29T03:18:04Z,170000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,
