actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-04T01:10:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-04T01:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-01-04T01:10:47.4Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2022-01-04T01:10:47Z,40000,,,0,,Jump Ball B. Portis vs. T. Lyles: Tip to B. Portis,"[1626171, 1626171, 1626168]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Portis,1626171.0,Lyles,1626168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-04T01:11:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628960,28.203022339027594,19.852941176470587,1610612749,0,0,2022-01-04T01:11:12Z,70000,151.0,213.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-01-04T01:11:04.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,0,2022-01-04T01:11:04Z,80000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-01-04T01:11:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630180,93.9060446780552,50.49019607843137,1610612765,0,0,2022-01-04T01:11:20Z,90000,2.0,5.0,1,right,MISS S. Bey running Layup,[1630180],1610612765.0,DET,running,,,Bey,S. Bey,,,,,0.54,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-01-04T01:11:08.6Z,1,REGULAR,rebound,offensive,[],1628977,,,1610612765,0,0,2022-01-04T01:11:20Z,100000,,,0,,H. Diallo REBOUND (Off:1 Def:0),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-01-04T01:11:12.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1628977,94.40999984741211,50.0,1610612765,0,2,2022-01-04T01:11:29Z,110000,0.0,0.0,1,right,H. Diallo tip Layup (2 PTS),[1628977],1610612765.0,DET,tip,,,Diallo,H. Diallo,,,,,0.0,Made,,,,,2.0,,,,,,,,,,,,,,
12,PT11M12.00S,2022-01-04T01:11:30.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,6.389618922470433,51.225490196078425,1610612749,2,2,2022-01-04T01:12:05Z,120000,-6.0,8.0,1,left,K. Middleton driving Layup (2 PTS),[203114],1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,0.97,Made,,,,,2.0,,,,,,,,,,,,,,
14,PT11M12.00S,2022-01-04T01:11:33.8Z,1,REGULAR,foul,personal,['1freethrow'],1630165,,,1610612749,2,2,2022-01-04T01:11:47Z,140000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Middleton 1 FT),"[1630165, 203114]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,,,,,,,,1629183.0,1.0,0.0,Middleton,203114.0,,,,,,,,,
16,PT11M12.00S,2022-01-04T01:11:51.7Z,1,REGULAR,freethrow,1 of 1,[],203114,,,1610612749,3,2,2022-01-04T01:12:05Z,160000,,,0,,K. Middleton Free Throw 1 of 1 (3 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
17,PT10M55.00S,2022-01-04T01:12:11.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,90.62089356110381,58.333333333333336,1610612765,3,2,2022-01-04T01:12:16Z,170000,42.0,36.0,1,right,MISS C. Cunningham cutting Layup,[1630595],1610612765.0,DET,cutting,,,Cunningham,C. Cunningham,,,,,5.49,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M53.00S,2022-01-04T01:12:13.7Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,3,2,2022-01-04T01:12:16Z,180000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M46.00S,2022-01-04T01:12:24.1Z,1,REGULAR,foul,personal,[],1628977,,,1610612749,3,2,2022-01-04T01:13:55Z,190000,,,0,,H. Diallo personal FOUL (1 PF),"[1628977, 1626171]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,1363.0,1.0,0.0,Portis,1626171.0,,,,,,,,,
21,PT10M37.00S,2022-01-04T01:12:46.9Z,1,REGULAR,3pt,Jump Shot,[],1626171,6.258212877792378,95.83333333333334,1610612749,6,2,2022-01-04T01:12:52Z,210000,-229.0,6.0,1,left,B. Portis 3PT  (3 PTS) (G. Allen 1 AST),"[1626171, 1628960]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,22.93,Made,,,,,3.0,,,,,,G. Allen,1628960.0,1.0,,,,,,
23,PT10M25.00S,2022-01-04T01:13:04.1Z,1,REGULAR,2pt,Jump Shot,[],1626168,94.03745072273325,81.86274509803921,1610612765,6,4,2022-01-04T01:13:08Z,230000,159.0,4.0,1,right,T. Lyles 15' step back Jump Shot (2 PTS) (K. Hayes 1 AST),"[1626168, 1630165]",1610612765.0,DET,step back,,,Lyles,T. Lyles,,,,,15.93,Made,,,,,2.0,,,,,,K. Hayes,1630165.0,1.0,,,,,,
25,PT10M11.00S,2022-01-04T01:13:17.0Z,1,REGULAR,3pt,Jump Shot,[],1626171,31.488173455978973,29.166666666666668,1610612749,6,4,2022-01-04T01:13:24Z,250000,104.0,243.0,1,left,MISS B. Portis 26' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.49,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2022-01-04T01:13:18.8Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612749,6,4,2022-01-04T01:13:18Z,260000,,,0,,G. Allen REBOUND (Off:1 Def:0),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
27,PT10M04.00S,2022-01-04T01:13:24.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,7.966491458607096,4.166666666666666,1610612749,6,4,2022-01-04T01:13:29Z,270000,229.0,22.0,1,left,MISS J. Holiday 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,23.03,Missed,,,,,,,,,,,,,,,,,,,
28,PT10M03.00S,2022-01-04T01:13:25.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,6,4,2022-01-04T01:13:29Z,280000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,
29,PT10M03.00S,2022-01-04T01:13:29.3Z,1,REGULAR,foul,personal,[],1626171,,,1610612765,6,4,2022-01-04T01:13:37Z,290000,,,0,,B. Portis loose ball personal FOUL (1 PF),"[1626171, 1628977]",1610612749.0,MIL,loose ball,,,Portis,B. Portis,,,,,,,,,,,,1629183.0,1.0,0.0,Diallo,1628977.0,,,,,,,,,
