actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-21T01:10:55.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T01:10:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T01:10:57.9Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2021-11-21T01:10:58Z,40000,,,0,,Jump Ball M. Bamba vs. B. Portis: Tip to F. Wagner,"[1630532, 1628964, 1626171]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Bamba,1628964.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-21T01:11:15.9Z,1,REGULAR,2pt,Jump Shot,[],1630532,26.62614980289093,56.86274509803921,1610612753,0,0,2021-11-21T01:11:20Z,70000,-34.0,198.0,1,left,MISS F. Wagner 20' pullup Shot,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,20.08,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-11-21T01:11:18.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,0,2021-11-21T01:11:18Z,80000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2021-11-21T01:11:39.8Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612749,0,0,2021-11-21T01:11:53Z,90000,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Holiday 2 FT),"[1628976, 201950]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,1151.0,1.0,0.0,Holiday,201950.0,,,,,,,,,,
11,PT11M17.00S,2021-11-21T01:12:00.9Z,1,REGULAR,freethrow,1 of 2,[],201950,,,1610612749,0,0,2021-11-21T01:12:00Z,110000,,,0,,MISS J. Holiday Free Throw 1 of 2,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-11-21T01:12:00.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,0,2021-11-21T01:12:00Z,120000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2021-11-21T01:12:13.1Z,1,REGULAR,freethrow,2 of 2,[],201950,,,1610612749,1,0,2021-11-21T01:12:13Z,130000,,,0,,J. Holiday Free Throw 2 of 2 (1 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
14,PT11M00.00S,2021-11-21T01:12:30.2Z,1,REGULAR,3pt,Jump Shot,[],203914,28.728646517739815,77.94117647058823,1610612753,1,0,2021-11-21T01:12:35Z,140000,-140.0,218.0,1,left,MISS G. Harris 25' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,25.85,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2021-11-21T01:12:33.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,1,0,2021-11-21T01:12:35Z,150000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M51.00S,2021-11-21T01:12:39.8Z,1,REGULAR,2pt,Jump Shot,[],203507,89.83245729303549,84.31372549019608,1610612749,1,0,2021-11-21T01:13:09Z,160000,172.0,43.0,1,right,MISS G. Antetokounmpo 17' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,17.69,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2021-11-21T01:12:42.8Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,1,0,2021-11-21T01:12:44Z,170000,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
18,PT10M48.00S,2021-11-21T01:12:47.4Z,1,REGULAR,turnover,discontinued dribble,[],1630591,,,1610612753,1,0,2021-11-21T01:14:05Z,180000,,,0,,J. Suggs discontinued dribble TURNOVER (1 TO),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,203591.0,,,,,,1.0,,,,,,,,
