actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-23T01:11:42.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T01:11:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-23T01:11:46.5Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2021-11-23T01:11:46Z,40000,,,0,,Jump Ball M. Bamba vs. B. Portis: Tip to J. Suggs,"[1630591, 1628964, 1626171]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bamba,1628964.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-23T01:11:56.9Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,0,0,2021-11-23T01:12:08Z,70000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 203114]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,1.0,Middleton,203114.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-23T01:11:56.9Z,1,REGULAR,steal,,[],203114,,,1610612749,0,0,2021-11-23T01:11:59Z,80000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2021-11-23T01:12:04.3Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,0,2021-11-23T01:12:15Z,90000,,,0,,G. Antetokounmpo lost ball out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,lost ball,,,Antetokounmpo,G. Antetokounmpo,,,,,1.0,,,1179.0,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2021-11-23T01:12:25.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628976,6.389618922470433,50.49019607843137,1610612753,0,2,2021-11-23T01:12:31Z,100000,-2.0,8.0,1,left,W. Carter Jr. cutting DUNK (2 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,,,,,0.8,Made,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,
12,PT11M10.00S,2021-11-23T01:12:41.8Z,1,REGULAR,2pt,Jump Shot,[],203114,79.05716162943496,35.53921568627451,1610612749,2,2,2021-11-23T01:12:46Z,120000,-72.0,144.0,1,right,K. Middleton 16' pullup Jump Shot (2 PTS) (J. Holiday 1 AST),"[203114, 201950]",1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,,,,,16.15,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,
14,PT10M54.00S,2021-11-23T01:12:57.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,7.5722733245729295,50.49019607843137,1610612753,2,4,2021-11-23T01:13:02Z,140000,-2.0,19.0,1,left,W. Carter Jr. alley-oop DUNK (4 PTS) (J. Suggs 2 AST),"[1628976, 1630591]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,,,,,1.89,Made,4.0,J. Suggs,1630591.0,2.0,,,,,,,,,,,
16,PT10M30.00S,2021-11-23T01:13:21.6Z,1,REGULAR,3pt,Jump Shot,[],201950,71.96123521681997,82.1078431372549,1610612749,2,4,2021-11-23T01:13:26Z,160000,161.0,211.0,1,right,MISS J. Holiday 26' step back 3PT,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,,,,,26.52,Missed,,,,,,,,,,,,,,,
17,PT10M28.00S,2021-11-23T01:13:23.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,2,4,2021-11-23T01:13:26Z,170000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
