actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2021-12-19T02:11:21.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-19T02:11:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-19T02:11:33.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612749,0,0,2021-12-19T02:11:33Z,40000,,,0,,Jump Ball D. Cousins vs. J. Allen: Tip to Team (MIL),"[202326, 1628386]",1610612749.0,MIL,startperiod,Team (MIL),Cousins,202326.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-19T02:11:51.2Z,1,REGULAR,2pt,Jump Shot,[],1629670,20.581471747700395,77.20588235294117,1610612749,0,0,2021-12-19T02:11:56Z,70000,-136.0,141.0,1,left,MISS J. Nwora 19' step back Shot,[1629670],1610612749.0,MIL,step back,,,,,,19.59,Missed,Nwora,J. Nwora,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-12-19T02:11:54.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2021-12-19T02:11:56Z,80000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,,,,,,Allen,J. Allen,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-12-19T02:11:59.3Z,1,REGULAR,turnover,lost ball,[],1629636,,,1610612739,0,0,2021-12-19T02:12:04Z,90000,,,0,,D. Garland lost ball TURNOVER (1 TO),"[1629636, 202326]",1610612739.0,CLE,,,,,,,,,Garland,D. Garland,,,,,1.0,Cousins,202326.0,,,,,,,,,,,,
10,PT11M38.00S,2021-12-19T02:11:59.3Z,1,REGULAR,steal,,[],202326,,,1610612749,0,0,2021-12-19T02:12:01Z,100000,,,0,,D. Cousins STEAL (1 STL),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,,,,,,,,,,,,,,,,,,,
11,PT11M34.00S,2021-12-19T02:12:02.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201588,7.30946123521682,49.754901960784316,1610612749,2,0,2021-12-19T02:12:11Z,110000,1.0,16.0,1,left,G. Hill running DUNK (2 PTS),[201588],1610612749.0,MIL,running,,,,,,1.62,Made,Hill,G. Hill,,,,,,,,2.0,,,,,,,,,,,
12,PT11M15.00S,2021-12-19T02:12:20.9Z,1,REGULAR,3pt,Jump Shot,[],1629636,65.39093298291722,31.862745098039213,1610612739,2,3,2021-12-19T02:12:28Z,120000,-91.0,273.0,1,right,D. Garland 28' 3PT  (3 PTS) (L. Markkanen 1 AST),"[1629636, 1628374]",1610612739.0,CLE,,,,,,,28.75,Made,Garland,D. Garland,,,,,,,,3.0,L. Markkanen,1628374.0,1.0,,,,,,,,
14,PT11M02.00S,2021-12-19T02:12:34.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630606,8.623521681997373,46.568627450980394,1610612749,2,3,2021-12-19T02:12:39Z,140000,17.0,29.0,1,left,MISS J. Smart driving Layup,[1630606],1610612749.0,MIL,driving,,,,,,3.34,Missed,Smart,J. Smart,,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2021-12-19T02:12:35.7Z,1,REGULAR,rebound,offensive,[],202326,,,1610612749,2,3,2021-12-19T02:12:39Z,150000,,,0,,D. Cousins REBOUND (Off:1 Def:0),[202326],1610612749.0,MIL,,,,,,,,,Cousins,D. Cousins,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
