actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,value,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-20T01:10:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T01:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-20T01:10:44.4Z,1,REGULAR,jumpball,recovered,[],203114,,,1610612749,0,0,2021-11-20T01:10:44Z,40000,,,0,,Jump Ball B. Portis vs. J. Robinson-Earl: Tip to K. Middleton,"[203114, 1626171, 1630526]",1610612749.0,MIL,startperiod,K. Middleton,203114.0,Middleton,K. Middleton,Portis,1626171.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-20T01:10:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.835085413929041,52.20588235294118,1610612749,2,0,2021-11-20T01:10:59Z,70000,-11.0,21.0,1,left,J. Holiday cutting Layup (2 PTS) (K. Middleton 1 AST),"[201950, 203114]",1610612749.0,MIL,cutting,,,Holiday,J. Holiday,,,,,2.38,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2021-11-20T01:11:15.3Z,1,REGULAR,3pt,Jump Shot,[],1629647,94.30026281208936,96.56862745098039,1610612760,2,0,2021-11-20T01:11:20Z,90000,233.0,1.0,1,right,MISS D. Bazley 3PT,[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,23.28,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-11-20T01:11:18.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2021-11-20T01:11:20Z,100000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M14.00S,2021-11-20T01:11:25.8Z,1,REGULAR,3pt,Jump Shot,[],203114,31.750985545335087,29.411764705882355,1610612749,5,0,2021-11-20T01:11:30Z,110000,103.0,246.0,1,left,K. Middleton 26' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[203114, 203507]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.67,Made,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,,,
13,PT11M03.00S,2021-11-20T01:11:36.7Z,1,REGULAR,3pt,Jump Shot,[],1630526,71.69842312746385,16.176470588235293,1610612760,5,0,2021-11-20T01:11:42Z,130000,-169.0,214.0,1,right,MISS J. Robinson-Earl 27' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,27.24,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2021-11-20T01:11:40.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,0,2021-11-20T01:11:42Z,140000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,
15,PT10M52.00S,2021-11-20T01:11:47.3Z,1,REGULAR,3pt,Jump Shot,[],1626171,33.459264126149804,50.73529411764706,1610612749,8,0,2021-11-20T01:11:53Z,150000,-4.0,262.0,1,left,B. Portis 26' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,26.2,Made,3.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,,,,,
17,PT10M40.00S,2021-11-20T01:11:59.5Z,1,REGULAR,2pt,Jump Shot,[],1629652,74.32654402102497,48.28431372549019,1610612760,8,0,2021-11-20T01:12:05Z,170000,-9.0,189.0,1,right,MISS L. Dort 18' pullup Shot,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,18.9,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2021-11-20T01:12:02.5Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,8,0,2021-11-20T01:12:05Z,180000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M32.00S,2021-11-20T01:12:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,7.178055190538765,50.0,1610612749,10,0,2021-11-20T01:12:18Z,190000,0.0,15.0,1,left,G. Allen driving Layup (2 PTS),[1628960],1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,1.5,Made,2.0,,,,,,,,,,,,,,,,,,
20,PT10M32.00S,2021-11-20T01:12:14.4Z,1,REGULAR,foul,personal,['1freethrow'],1628983,,,1610612749,10,0,2021-11-20T01:12:30Z,200000,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Allen 1 FT),"[1628983, 1628960]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,204058.0,1.0,0.0,Allen,1628960.0,,,,,,
22,PT10M32.00S,2021-11-20T01:12:35.2Z,1,REGULAR,freethrow,1 of 1,[],1628960,,,1610612749,11,0,2021-11-20T01:12:35Z,220000,,,0,,G. Allen Free Throw 1 of 1 (3 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
23,PT10M22.00S,2021-11-20T01:12:48.8Z,1,REGULAR,foul,personal,[],201950,,,1610612760,11,0,2021-11-20T01:12:56Z,230000,,,0,,J. Holiday personal FOUL (1 PF),"[201950, 1628983]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,202901.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,
25,PT10M07.00S,2021-11-20T01:13:16.5Z,1,REGULAR,3pt,Jump Shot,[],1630526,74.85216819973719,90.19607843137256,1610612760,11,0,2021-11-20T01:13:22Z,250000,201.0,184.0,1,right,MISS J. Robinson-Earl 27' step back 3PT,[1630526],1610612760.0,OKC,step back,,,Robinson-Earl,J. Robinson-Earl,,,,,27.24,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M05.00S,2021-11-20T01:13:19.6Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,11,0,2021-11-20T01:13:19Z,260000,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,
27,PT09M57.00S,2021-11-20T01:13:27.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,9.411957950065702,49.754901960784316,1610612749,11,0,2021-11-20T01:13:50Z,270000,1.0,36.0,1,left,MISS G. Antetokounmpo reverse Layup - blocked,"[203507, 1629647]",1610612749.0,MIL,reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,3.6,Missed,,,,,,,,,,,,,,Bazley,1629647.0,,,,
28,PT09M57.00S,2021-11-20T01:13:27.5Z,1,REGULAR,block,,[],1629647,,,1610612749,11,0,2021-11-20T01:13:30Z,280000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M54.00S,2021-11-20T01:13:30.5Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,11,0,2021-11-20T01:13:32Z,290000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
30,PT09M40.00S,2021-11-20T01:13:47.3Z,1,REGULAR,foul,personal,['2freethrow'],1626171,,,1610612760,11,0,2021-11-20T01:13:58Z,300000,,,0,,B. Portis shooting personal FOUL (1 PF) (Giddey 2 FT),"[1626171, 1630581]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,,,,,,,,,,,2715.0,1.0,0.0,Giddey,1630581.0,,,,,,
32,PT09M40.00S,2021-11-20T01:14:08.4Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612760,11,0,2021-11-20T01:14:22Z,320000,,,0,,MISS J. Giddey Free Throw 1 of 2,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2021-11-20T01:14:08.4Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,11,0,2021-11-20T01:14:22Z,330000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,
34,PT09M40.00S,2021-11-20T01:14:08.4Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612760,11,0,2021-11-20T01:14:22Z,340000,,,0,,MISS J. Giddey Free Throw 2 of 2,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,Missed,,,,,,,,,,,,,,,,,,,
35,PT09M37.00S,2021-11-20T01:14:11.4Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,11,0,2021-11-20T01:14:22Z,350000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,
36,PT09M22.00S,2021-11-20T01:14:36.7Z,1,REGULAR,3pt,Jump Shot,[],203114,30.699737187910642,73.2843137254902,1610612749,11,0,2021-11-20T01:14:41Z,360000,-116.0,236.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,,
37,PT09M19.00S,2021-11-20T01:14:39.7Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,11,0,2021-11-20T01:14:41Z,370000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT09M14.00S,2021-11-20T01:14:44.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,90.88370565045992,56.86274509803921,1610612760,11,0,2021-11-20T01:14:52Z,380000,34.0,33.0,1,right,MISS J. Giddey running Layup,[1630581],1610612760.0,OKC,running,,,Giddey,J. Giddey,,,,,4.77,Missed,,,,,,,,,,,,,,,,,,,
39,PT09M10.00S,2021-11-20T01:14:48.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,11,0,2021-11-20T01:14:52Z,390000,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,
41,PT08M58.00S,2021-11-20T01:15:01.4Z,1,REGULAR,foul,personal,['2freethrow'],1630526,,,1610612749,11,0,2021-11-20T01:15:15Z,410000,,,0,,J. Robinson-Earl shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630526, 203507]",1610612760.0,OKC,shooting,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
43,PT08M58.00S,2021-11-20T01:15:43.7Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,12,0,2021-11-20T01:15:43Z,430000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
44,PT08M58.00S,2021-11-20T01:16:04.5Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,13,0,2021-11-20T01:16:04Z,440000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
45,PT08M39.00S,2021-11-20T01:16:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,67.7562417871222,29.166666666666668,1610612760,13,3,2021-11-20T01:16:29Z,450000,-104.0,251.0,1,right,L. Dort 27' 3PT pullup (3 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,27.14,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,,
47,PT08M21.00S,2021-11-20T01:16:42.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,5.995400788436268,50.98039215686274,1610612749,13,3,2021-11-20T01:16:47Z,470000,-5.0,4.0,1,left,MISS G. Allen driving Layup,[1628960],1610612749.0,MIL,driving,,,Allen,G. Allen,,,,,0.63,Missed,,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2021-11-20T01:16:44.7Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,13,3,2021-11-20T01:16:44Z,480000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,
49,PT08M13.00S,2021-11-20T01:16:49.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630581,92.06636005256242,53.92156862745098,1610612760,13,5,2021-11-20T01:16:59Z,490000,20.0,22.0,1,right,J. Giddey running reverse Layup (2 PTS),[1630581],1610612760.0,OKC,running reverse,,,Giddey,J. Giddey,,,,,2.95,Made,2.0,,,,,,,,,,,,,,,,,,
50,PT07M48.00S,2021-11-20T01:17:18.2Z,1,REGULAR,turnover,out-of-bounds,[],201950,,,1610612749,13,5,2021-11-20T01:17:25Z,500000,,,0,,J. Holiday lost ball out-of-bounds TURNOVER (1 TO),[201950],1610612749.0,MIL,lost ball,,,Holiday,J. Holiday,,,,,,,,,,,,,,,202901.0,,,,,,,1.0,,,
58,PT07M48.00S,2021-11-20T01:17:27.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,13,5,2021-11-20T01:18:51Z,505000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M34.00S,2021-11-20T01:17:36.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630526,92.06636005256242,67.40196078431373,1610612760,13,7,2021-11-20T01:17:42Z,510000,87.0,22.0,1,right,J. Robinson-Earl 8' Jump Shot (2 PTS) (L. Dort 1 AST),"[1630526, 1629652]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,8.98,Made,2.0,L. Dort,1629652.0,1.0,,,,,,,,,,,,,,,
53,PT07M24.00S,2021-11-20T01:17:46.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.703679369250986,50.49019607843137,1610612749,15,7,2021-11-20T01:17:52Z,530000,-2.0,20.0,1,left,G. Antetokounmpo alley-oop DUNK (4 PTS) (J. Holiday 1 AST),"[203507, 201950]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,2.01,Made,4.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,,
55,PT07M09.00S,2021-11-20T01:18:01.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,83.78777923784494,31.372549019607842,1610612760,15,9,2021-11-20T01:18:06Z,550000,-93.0,100.0,1,right,S. Gilgeous-Alexander 13' fadeaway Jump Shot (2 PTS),[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,13.66,Made,2.0,,,,,,,,,,,,,,,,,,
56,PT06M57.00S,2021-11-20T01:18:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,7.835085413929041,49.754901960784316,1610612749,17,9,2021-11-20T01:20:05Z,560000,1.0,21.0,1,left,J. Holiday driving finger roll Layup (4 PTS),[201950],1610612749.0,MIL,driving finger roll,,,Holiday,J. Holiday,,,,,2.11,Made,4.0,,,,,,,,,,,,,,,,,,
57,PT06M52.00S,2021-11-20T01:18:23.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,17,9,2021-11-20T01:18:23Z,570000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M52.00S,2021-11-20T01:20:26.2Z,1,REGULAR,substitution,out,[],203114,,,1610612760,17,9,2021-11-20T01:20:53Z,580000,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2021-11-20T01:20:26.2Z,1,REGULAR,substitution,out,[],1626171,,,1610612760,17,9,2021-11-20T01:20:53Z,590000,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M52.00S,2021-11-20T01:20:26.2Z,1,REGULAR,substitution,in,[],1626192,,,1610612760,17,9,2021-11-20T01:20:53Z,600000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M52.00S,2021-11-20T01:20:26.2Z,1,REGULAR,substitution,in,[],201588,,,1610612760,17,9,2021-11-20T01:20:53Z,610000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M34.00S,2021-11-20T01:21:38.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,17,9,2021-11-20T01:21:38Z,620000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M30.00S,2021-11-20T01:21:52.7Z,1,REGULAR,3pt,Jump Shot,[],1630581,71.43561103810775,83.57843137254902,1610612760,17,9,2021-11-20T01:22:03Z,630000,168.0,216.0,1,right,MISS J. Giddey 27' 3PT,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,,
65,PT06M26.00S,2021-11-20T01:21:57.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,17,9,2021-11-20T01:21:57Z,640000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,64.0,3.0,3.0,0.0,,,,,,,,,,,
66,PT06M52.00S,2021-11-20T01:21:59.2Z,1,REGULAR,memo,,[],0,,,1610612749,17,9,2021-11-20T01:43:33Z,650000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Khris Middleton set new Bucks 3-pt FGM record @ 11:14 of 1st Qtr. (1,052 3-pt FGM)",,
67,PT06M22.00S,2021-11-20T01:22:01.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626192,33.98488830486202,27.450980392156865,1610612749,17,9,2021-11-20T01:22:10Z,660000,113.0,267.0,1,left,MISS P. Connaughton 28' running 3PT,[1626192],1610612749.0,MIL,running,,,Connaughton,P. Connaughton,,,,,28.98,Missed,,,,,,,,,,,,,,,,,,,
68,PT06M22.00S,2021-11-20T01:22:01.4Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,17,9,2021-11-20T01:22:10Z,670000,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:2),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,
69,PT06M09.00S,2021-11-20T01:22:19.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,17,9,2021-11-20T01:22:19Z,680000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M05.00S,2021-11-20T01:22:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,91.93495400788436,58.08823529411765,1610612760,17,11,2021-11-20T01:22:37Z,690000,40.0,23.0,1,right,L. Dort cutting Layup (5 PTS) (J. Giddey 2 AST),"[1629652, 1630581]",1610612760.0,OKC,cutting,,,Dort,L. Dort,,,,,4.66,Made,5.0,J. Giddey,1630581.0,2.0,,,,,,,,,,,,,,,
72,PT05M51.00S,2021-11-20T01:22:46.4Z,1,REGULAR,3pt,Jump Shot,[],201588,32.14520367936925,66.17647058823529,1610612749,20,11,2021-11-20T01:22:51Z,710000,-81.0,250.0,1,left,G. Hill 26' 3PT  (3 PTS) (G. Allen 1 AST),"[201588, 1628960]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,26.25,Made,3.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,,
74,PT05M33.00S,2021-11-20T01:23:03.1Z,1,REGULAR,3pt,Jump Shot,[],1628983,69.33311432325887,75.49019607843137,1610612760,20,11,2021-11-20T01:23:09Z,730000,127.0,236.0,1,right,MISS S. Gilgeous-Alexander 26' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,26.81,Missed,,,,,,,,,,,,,,,,,,,
75,PT05M31.00S,2021-11-20T01:23:06.0Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612760,20,11,2021-11-20T01:23:06Z,740000,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,74.0,1.0,0.0,1.0,,,,,,,,,,,
76,PT05M25.00S,2021-11-20T01:23:11.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630581,71.43561103810775,45.588235294117645,1610612760,20,11,2021-11-20T01:23:16Z,750000,-22.0,216.0,1,right,MISS J. Giddey 21' pullup Shot,[1630581],1610612760.0,OKC,pullup,,,Giddey,J. Giddey,,,,,21.71,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M23.00S,2021-11-20T01:23:13.6Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,20,11,2021-11-20T01:23:16Z,760000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,
78,PT05M14.00S,2021-11-20T01:23:22.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,6.783837056504599,48.77450980392157,1610612749,22,11,2021-11-20T01:23:27Z,770000,6.0,11.0,1,left,P. Connaughton driving Layup (2 PTS) (J. Holiday 2 AST),"[1626192, 201950]",1610612749.0,MIL,driving,,,Connaughton,P. Connaughton,,,,,1.28,Made,2.0,J. Holiday,201950.0,2.0,,,,,,,,,,,,,,,
80,PT05M02.00S,2021-11-20T01:23:38.6Z,1,REGULAR,foul,offensive,[],1630526,,,1610612760,22,11,2021-11-20T01:24:57Z,790000,,,0,,J. Robinson-Earl off-the-ball offensive FOUL (2 PF),"[1630526, 1628960]",1610612760.0,OKC,off-the-ball,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,202901.0,2.0,0.0,Allen,1628960.0,,,,,,
82,PT05M02.00S,2021-11-20T01:23:38.6Z,1,REGULAR,turnover,offensive foul,[],1630526,,,1610612760,22,11,2021-11-20T01:23:38Z,810000,,,0,,J. Robinson-Earl offensive foul TURNOVER (1 TO),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,202901.0,,,,,,,1.0,,,
