actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-05T01:14:28.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-05T01:14:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-05T01:14:32.8Z,1,REGULAR,jumpball,recovered,[],1626192,,,1610612749,0,0,2021-12-05T01:14:32Z,40000,,,0,,Jump Ball B. Portis vs. D. Dedmon: Tip to P. Connaughton,"[1626192, 1626171, 203473]",1610612749.0,MIL,startperiod,P. Connaughton,1626192.0,Connaughton,P. Connaughton,Portis,1626171.0,Dedmon,203473.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-05T01:14:44.9Z,1,REGULAR,3pt,Jump Shot,[],1626192,24.52365308804205,85.7843137254902,1610612749,0,0,2021-12-05T01:14:50Z,70000,-179.0,178.0,1,left,MISS P. Connaughton 25' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,25.24,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-05T01:14:48.9Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2021-12-05T01:14:50Z,80000,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M29.00S,2021-12-05T01:15:03.2Z,1,REGULAR,foul,personal,[],1630572,,,1610612748,0,0,2021-12-05T01:15:14Z,90000,,,0,,S. Mamukelashvili personal FOUL (1 PF),"[1630572, 200768]",1610612749.0,MIL,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,202041.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,
11,PT11M16.00S,2021-12-05T01:15:28.9Z,1,REGULAR,2pt,Jump Shot,[],200768,79.45137976346912,30.392156862745097,1610612748,0,0,2021-12-05T01:15:33Z,110000,-98.0,141.0,1,right,MISS K. Lowry 17' turnaround Shot,[200768],1610612748.0,MIA,turnaround,,,Lowry,K. Lowry,,,,,17.15,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2021-12-05T01:15:31.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,0,0,2021-12-05T01:15:33Z,120000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M04.00S,2021-12-05T01:15:42.7Z,1,REGULAR,3pt,Jump Shot,[],1626171,18.74178712220762,95.58823529411765,1610612749,0,0,2021-12-05T01:15:48Z,130000,-228.0,124.0,1,left,MISS B. Portis 25' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2021-12-05T01:15:42.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,0,2021-12-05T01:15:48Z,140000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2021-12-05T01:15:47.4Z,1,REGULAR,foul,personal,[],200782,,,1610612749,0,0,2021-12-05T01:16:21Z,150000,,,0,,P. Tucker loose ball personal FOUL (1 PF),"[200782, 1630572]",1610612748.0,MIA,loose ball,,,Tucker,P. Tucker,,,,,,,,,,,202041.0,1.0,0.0,Mamukelashvili,1630572.0,,,,,,,,,,
