actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-14T00:32:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-14T00:32:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-01-14T00:32:47.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-01-14T00:32:47Z,40000,,,0,,Jump Ball B. Portis vs. K. Looney: Tip to G. Antetokounmpo,"[203507, 1626171, 1626172]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-01-14T00:32:55.5Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612749,0,0,2022-01-14T00:33:07Z,70000,,,0,,K. Looney shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1626172, 203507]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,1626302.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,
9,PT11M47.00S,2022-01-14T00:33:29.8Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,0,0,2022-01-14T00:33:29Z,90000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,
10,PT11M47.00S,2022-01-14T00:33:29.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,0,2022-01-14T00:33:29Z,100000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M47.00S,2022-01-14T00:33:51.1Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,1,0,2022-01-14T00:33:51Z,110000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,,1.0,,,,,,,,,,,,,
12,PT11M34.00S,2022-01-14T00:34:04.5Z,1,REGULAR,3pt,Jump Shot,[],202691,69.59592641261499,21.07843137254902,1610612744,1,0,2022-01-14T00:34:12Z,120000,-145.0,233.0,1,right,MISS K. Thompson 27' pullup 3PT,[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,,,,,,Missed,,,27.45,,,,,,,,,,,,
13,PT11M31.00S,2022-01-14T00:34:07.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,1,0,2022-01-14T00:34:12Z,130000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,,
14,PT11M23.00S,2022-01-14T00:34:16.8Z,1,REGULAR,turnover,bad pass,[],1626171,,,1610612749,1,0,2022-01-14T00:34:21Z,140000,,,0,,B. Portis bad pass TURNOVER (1 TO),"[1626171, 1627780]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,1.0,Payton II,1627780.0,,,,,,
15,PT11M23.00S,2022-01-14T00:34:16.8Z,1,REGULAR,steal,,[],1627780,,,1610612744,1,0,2022-01-14T00:34:19Z,150000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M16.00S,2022-01-14T00:34:24.2Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,79.84559789750328,32.84313725490196,1610612744,1,0,2022-01-14T00:34:31Z,160000,-86.0,137.0,1,right,MISS K. Thompson 16' running pullup Shot,[202691],1610612744.0,GSW,running pullup,,,Thompson,K. Thompson,,,,,,,,,,Missed,,,16.16,,,,,,,,,,,,
17,PT11M13.00S,2022-01-14T00:34:27.2Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,1,0,2022-01-14T00:34:31Z,170000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,16.0,,,1.0,1.0,0.0,,,,,,,,,
18,PT11M05.00S,2022-01-14T00:34:34.8Z,1,REGULAR,3pt,Jump Shot,[],1626171,34.641918528252305,45.34313725490196,1610612749,1,0,2022-01-14T00:34:38Z,180000,23.0,273.0,1,left,MISS B. Portis 27' 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,Missed,,,27.41,,,,,,,,,,,,
19,PT11M02.00S,2022-01-14T00:34:37.8Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,1,0,2022-01-14T00:34:38Z,190000,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,18.0,,,1.0,1.0,0.0,,,,,,,,,
20,PT10M59.00S,2022-01-14T00:34:39.8Z,1,REGULAR,turnover,lost ball,[],201939,,,1610612744,1,0,2022-01-14T00:34:48Z,200000,,,0,,S. Curry lost ball TURNOVER (1 TO),"[201939, 202083]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,1.0,Matthews,202083.0,,,,,,
21,PT10M59.00S,2022-01-14T00:34:39.8Z,1,REGULAR,steal,,[],202083,,,1610612749,1,0,2022-01-14T00:34:43Z,210000,,,0,,W. Matthews STEAL (1 STL),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M58.00S,2022-01-14T00:34:44.1Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612749,1,0,2022-01-14T00:35:01Z,220000,,,0,,K. Looney shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[1626172, 203507]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,101283.0,2.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,
24,PT10M58.00S,2022-01-14T00:35:21.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,1,0,2022-01-14T00:35:21Z,240000,,,0,,MISS G. Antetokounmpo Free Throw 1 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,
