actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-18T00:45:45.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T00:45:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-18T00:45:48.7Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2021-11-18T00:45:48Z,40000,,,0,,Jump Ball A. Davis vs. B. Portis: Tip to R. Westbrook,"[201566, 203076, 1626171]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Davis,203076.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-18T00:46:00.6Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612747,0,0,2021-11-18T00:46:10Z,70000,,,0,,R. Westbrook bad pass TURNOVER (1 TO),"[201566, 203507]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-18T00:46:00.6Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2021-11-18T00:46:03Z,80000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-18T00:46:11.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,19.66162943495401,4.901960784313726,1610612749,0,0,2021-11-18T00:46:17Z,90000,225.0,132.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,26.14,Missed,,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-11-18T00:46:14.3Z,1,REGULAR,rebound,defensive,[],2546,,,1610612747,0,0,2021-11-18T00:46:17Z,100000,,,0,,C. Anthony REBOUND (Off:0 Def:1),[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M12.00S,2021-11-18T00:46:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,79.84559789750328,47.549019607843135,1610612747,0,2,2021-11-18T00:46:37Z,110000,-12.0,137.0,1,right,A. Davis 13' turnaround Jump Shot (2 PTS),[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,,,,13.76,Made,,,,,2.0,,,,,,,,,,,
12,PT10M59.00S,2021-11-18T00:46:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,7.703679369250986,50.73529411764706,1610612749,0,2,2021-11-18T00:46:49Z,120000,-4.0,20.0,1,left,MISS K. Middleton driving Layup,[203114],1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,,,,2.02,Missed,,,,,,,,,,,,,,,,
13,PT10M57.00S,2021-11-18T00:46:46.6Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2021-11-18T00:46:49Z,130000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M52.00S,2021-11-18T00:46:56.5Z,1,REGULAR,foul,personal,[],203114,,,1610612747,0,2,2021-11-18T00:47:06Z,140000,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 203076]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,1627961.0,1.0,0.0,Davis,203076.0,,,,,,
16,PT10M45.00S,2021-11-18T00:47:17.9Z,1,REGULAR,2pt,Jump Shot,[],203076,78.53153745072274,64.95098039215686,1610612747,0,2,2021-11-18T00:47:24Z,160000,75.0,149.0,1,right,MISS A. Davis 16' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,16.7,Missed,,,,,,,,,,,,,,,,
17,PT10M42.00S,2021-11-18T00:47:20.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,2,2021-11-18T00:47:24Z,170000,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M25.00S,2021-11-18T00:47:38.8Z,1,REGULAR,3pt,Jump Shot,[],201950,3.4986859395532193,98.0392156862745,1610612749,0,2,2021-11-18T00:47:45Z,180000,-240.0,-20.0,1,left,MISS J. Holiday 24' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,24.1,Missed,,,,,,,,,,,,,,,,
19,PT10M20.00S,2021-11-18T00:47:42.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,2,2021-11-18T00:47:42Z,190000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M10.00S,2021-11-18T00:47:53.1Z,1,REGULAR,3pt,Jump Shot,[],201566,65.65374507227332,19.362745098039216,1610612747,0,5,2021-11-18T00:47:59Z,200000,-153.0,270.0,1,right,R. Westbrook 31' 3PT  (3 PTS) (A. Davis 1 AST),"[201566, 203076]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,31.08,Made,,,,,3.0,,,,,,A. Davis,203076.0,1.0,,,
22,PT09M54.00S,2021-11-18T00:48:09.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201950,7.440867279894875,34.068627450980394,1610612749,0,5,2021-11-18T00:48:19Z,220000,80.0,17.0,1,left,MISS J. Holiday 8' fadeaway Shot,[201950],1610612749.0,MIL,fadeaway,,,Holiday,J. Holiday,,,,,,,,8.16,Missed,,,,,,,,,,,,,,,,
23,PT09M52.00S,2021-11-18T00:48:11.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,5,2021-11-18T00:48:19Z,230000,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
36,PT09M52.00S,2021-11-18T00:48:19.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,0,5,2021-11-18T00:50:00Z,235000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M38.00S,2021-11-18T00:48:29.3Z,1,REGULAR,3pt,Jump Shot,[],202340,94.69448094612353,4.166666666666666,1610612747,0,5,2021-11-18T00:48:35Z,240000,-229.0,-3.0,1,right,MISS A. Bradley 3PT,[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,22.92,Missed,,,,,,,,,,,,,,,,
25,PT09M35.00S,2021-11-18T00:48:32.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,5,2021-11-18T00:48:35Z,250000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M29.00S,2021-11-18T00:48:38.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,7.30946123521682,49.50980392156863,1610612749,2,5,2021-11-18T00:48:43Z,260000,2.0,16.0,1,left,G. Antetokounmpo DUNK (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,1.64,Made,,,,,2.0,,,,,,,,,,,
27,PT09M13.00S,2021-11-18T00:48:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629659,67.7562417871222,13.970588235294118,1610612747,2,8,2021-11-18T00:49:00Z,270000,-180.0,251.0,1,right,T. Horton-Tucker 30' 3PT  (3 PTS) (R. Westbrook 1 AST),"[1629659, 201566]",1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,30.86,Made,,,,,3.0,,,,,,R. Westbrook,201566.0,1.0,,,
29,PT08M54.00S,2021-11-18T00:49:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,6.521024967148489,50.245098039215684,1610612749,4,8,2021-11-18T00:49:18Z,290000,-1.0,9.0,1,left,G. Antetokounmpo driving finger roll Layup (4 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,0.89,Made,,,,,4.0,,,,,,,,,,,
30,PT08M42.00S,2021-11-18T00:49:25.5Z,1,REGULAR,3pt,Jump Shot,[],2546,71.56701708278581,80.63725490196079,1610612747,4,8,2021-11-18T00:49:35Z,300000,153.0,215.0,1,right,MISS C. Anthony 26' 3PT,[2546],1610612747.0,LAL,,,,Anthony,C. Anthony,,,,,,,,26.38,Missed,,,,,,,,,,,,,,,,
31,PT08M39.00S,2021-11-18T00:49:28.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,4,8,2021-11-18T00:49:28Z,310000,,,0,,A. Davis REBOUND (Off:1 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,,,,
32,PT08M38.00S,2021-11-18T00:49:29.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203076,92.32917214191852,51.71568627450981,1610612747,4,8,2021-11-18T00:49:43Z,320000,9.0,20.0,1,right,MISS A. Davis putback DUNK - blocked,"[203076, 203507]",1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,,,,2.14,Missed,,,,,,,,,,,,,,Antetokounmpo,203507.0,
