actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-19T23:37:02.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-19T23:37:02Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-10-19T23:37:06.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2021-10-19T23:37:06Z,40000,,,0,,Jump Ball B. Lopez vs. N. Claxton: Tip to G. Antetokounmpo,"[203507, 201572, 1629651]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-10-19T23:37:18.4Z,1,REGULAR,3pt,Jump Shot,[],1628960,27.94021024967148,82.84313725490196,1610612749,0,0,2021-10-19T23:37:24Z,70000,-164.0,210.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,26.67,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-10-19T23:37:21.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612751,0,0,2021-10-19T23:37:24Z,80000,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612751.0,BKN,,,,Durant,K. Durant,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-10-19T23:37:36.7Z,1,REGULAR,foul,personal,['2freethrow'],203507,,,1610612751,0,0,2021-10-19T23:38:19Z,90000,,,0,,G. Antetokounmpo shooting personal FOUL (1 PF) (Claxton 2 FT),"[203507, 1629651]",1610612749.0,MIL,shooting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,1627541.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,
11,PT11M27.00S,2021-10-19T23:38:21.1Z,1,REGULAR,freethrow,1 of 2,[],1629651,,,1610612751,0,0,2021-10-19T23:38:51Z,110000,,,0,,MISS N. Claxton Free Throw 1 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2021-10-19T23:38:21.1Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,0,0,2021-10-19T23:38:51Z,120000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2021-10-19T23:38:21.1Z,1,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,0,0,2021-10-19T23:38:51Z,130000,,,0,,MISS N. Claxton Free Throw 2 of 2,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M25.00S,2021-10-19T23:38:23.1Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2021-10-19T23:38:51Z,140000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT11M13.00S,2021-10-19T23:38:48.6Z,1,REGULAR,3pt,Jump Shot,[],203507,33.590670170827856,50.0,1610612749,0,0,2021-10-20T00:07:23Z,150000,0.0,263.0,1,left,MISS G. Antetokounmpo 26' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M10.00S,2021-10-19T23:38:50.9Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,0,0,2021-10-19T23:38:50Z,160000,,,0,,B. Lopez REBOUND (Off:1 Def:0),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
17,PT11M08.00S,2021-10-19T23:38:56.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,0,0,2021-10-19T23:38:56Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2021-10-19T23:39:12.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203507,21.23850197109067,49.01960784313725,1610612749,0,0,2021-10-19T23:39:17Z,180000,5.0,147.0,1,left,MISS G. Antetokounmpo 14' pullup Shot,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,14.72,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M59.00S,2021-10-19T23:39:14.5Z,1,REGULAR,rebound,defensive,[],201933,,,1610612751,0,0,2021-10-19T23:39:17Z,190000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
20,PT10M47.00S,2021-10-19T23:39:27.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,94.03745072273325,50.245098039215684,1610612751,0,2,2021-10-19T23:39:33Z,200000,1.0,4.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (J. Harden 1 AST),"[1629651, 201935]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,0.37,Made,,,,,,,,,,2.0,J. Harden,201935.0,1.0,,,,,,
22,PT10M31.00S,2021-10-19T23:39:43.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203507,16.63929040735874,47.05882352941176,1610612749,0,2,2021-10-19T23:39:49Z,220000,15.0,104.0,1,left,MISS G. Antetokounmpo 10' Hook,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,10.49,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M29.00S,2021-10-19T23:39:45.2Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,2,2021-10-19T23:39:49Z,230000,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
24,PT10M28.00S,2021-10-19T23:39:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,6.389618922470433,48.77450980392157,1610612749,2,2,2021-10-19T23:39:54Z,240000,6.0,8.0,1,left,G. Antetokounmpo putback Layup (2 PTS),[203507],1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,0.97,Made,,,,,,,,,,2.0,,,,,,,,,
25,PT10M16.00S,2021-10-19T23:39:58.8Z,1,REGULAR,3pt,Jump Shot,[],201935,76.16622864651774,7.352941176470589,1610612751,2,2,2021-10-19T23:40:04Z,250000,-213.0,172.0,1,right,MISS J. Harden 27' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,27.36,Missed,,,,,,,,,,,,,,,,,,,
