actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-31T00:13:20.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T00:13:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-31T00:13:23.9Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2021-10-31T00:13:23Z,40000,,,0,,Jump Ball J. Poeltl vs. T. Antetokounmpo: Tip to K. Johnson,"[1629640, 1627751, 203648]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Antetokounmpo,203648.0,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-10-31T00:13:34.4Z,1,REGULAR,foul,personal,['2freethrow'],203648,,,1610612759,0,0,2021-10-31T00:13:44Z,70000,,,0,,T. Antetokounmpo shooting personal FOUL (1 PF) (Walker IV 2 FT),"[203648, 1629022]",1610612749.0,MIL,shooting,,,Antetokounmpo,T. Antetokounmpo,,,,,2005.0,1.0,0.0,Walker IV,1629022.0,,,,,,,,,,,,,,,
9,PT11M48.00S,2021-10-31T00:14:05.5Z,1,REGULAR,freethrow,1 of 2,[],1629022,,,1610612759,0,0,2021-10-31T00:14:05Z,90000,,,0,,MISS L. Walker IV Free Throw 1 of 2,[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M48.00S,2021-10-31T00:14:05.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,0,0,2021-10-31T00:14:05Z,100000,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M48.00S,2021-10-31T00:14:16.9Z,1,REGULAR,freethrow,2 of 2,[],1629022,,,1610612759,0,1,2021-10-31T00:14:16Z,110000,,,0,,L. Walker IV Free Throw 2 of 2 (1 PTS),[1629022],1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M36.00S,2021-10-31T00:14:29.4Z,1,REGULAR,3pt,Jump Shot,[],1628960,9.806176084099869,2.2058823529411766,1610612749,0,1,2021-10-31T00:14:34Z,120000,239.0,40.0,1,left,MISS G. Allen 24' 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,Missed,,,24.23,,,,,,,,,,,
13,PT11M33.00S,2021-10-31T00:14:32.8Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,1,2021-10-31T00:14:32Z,130000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
14,PT11M24.00S,2021-10-31T00:14:42.0Z,1,REGULAR,2pt,Jump Shot,[],1629640,77.34888304862024,46.568627450980394,1610612759,0,1,2021-10-31T00:14:48Z,140000,-17.0,160.0,1,right,MISS K. Johnson 16' pullup Shot,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,,,,,,Missed,,,16.13,,,,,,,,,,,
16,PT11M20.00S,2021-10-31T00:14:46.0Z,1,REGULAR,rebound,defensive,[],203648,,,1610612749,0,1,2021-10-31T00:14:48Z,160000,,,0,,T. Antetokounmpo REBOUND (Off:0 Def:1),[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,
17,PT11M19.00S,2021-10-31T00:14:52.0Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,0,1,2021-10-31T00:16:51Z,170000,,,0,,G. Antetokounmpo offensive FOUL (1 PF),"[203507, 1629640]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,2005.0,1.0,0.0,Johnson,1629640.0,,,,,,,,,,,,,,,
19,PT11M19.00S,2021-10-31T00:14:52.0Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,0,1,2021-10-31T00:14:52Z,190000,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,2005.0,,,,,,,,,,,,1.0,,,,,,,
20,PT11M08.00S,2021-10-31T00:15:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627751,93.77463863337714,51.225490196078425,1610612759,0,3,2021-10-31T00:15:16Z,200000,6.0,6.0,1,right,J. Poeltl cutting Layup (2 PTS) (D. Murray 1 AST),"[1627751, 1627749]",1610612759.0,SAS,cutting,,,Poeltl,J. Poeltl,,,,,,,,,,Made,,2.0,0.86,,,,,D. Murray,1627749.0,1.0,,,,
22,PT10M47.00S,2021-10-31T00:15:31.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,5.995400788436268,49.754901960784316,1610612749,2,3,2021-10-31T00:15:37Z,220000,1.0,4.0,1,left,G. Antetokounmpo cutting DUNK (2 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,,2.0,0.41,,,,,G. Allen,1628960.0,1.0,,,,
24,PT10M32.00S,2021-10-31T00:15:47.2Z,1,REGULAR,turnover,bad pass,[],1629022,,,1610612759,2,3,2021-10-31T00:15:55Z,240000,,,0,,L. Walker IV bad pass TURNOVER (1 TO),"[1629022, 203114]",1610612759.0,SAS,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,1.0,,,,Middleton,203114.0,,
25,PT10M32.00S,2021-10-31T00:15:47.2Z,1,REGULAR,steal,,[],203114,,,1610612749,2,3,2021-10-31T00:15:50Z,250000,,,0,,K. Middleton STEAL (1 STL),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2021-10-31T00:16:05.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203114,7.966491458607096,85.29411764705883,1610612749,4,3,2021-10-31T00:16:11Z,260000,-176.0,22.0,1,left,K. Middleton 17' step back Jump Shot (2 PTS) (G. Hill 1 AST),"[203114, 201588]",1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,,,,,,Made,,2.0,17.79,,,,,G. Hill,201588.0,1.0,,,,
28,PT10M12.00S,2021-10-31T00:16:15.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,4,3,2021-10-31T00:16:15Z,280000,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M12.00S,2021-10-31T00:18:24.9Z,1,REGULAR,substitution,out,[],203648,,,1610612759,4,3,2021-10-31T00:18:45Z,290000,,,0,,SUB out: T. Antetokounmpo,[203648],1610612749.0,MIL,,,,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
