actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-07T00:10:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-07T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-04-07T00:10:39.8Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-04-07T00:10:39Z,40000,False,,,0,,Jump Ball Z. Collins vs. D. Eubanks: Tip to K. Johnson,"[1629640, 1628380, 1629234]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Collins,1628380.0,Eubanks,1629234.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-04-07T00:10:50.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,94.56307490144546,45.34313725490196,1610612759,0,0,2023-04-07T00:11:39Z,70000,False,-23.0,-1.0,1,right,MISS M. Branham driving Layup - blocked,"[1631103, 1630570]",1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,2.33,Missed,Watford,1630570.0,,,,,,,,,,,,,,,,
8,PT11M50.00S,2023-04-07T00:10:50.6Z,1,REGULAR,block,,[],1630570,,,1610612759,0,0,2023-04-07T00:11:22Z,80000,False,,,0,,T. Watford BLOCK (1 BLK),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M50.00S,2023-04-07T00:10:50.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,0,2023-04-07T00:11:00Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M46.00S,2023-04-07T00:11:06.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629640,92.59198423127464,73.2843137254902,1610612759,2,0,2023-04-07T00:11:52Z,110000,False,116.0,17.0,1,right,K. Johnson 11' Jump Shot (2 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Right,11.76,Made,,,,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,
13,PT11M27.00S,2023-04-07T00:11:25.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629234,12.959921156373195,48.03921568627451,1610612757,2,2,2023-04-07T00:11:29Z,130000,False,10.0,69.0,1,left,D. Eubanks 7' Hook (2 PTS),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,7.0,Made,,,,2.0,,,,,,,,,,,,,,
14,PT11M03.00S,2023-04-07T00:11:49.4Z,1,REGULAR,3pt,Jump Shot,[],1628966,73.80091984231275,19.607843137254903,1610612759,2,2,2023-04-07T00:11:56Z,140000,False,-152.0,194.0,1,right,MISS K. Bates-Diop 24' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,24.63,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2023-04-07T00:11:52.4Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612757,2,2,2023-04-07T00:11:56Z,150000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,Above the Break 3,24+ Left Center,,,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M55.00S,2023-04-07T00:12:18.1Z,1,REGULAR,3pt,Jump Shot,[],1629234,31.61957950065703,31.127450980392158,1610612757,2,5,2023-04-07T00:12:25Z,170000,False,94.0,245.0,1,left,D. Eubanks 26' 3PT  (5 PTS) (J. Williams 1 AST),"[1629234, 1631466]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,Above the Break 3,24+ Right Center,26.23,Made,,,,5.0,J. Williams,1631466.0,1.0,,,,,,,,,,,
