actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-20T00:12:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-20T00:12:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-20T00:12:33.1Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2022-10-20T00:12:33Z,40000,,,0,,Jump Ball M. Plumlee vs. J. Poeltl: Tip to T. Rozier,"[1626179, 203486, 1627751]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Plumlee,203486.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-10-20T00:12:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,17.16491458607096,39.950980392156865,1610612766,0,2,2022-10-20T00:12:51Z,70000,50.0,109.0,1,left,G. Hayward 11' Jump Shot (2 PTS) (T. Rozier 1 AST),"[202330, 1626179]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,In The Paint (Non-RA),8-16 Center,11.99,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-10-20T00:13:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,85.10183968462549,51.71568627450981,1610612759,2,2,2022-10-20T00:13:09Z,90000,9.0,88.0,1,right,T. Jones 8' driving floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,8.79,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2022-10-20T00:13:20.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,7.178055190538765,49.26470588235294,1610612766,2,4,2022-10-20T00:13:24Z,100000,4.0,15.0,1,left,K. Oubre Jr. driving DUNK (2 PTS) (M. Plumlee 1 AST),"[1626162, 203486]",1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.54,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
11,PT10M55.00S,2022-10-20T00:13:35.6Z,1,REGULAR,turnover,lost ball,[],1630170,,,1610612759,2,4,2022-10-20T00:13:43Z,110000,,,0,,D. Vassell lost ball TURNOVER (1 TO),"[1630170, 1626162]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,,,,,,,
12,PT10M55.00S,2022-10-20T00:13:35.6Z,1,REGULAR,steal,,[],1626162,,,1610612766,2,4,2022-10-20T00:13:38Z,120000,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-10-20T00:13:39.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203486,7.046649145860711,50.0,1610612766,2,6,2022-10-20T00:13:55Z,130000,0.0,14.0,1,left,M. Plumlee running DUNK (2 PTS) (G. Hayward 1 AST),"[203486, 202330]",1610612766.0,CHA,running,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,1.37,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
15,PT10M33.00S,2022-10-20T00:13:57.1Z,1,REGULAR,2pt,Jump Shot,[],1629640,87.07293035479631,33.088235294117645,1610612759,4,6,2022-10-20T00:14:14Z,150000,-85.0,69.0,1,right,K. Johnson 10' pullup Jump Shot (2 PTS),[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Left,10.92,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M16.00S,2022-10-20T00:14:14.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,22.026938239159,50.98039215686274,1610612766,4,8,2022-10-20T00:14:20Z,160000,-5.0,155.0,1,left,T. Rozier 15' pullup Jump Shot (2 PTS) (M. Plumlee 2 AST),"[1626179, 203486]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Center,15.47,Made,2.0,M. Plumlee,203486.0,2.0,,,,,,,,,,,,,,
19,PT10M05.00S,2022-10-20T00:14:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.51182654402102,46.81372549019608,1610612759,4,8,2022-10-20T00:14:30Z,180000,-16.0,8.0,1,right,MISS J. Poeltl driving finger roll Layup - blocked,"[1627751, 203486]",1610612759.0,SAS,driving finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.8,Missed,,,,,,,,Plumlee,203486.0,,,,,,,,,
20,PT10M05.00S,2022-10-20T00:14:25.8Z,1,REGULAR,block,,[],203486,,,1610612759,4,8,2022-10-20T00:14:28Z,190000,,,0,,M. Plumlee BLOCK (1 BLK),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M02.00S,2022-10-20T00:14:28.8Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,4,8,2022-10-20T00:14:30Z,200000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
22,PT09M59.00S,2022-10-20T00:14:31.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629023,5.469776609724048,49.50980392156863,1610612766,4,8,2022-10-20T00:14:38Z,210000,2.0,-1.0,1,left,MISS P. Washington Layup,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.27,Missed,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2022-10-20T00:14:34.1Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,4,8,2022-10-20T00:14:34Z,220000,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,
24,PT09M53.00S,2022-10-20T00:14:37.5Z,1,REGULAR,3pt,Jump Shot,[],1629640,73.40670170827858,15.196078431372548,1610612759,4,8,2022-10-20T00:14:43Z,230000,-174.0,197.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
25,PT09M52.00S,2022-10-20T00:14:38.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,4,8,2022-10-20T00:14:43Z,240000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,24.0,,,,,,,,
27,PT09M36.00S,2022-10-20T00:15:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.258212877792378,54.90196078431373,1610612766,4,8,2022-10-20T00:15:10Z,260000,-25.0,6.0,1,left,MISS T. Rozier driving finger roll Layup,[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,2.53,Missed,,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2022-10-20T00:15:08.7Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,4,8,2022-10-20T00:15:10Z,270000,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,
29,PT09M25.00S,2022-10-20T00:15:16.2Z,1,REGULAR,turnover,lost ball,[],1627751,,,1610612759,4,8,2022-10-20T00:15:23Z,280000,,,0,,J. Poeltl lost ball TURNOVER (1 TO),"[1627751, 1626162]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,,,,,,,
30,PT09M25.00S,2022-10-20T00:15:16.2Z,1,REGULAR,steal,,[],1626162,,,1610612766,4,8,2022-10-20T00:15:18Z,290000,,,0,,K. Oubre Jr. STEAL (2 STL),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
