actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-29T01:10:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-29T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-29T01:10:33.5Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-01-29T01:10:33Z,40000,False,,,0,,Jump Ball J. Poeltl vs. D. Ayton: Tip to K. Johnson,"[1629640, 1627751, 1629028]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-29T01:10:44.4Z,1,REGULAR,foul,personal,[],101108,,,1610612759,0,0,2023-01-29T01:10:56Z,70000,False,,,0,,C. Paul personal FOUL (1 PF),"[101108, 1630200]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Center,200834.0,1.0,0.0,Jones,1630200.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-01-29T01:11:10.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,14.668199737187912,49.50980392156863,1610612759,0,0,2023-01-29T01:11:16Z,90000,False,2.0,85.0,1,left,MISS J. Poeltl 8' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.54,Missed,,,,,,,,,,,,,
10,PT11M35.00S,2023-01-29T01:11:13.8Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2023-01-29T01:11:16Z,100000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M31.00S,2023-01-29T01:11:17.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,73.14388961892247,15.931372549019606,1610612756,0,3,2023-01-29T01:11:38Z,110000,False,-170.0,200.0,1,right,M. Bridges 26' 3PT pullup (3 PTS) (C. Paul 1 AST),"[1628969, 101108]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,26.26,Made,,,,,3.0,C. Paul,101108.0,1.0,,,,,
13,PT11M12.00S,2023-01-29T01:11:35.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,7.178055190538765,52.94117647058824,1610612759,0,3,2023-01-29T01:11:45Z,130000,False,-15.0,15.0,1,left,MISS K. Johnson turnaround Shot,[1629640],1610612759.0,SAS,turnaround,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,2.1,Missed,,,,,,,,,,,,,
14,PT11M12.00S,2023-01-29T01:11:35.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,3,2023-01-29T01:11:45Z,140000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT11M06.00S,2023-01-29T01:11:42.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,73.9323258869908,81.61764705882352,1610612756,0,3,2023-01-29T01:12:45Z,150000,False,158.0,193.0,1,right,MISS M. Bridges 24' pullup 3PT,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,24.91,Missed,,,,,,,,,,,,,
16,PT11M04.00S,2023-01-29T01:11:44.1Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,0,3,2023-01-29T01:11:49Z,160000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
