actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-01T00:10:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-01T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-01T00:10:37.4Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2023-01-01T00:10:37Z,40000,False,,,0,,Jump Ball C. Wood vs. J. Poeltl: Tip to S. Dinwiddie,"[203915, 1626174, 1627751]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Wood,1626174.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-01-01T00:10:53.6Z,1,REGULAR,3pt,Jump Shot,[],1626174,29.122864651773984,72.79411764705883,1610612742,0,0,2023-01-01T00:10:58Z,70000,False,-114.0,221.0,1,left,MISS C. Wood 24' 3PT,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Above the Break 3,24+ Left Center,24.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-01-01T00:10:56.6Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,0,0,2023-01-01T00:10:58Z,80000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-01-01T00:11:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,94.30026281208936,48.03921568627451,1610612759,0,0,2023-01-01T00:11:33Z,90000,False,-10.0,1.0,1,right,MISS R. Langford driving reverse Layup - blocked,"[1629641, 1626174]",1610612759.0,SAS,driving reverse,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,0.99,Missed,,,,,Wood,1626174.0,,,,,,,,,,,,
10,PT11M27.00S,2023-01-01T00:11:04.3Z,1,REGULAR,block,,[],1626174,,,1610612759,0,0,2023-01-01T00:11:06Z,100000,False,,,0,,C. Wood BLOCK (1 BLK),[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2023-01-01T00:11:07.3Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2023-01-01T00:11:15Z,110000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2023-01-01T00:11:16.5Z,1,REGULAR,3pt,Jump Shot,[],203915,26.363337713534822,83.82352941176471,1610612742,0,0,2023-01-01T00:11:22Z,120000,False,-169.0,195.0,1,left,MISS S. Dinwiddie 25' step back 3PT,[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2023-01-01T00:11:19.5Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,0,0,2023-01-01T00:11:22Z,130000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M00.00S,2023-01-01T00:11:31.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.46057818659659,50.73529411764706,1610612759,2,0,2023-01-01T00:11:37Z,140000,False,4.0,18.0,1,right,J. Poeltl cutting finger roll Layup (2 PTS) (T. Jones 1 AST),"[1627751, 1630200]",1610612759.0,SAS,cutting finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.88,Made,,,,,,,2.0,T. Jones,1630200.0,1.0,,,,,,,,
