actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-12T01:10:25.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-12T01:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-11-12T01:10:26.3Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2022-11-12T01:10:26Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Poeltl: Tip to B. Portis,"[1626171, 201572, 1627751]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Lopez,201572.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2022-11-12T01:10:27.5Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612749,0,0,2022-11-12T01:11:00Z,70000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612749.0,MIL,,,,,,,,,,101284.0,,,,,,,,,,,,,,,,,,,,,
8,PT12M00.00S,2022-11-12T01:10:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,92.72339027595268,48.03921568627451,1610612749,0,0,2022-11-12T01:11:10Z,80000,False,-10.0,16.0,1,right,MISS B. Portis Layup - blocked,"[1626171, 1627751]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,Restricted Area,0-8 Center,1.87,Missed,Poeltl,1627751.0,,,,,,,,,,,,,,,
9,PT12M00.00S,2022-11-12T01:10:44.1Z,1,REGULAR,block,,[],1627751,,,1610612749,0,0,2022-11-12T01:10:47Z,90000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-11-12T01:11:09.1Z,1,REGULAR,rebound,offensive,[],1628975,,,1610612749,0,0,2022-11-12T01:11:10Z,100000,False,,,0,,J. Carter REBOUND (Off:1 Def:0),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,,Restricted Area,0-8 Center,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M35.00S,2022-11-12T01:10:49.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,0,0,2022-11-12T01:11:23Z,110000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,101284.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2022-11-12T01:11:12.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630170,21.76412614980289,54.65686274509803,1610612759,2,0,2022-11-12T01:11:43Z,120000,False,-23.0,152.0,1,left,D. Vassell 15' pullup Jump Shot (2 PTS) (J. Poeltl 1 AST),"[1630170, 1627751]",1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,,Mid-Range,8-16 Center,15.39,Made,,,,,,,2.0,J. Poeltl,1627751.0,1.0,,,,,,,
14,PT11M04.00S,2022-11-12T01:11:32.5Z,1,REGULAR,turnover,traveling,[],1628975,,,1610612749,2,0,2022-11-12T01:11:49Z,140000,False,,,0,,J. Carter traveling TURNOVER (1 TO),[1628975],1610612749.0,MIL,,,,Carter,J. Carter,,,,,101284.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,,,
15,PT10M43.00S,2022-11-12T01:12:03.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629640,15.719448094612352,47.794117647058826,1610612759,2,0,2022-11-12T01:12:13Z,150000,False,11.0,95.0,1,left,MISS K. Johnson 9' pullup Shot,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,,In The Paint (Non-RA),8-16 Center,9.59,Missed,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2022-11-12T01:12:07.4Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,2,0,2022-11-12T01:12:07Z,160000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,In The Paint (Non-RA),8-16 Center,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,
