actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-02T01:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-02T01:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-02T01:10:13.2Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-02-02T01:10:13Z,40000,False,,,0,,Jump Ball J. Poeltl vs. D. Sabonis: Tip to K. Johnson,"[1629640, 1627751, 1627734]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-02-02T01:10:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,89.70105124835742,64.2156862745098,1610612759,2,0,2023-02-02T01:10:39Z,70000,False,71.0,44.0,1,right,K. Johnson 8' driving finger roll Layup (2 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Right,8.38,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2023-02-02T01:10:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627734,19.136005256241788,54.166666666666664,1610612758,2,2,2023-02-02T01:10:57Z,90000,False,-21.0,127.0,1,left,D. Sabonis 12' Jump Shot (2 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,12.91,Made,2.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,
11,PT11M01.00S,2023-02-02T01:11:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,92.19776609724047,54.90196078431373,1610612759,2,2,2023-02-02T01:11:18Z,110000,False,25.0,21.0,1,right,MISS K. Johnson driving finger roll Layup - blocked,"[1629640, 1627734]",1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,Sabonis,1627734.0,,,,,,,,,,,,
12,PT11M01.00S,2023-02-02T01:11:08.9Z,1,REGULAR,block,,[],1627734,,,1610612759,2,2,2023-02-02T01:11:11Z,120000,False,,,0,,D. Sabonis BLOCK (1 BLK),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M58.00S,2023-02-02T01:11:11.9Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,2,2023-02-02T01:11:18Z,130000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT10M54.00S,2023-02-02T01:11:16.2Z,1,REGULAR,3pt,Jump Shot,[],1628368,6.915243101182654,3.6764705882352944,1610612758,2,5,2023-02-02T01:11:28Z,140000,False,232.0,13.0,1,left,D. Fox 3PT  (3 PTS) (K. Huerter 2 AST),"[1628368, 1628989]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,23.19,Made,3.0,K. Huerter,1628989.0,2.0,,,,,,,,,,,,,,
16,PT10M38.00S,2023-02-02T01:11:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,80.76544021024968,44.6078431372549,1610612759,4,5,2023-02-02T01:11:42Z,160000,False,-27.0,128.0,1,right,J. Poeltl 13' pullup Jump Shot (2 PTS) (T. Jones 2 AST),"[1627751, 1630200]",1610612759.0,SAS,pullup,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,13.11,Made,2.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
18,PT10M26.00S,2023-02-02T01:11:43.4Z,1,REGULAR,3pt,Jump Shot,[],1628989,33.327858081471746,44.36274509803921,1610612758,4,5,2023-02-02T01:13:39Z,180000,False,28.0,261.0,1,left,MISS K. Huerter 26' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,26.23,Missed,,,,,,,,,,,,,,,,,,
