actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-31T01:10:15.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-31T01:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-31T01:10:19.1Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2023-01-31T01:10:19Z,40000,False,,,0,,Jump Ball K. Porzingis vs. J. Poeltl: Tip to K. Kuzma,"[1628398, 204001, 1627751]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-31T01:10:31.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,92.9862023653088,50.0,1610612764,0,2,2023-01-31T01:10:37Z,70000,False,0.0,13.0,1,right,K. Porzingis cutting DUNK (2 PTS) (B. Beal 1 AST),"[204001, 203078]",1610612764.0,WAS,cutting,,,Porzingis,K. Porzingis,,,,,Restricted Area,0-8 Center,1.34,Made,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,
10,PT11M24.00S,2023-01-31T01:10:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631110,12.959921156373195,45.588235294117645,1610612759,2,2,2023-01-31T01:11:08Z,100000,False,22.0,69.0,1,left,J. Sochan 7' pullup Jump Shot (2 PTS) (K. Johnson 1 AST),"[1631110, 1629640]",1610612759.0,SAS,pullup,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,7.27,Made,2.0,K. Johnson,1629640.0,1.0,,,,,,,,,,,,,,
12,PT11M13.00S,2023-01-31T01:11:08.7Z,1,REGULAR,3pt,Jump Shot,[],204001,68.54467805519053,76.22549019607843,1610612764,2,5,2023-01-31T01:11:13Z,120000,False,131.0,243.0,1,right,K. Porzingis 27' 3PT  (5 PTS) (B. Beal 2 AST),"[204001, 203078]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,27.63,Made,5.0,B. Beal,203078.0,2.0,,,,,,,,,,,,,,
14,PT11M00.00S,2023-01-31T01:11:21.4Z,1,REGULAR,3pt,Jump Shot,[],1628966,27.808804204993432,81.37254901960785,1610612759,5,5,2023-01-31T01:11:26Z,140000,False,-157.0,209.0,1,left,K. Bates-Diop 26' 3PT  (3 PTS) (T. Jones 1 AST),"[1628966, 1630200]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,26.13,Made,3.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
16,PT10M52.00S,2023-01-31T01:11:33.2Z,1,REGULAR,foul,personal,[],1627751,,,1610612764,5,5,2023-01-31T01:12:57Z,160000,False,,,0,,J. Poeltl personal FOUL (1 PF),"[1627751, 204001]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627541.0,1.0,0.0,Porzingis,204001.0,,,,,,,,,
18,PT10M46.00S,2023-01-31T01:11:55.2Z,1,REGULAR,turnover,bad pass,[],204001,,,1610612764,5,5,2023-01-31T01:12:03Z,180000,False,,,0,,K. Porzingis bad pass TURNOVER (1 TO),"[204001, 1628966]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,Bates-Diop,1628966.0,,,,,,
19,PT10M46.00S,2023-01-31T01:11:55.2Z,1,REGULAR,steal,,[],1628966,,,1610612759,5,5,2023-01-31T01:11:57Z,190000,False,,,0,,K. Bates-Diop STEAL (1 STL),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M39.00S,2023-01-31T01:12:01.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631110,5.995400788436268,48.77450980392157,1610612759,7,5,2023-01-31T01:12:49Z,200000,False,6.0,4.0,1,left,J. Sochan running DUNK (4 PTS) (K. Johnson 2 AST),"[1631110, 1629640]",1610612759.0,SAS,running,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,0.72,Made,4.0,K. Johnson,1629640.0,2.0,,,,,,,,,,,,,,
22,PT10M23.00S,2023-01-31T01:12:17.3Z,1,REGULAR,3pt,Jump Shot,[],203078,78.53153745072274,6.127450980392156,1610612764,7,5,2023-01-31T01:12:21Z,220000,False,-219.0,149.0,1,right,MISS B. Beal 26' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,26.54,Missed,,,,,,,,,,,,,,,,,,
