actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-08T20:11:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-08T20:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-08T20:11:14.9Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2023-04-08T20:11:14Z,40000,False,,,0,,Jump Ball R. Gobert vs. S. Mamukelashvili: Tip to M. Conley,"[201144, 203497, 1630572]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-04-08T20:11:31.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630162,12.040078843626807,56.372549019607845,1610612750,0,2,2023-04-08T20:11:38Z,70000,False,-32.0,61.0,1,left,A. Edwards 6' turnaround Hook (2 PTS),[1630162],1610612750.0,MIN,turnaround,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,6.86,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2023-04-08T20:11:44.8Z,1,REGULAR,3pt,Jump Shot,[],1628966,78.0059132720105,12.5,1610612759,0,2,2023-04-08T20:11:49Z,80000,False,-188.0,154.0,1,right,MISS K. Bates-Diop 24' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,24.28,Missed,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2023-04-08T20:11:46.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,2,2023-04-08T20:11:49Z,90000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M18.00S,2023-04-08T20:11:52.7Z,1,REGULAR,2pt,Jump Shot,[],1630162,25.443495400788436,40.44117647058824,1610612750,0,2,2023-04-08T20:11:57Z,100000,False,48.0,187.0,1,left,MISS A. Edwards 19' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,19.27,Missed,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2023-04-08T20:11:55.7Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,2,2023-04-08T20:11:57Z,110000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M04.00S,2023-04-08T20:12:07.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,95.48291721419186,48.03921568627451,1610612759,2,2,2023-04-08T20:12:12Z,120000,False,-10.0,-10.0,1,right,S. Mamukelashvili cutting Layup (2 PTS) (T. Jones 1 AST),"[1630572, 1630200]",1610612759.0,SAS,cutting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,1.4,Made,2.0,,,,,T. Jones,1630200.0,1.0,,,,,,,,,,
14,PT10M51.00S,2023-04-08T20:12:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,7.703679369250986,52.94117647058824,1610612750,2,2,2023-04-08T20:12:29Z,140000,False,-15.0,20.0,1,left,MISS K. Towns driving Layup - blocked,"[1626157, 1628966]",1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,Bates-Diop,1628966.0,,,,,,,,
15,PT10M51.00S,2023-04-08T20:12:22.7Z,1,REGULAR,block,,[],1628966,,,1610612750,2,2,2023-04-08T20:12:25Z,150000,False,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-04-08T20:12:22.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,2,2,2023-04-08T20:12:29Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,,14.0,,,,,,,,,,,,,,,,
18,PT10M47.00S,2023-04-08T20:12:43.3Z,1,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612750,2,2,2023-04-08T20:12:56Z,180000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Conley 2 FT),"[1630200, 201144]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200834.0,1.0,0.0,Conley,201144.0,,,
20,PT10M47.00S,2023-04-08T20:13:08.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],201144,,,1610612750,2,2,2023-04-08T20:13:08Z,200000,False,,,0,,MISS M. Conley Free Throw 1 of 2,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M47.00S,2023-04-08T20:13:08.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,2,2,2023-04-08T20:13:08Z,210000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
22,PT10M47.00S,2023-04-08T20:13:25.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],201144,,,1610612750,2,3,2023-04-08T20:13:25Z,220000,False,,,0,,M. Conley Free Throw 2 of 2 (1 PTS),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M39.00S,2023-04-08T20:13:34.3Z,1,REGULAR,2pt,Jump Shot,[],1631103,89.17542706964521,23.774509803921568,1610612759,4,3,2023-04-08T20:13:39Z,230000,False,-131.0,49.0,1,right,M. Branham 14' pullup Jump Shot (2 PTS) (T. Jones 2 AST),"[1631103, 1630200]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Mid-Range,8-16 Left,14.01,Made,2.0,,,,,T. Jones,1630200.0,2.0,,,,,,,,,,
25,PT10M23.00S,2023-04-08T20:13:49.4Z,1,REGULAR,2pt,Jump Shot,[],1630162,19.92444152431012,67.8921568627451,1610612750,4,5,2023-04-08T20:13:53Z,250000,False,-89.0,135.0,1,left,A. Edwards 16' pullup Jump Shot (4 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,16.18,Made,4.0,,,,,K. Towns,1626157.0,1.0,,,,,,,,,,
27,PT10M08.00S,2023-04-08T20:14:05.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,86.41590013140605,38.72549019607843,1610612759,6,5,2023-04-08T20:14:11Z,270000,False,-56.0,75.0,1,right,M. Branham 9' driving floating Jump Shot (4 PTS) (S. Mamukelashvili 1 AST),"[1631103, 1630572]",1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Left,9.4,Made,4.0,,,,,S. Mamukelashvili,1630572.0,1.0,,,,,,,,,,
29,PT09M53.00S,2023-04-08T20:14:19.6Z,1,REGULAR,3pt,Jump Shot,[],201144,33.590670170827856,57.107843137254896,1610612750,6,5,2023-04-08T20:14:23Z,290000,False,-36.0,263.0,1,left,MISS M. Conley 26' pullup 3PT,[201144],1610612750.0,MIN,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Center,26.57,Missed,,,,,,,,,,,,,,,,,,
30,PT09M50.00S,2023-04-08T20:14:22.6Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,6,5,2023-04-08T20:14:23Z,300000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,29.0,1.0,0.0,1.0,,,,,,,,,,,,,
31,PT09M49.00S,2023-04-08T20:14:23.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,27.151773981603156,15.196078431372548,1610612750,6,8,2023-04-08T20:14:30Z,310000,False,174.0,203.0,1,left,A. Edwards 26' 3PT  (7 PTS) (R. Gobert 1 AST),"[1630162, 203497]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Right Center,26.71,Made,7.0,,,,,R. Gobert,203497.0,1.0,,,,,,,,,,
33,PT09M33.00S,2023-04-08T20:14:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,93.24901445466492,52.20588235294118,1610612759,8,8,2023-04-08T20:14:46Z,330000,False,11.0,11.0,1,right,M. Branham driving Layup (6 PTS) (K. Bates-Diop 1 AST),"[1631103, 1628966]",1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,1.56,Made,6.0,,,,,K. Bates-Diop,1628966.0,1.0,,,,,,,,,,
34,PT09M20.00S,2023-04-08T20:14:52.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,6.521024967148489,54.41176470588235,1610612750,8,10,2023-04-08T20:15:00Z,340000,False,-22.0,9.0,1,left,K. Towns turnaround Hook (2 PTS) (M. Conley 1 AST),"[1626157, 201144]",1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,2.38,Made,2.0,,,,,M. Conley,201144.0,1.0,,,,,,,,,,
36,PT09M05.00S,2023-04-08T20:15:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630572,94.82588699080158,54.166666666666664,1610612759,8,10,2023-04-08T20:15:11Z,360000,False,21.0,-4.0,1,right,MISS S. Mamukelashvili driving finger roll Layup - blocked,"[1630572, 203497]",1610612759.0,SAS,driving finger roll,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,2.12,Missed,,,,,,,,,Gobert,203497.0,,,,,,,,
