actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-30T23:10:08.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T23:10:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-30T23:10:11.1Z,1,REGULAR,jumpball,recovered,[],1626157,,,1610612750,0,0,2022-10-30T23:10:11Z,40000,,,0,,Jump Ball R. Gobert vs. J. Poeltl: Tip to K. Towns,"[1626157, 203497, 1627751]",1610612750.0,MIN,startperiod,K. Towns,1626157.0,Towns,K. Towns,Gobert,203497.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-30T23:10:25.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,9.543363994743759,55.88235294117647,1610612750,0,2,2022-10-30T23:10:31Z,70000,-29.0,37.0,1,left,K. Towns turnaround Hook (2 PTS),[1626157],1610612750.0,MIN,turnaround,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,4.74,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-10-30T23:10:41.4Z,1,REGULAR,3pt,Jump Shot,[],1628966,93.51182654402102,96.32352941176471,1610612759,0,2,2022-10-30T23:10:53Z,80000,232.0,8.0,1,right,MISS K. Bates-Diop 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-10-30T23:10:44.4Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,2,2022-10-30T23:10:53Z,90000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-10-30T23:10:51.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,12.828515111695138,50.49019607843137,1610612750,0,4,2022-10-30T23:11:28Z,100000,-2.0,68.0,1,left,K. Towns 6' driving floating Jump Shot (4 PTS) (A. Edwards 1 AST),"[1626157, 1630162]",1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,6.81,Made,4.0,,,,,A. Edwards,1630162.0,1.0,,,,,,,,,,
12,PT10M55.00S,2022-10-30T23:11:11.9Z,1,REGULAR,3pt,Jump Shot,[],1629640,72.48685939553219,15.931372549019606,1610612759,0,4,2022-10-30T23:11:16Z,120000,-170.0,206.0,1,right,MISS K. Johnson 26' pullup 3PT,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,26.74,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-10-30T23:11:12.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,0,4,2022-10-30T23:11:16Z,130000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,12.0,,,,,,,,,,,,,,,,
16,PT10M35.00S,2022-10-30T23:11:40.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,9.674770039421814,72.30392156862744,1610612750,0,6,2022-10-30T23:11:47Z,160000,-112.0,38.0,1,left,K. Towns 11' Jump Shot (6 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,11.79,Made,6.0,,,,,,,,,,,,,,,,,
17,PT10M19.00S,2022-10-30T23:11:58.8Z,1,REGULAR,foul,offensive,[],1628966,,,1610612759,0,6,2022-10-30T23:20:19Z,170000,,,0,,K. Bates-Diop charge offensive FOUL (1 PF),"[1628966, 1630183]",1610612759.0,SAS,charge,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626300.0,1.0,0.0,McDaniels,1630183.0,,,,,
