actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-18T01:10:09.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-18T01:10:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-18T01:10:11.8Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2023-01-18T01:10:11Z,40000,False,,,0,,Jump Ball J. Poeltl vs. N. Claxton: Tip to K. Johnson,"[1629640, 1627751, 1629651]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-18T01:10:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,91.80354796320631,45.588235294117645,1610612759,0,0,2023-01-18T01:10:29Z,70000,False,-22.0,25.0,1,right,MISS K. Johnson driving Layup,[1629640],1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,3.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-01-18T01:10:23.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612751,0,0,2023-01-18T01:10:29Z,80000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2023-01-18T01:10:30.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,8.492115637319317,47.794117647058826,1610612751,0,2,2023-01-18T01:11:15Z,90000,False,11.0,27.0,1,left,B. Simmons driving Hook (2 PTS),[1627732],1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,2.94,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M24.00S,2023-01-18T01:10:45.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,93.9060446780552,46.32352941176471,1610612759,0,2,2023-01-18T01:10:50Z,100000,False,-18.0,5.0,1,right,MISS J. Sochan driving finger roll Layup,[1631110],1610612759.0,SAS,driving finger roll,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.9,Missed,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2023-01-18T01:10:51.0Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,2,2023-01-18T01:11:17Z,110000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M18.00S,2023-01-18T01:10:49.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627751,94.40999984741211,50.0,1610612759,2,2,2023-01-18T01:10:58Z,120000,False,0.0,0.0,1,right,J. Poeltl tip Layup (2 PTS),[1627751],1610612759.0,SAS,tip,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M18.00S,2023-01-18T01:10:55.3Z,1,REGULAR,foul,personal,[],1631110,,,1610612751,2,2,2023-01-18T01:12:44Z,130000,False,,,0,,J. Sochan personal FOUL (1 PF),"[1631110, 1627732]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,101284.0,1.0,0.0,Simmons,1627732.0,,,,,,,,
16,PT11M10.00S,2023-01-18T01:11:11.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627732,6.258212877792378,53.431372549019606,1610612751,2,2,2023-01-18T01:13:12Z,160000,False,-17.0,6.0,1,left,MISS B. Simmons driving floating Shot,[1627732],1610612751.0,BKN,driving floating,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.83,Missed,,,,,,,,,,,,,,,,,,
17,PT11M07.00S,2023-01-18T01:11:14.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,2,2,2023-01-18T01:11:32Z,170000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,16.0,2.0,1.0,1.0,,,,,,,,,,,,,,
18,PT11M02.00S,2023-01-18T01:11:21.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,91.67214191852825,57.84313725490197,1610612759,2,2,2023-01-18T01:11:38Z,180000,False,39.0,26.0,1,right,MISS J. Poeltl driving Layup - blocked,"[1627751, 1627732]",1610612759.0,SAS,driving,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,4.69,Missed,,,,,,,,,,,Simmons,1627732.0,,,,,,
19,PT11M02.00S,2023-01-18T01:11:21.3Z,1,REGULAR,block,,[],1627732,,,1610612759,2,2,2023-01-18T01:11:24Z,190000,False,,,0,,B. Simmons BLOCK (1 BLK),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
