actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-14T00:46:20.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-14T00:46:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-14T00:46:23.4Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2023-01-14T00:46:23Z,40000,False,,,0,,Jump Ball K. Looney vs. J. Poeltl: Tip to D. Green,"[203110, 1626172, 1627751]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-01-14T00:46:50.2Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612744,0,0,2023-01-14T00:47:09Z,80000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Looney 2 FT),"[1627751, 1626172]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,202056.0,1.0,0.0,Looney,1626172.0,,,,,,,,,,,,,,,
10,PT11M42.00S,2023-01-14T00:47:10.8Z,1,REGULAR,freethrow,1 of 2,[],1626172,,,1610612744,0,0,2023-01-14T00:47:10Z,100000,False,,,0,,MISS K. Looney Free Throw 1 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M42.00S,2023-01-14T00:47:10.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,0,0,2023-01-14T00:47:10Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M42.00S,2023-01-14T00:47:23.1Z,1,REGULAR,freethrow,2 of 2,[],1626172,,,1610612744,0,1,2023-01-14T00:47:23Z,120000,False,,,0,,K. Looney Free Throw 2 of 2 (1 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
13,PT11M31.00S,2023-01-14T00:47:33.3Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612759,0,1,2023-01-14T00:47:42Z,130000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1626172, 1627751]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,202056.0,1.0,0.0,Poeltl,1627751.0,,,,,,,,,,,,,,,
15,PT11M31.00S,2023-01-14T00:47:59.1Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,1,1,2023-01-14T00:47:59Z,150000,False,,,0,,J. Poeltl Free Throw 1 of 2 (1 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
16,PT11M31.00S,2023-01-14T00:48:14.6Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,2,1,2023-01-14T00:48:14Z,160000,False,,,0,,J. Poeltl Free Throw 2 of 2 (2 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
17,PT11M17.00S,2023-01-14T00:48:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,10.988830486202366,48.28431372549019,1610612744,2,1,2023-01-14T00:49:02Z,170000,False,9.0,51.0,1,left,MISS A. Wiggins floating Shot,[203952],1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.15,,,,,,,,,,,
18,PT11M12.00S,2023-01-14T00:48:34.5Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,2,1,2023-01-14T00:48:43Z,180000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,17.0,,,1.0,0.0,1.0,,,,,,,,
19,PT11M12.00S,2023-01-14T00:48:33.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,5.590000152587891,50.0,1610612744,2,1,2023-01-14T00:48:33Z,190000,False,0.0,0.0,1,left,MISS K. Looney tip Layup,[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,0.0,,,,,,,,,,,
20,PT11M11.00S,2023-01-14T00:48:34.7Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,2,1,2023-01-14T00:48:34Z,200000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,19.0,,,1.0,1.0,0.0,,,,,,,,
