actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-07T23:11:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-07T23:11:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-07T23:11:40.1Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2023-01-07T23:11:40Z,40000,False,,,0,,Jump Ball Z. Collins vs. A. Horford: Tip to J. Sochan,"[1631110, 1628380, 201143]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Collins,1628380.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-01-07T23:11:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629641,79.84559789750328,62.745098039215684,1610612759,0,0,2023-01-07T23:12:01Z,70000,False,64.0,137.0,1,right,MISS R. Langford 15' driving floating Shot,[1629641],1610612759.0,SAS,driving floating,,,Langford,R. Langford,,,,,In The Paint (Non-RA),8-16 Center,15.11,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-01-07T23:11:52.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2023-01-07T23:11:52Z,80000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2023-01-07T23:12:18.6Z,1,REGULAR,2pt,Jump Shot,[],1628401,6.1268068331143235,76.9607843137255,1610612738,0,0,2023-01-07T23:12:24Z,100000,False,-135.0,5.0,1,left,MISS D. White 13' Jump Shot,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Left,13.49,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2023-01-07T23:12:20.6Z,1,REGULAR,rebound,defensive,[],1629641,,,1610612759,0,0,2023-01-07T23:12:24Z,110000,False,,,0,,R. Langford REBOUND (Off:0 Def:1),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Mid-Range,8-16 Left,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M15.00S,2023-01-07T23:12:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629641,93.51182654402102,50.98039215686274,1610612759,0,0,2023-01-07T23:12:34Z,120000,False,5.0,8.0,1,right,MISS R. Langford driving finger roll Layup,[1629641],1610612759.0,SAS,driving finger roll,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,0.98,Missed,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2023-01-07T23:12:29.2Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2023-01-07T23:12:34Z,130000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M09.00S,2023-01-07T23:12:33.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,6.652431011826544,48.529411764705884,1610612738,0,0,2023-01-07T23:13:38Z,140000,False,7.0,10.0,1,left,MISS J. Brown running Layup - blocked,"[1627759, 1628966]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,Bates-Diop,1628966.0,,,,,,,,,,,,
20,PT11M09.00S,2023-01-07T23:12:33.4Z,1,REGULAR,block,,[],1628966,,,1610612738,0,0,2023-01-07T23:12:59Z,145000,False,,,0,,K. Bates-Diop BLOCK (1 BLK),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
