actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-29T00:40:29.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-29T00:40:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-29T00:40:32.3Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-10-29T00:40:32Z,40000,,,0,,Jump Ball J. Poeltl vs. N. Vucevic: Tip to K. Johnson,"[1629640, 1627751, 202696]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-10-29T00:40:50.8Z,1,REGULAR,3pt,Jump Shot,[],1629640,30.56833114323259,30.392156862745097,1610612759,3,0,2022-10-29T00:41:00Z,70000,98.0,235.0,1,left,K. Johnson 25' 3PT  (3 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,25.44,Made,3.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-10-29T00:41:07.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202696,82.7365308804205,39.950980392156865,1610612741,3,0,2022-10-29T00:41:18Z,90000,-50.0,110.0,1,right,MISS N. Vucevic 12' floating Shot,[202696],1610612741.0,CHI,floating,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),8-16 Center,12.07,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-10-29T00:41:10.6Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,3,0,2022-10-29T00:41:18Z,100000,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M12.00S,2022-10-29T00:41:16.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,32.670827858081466,29.901960784313726,1610612759,6,0,2022-10-29T00:41:21Z,110000,100.0,255.0,1,left,J. Richardson 27' 3PT  (3 PTS) (J. Sochan 1 AST),"[1626196, 1631110]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,27.37,Made,3.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
13,PT10M51.00S,2022-10-29T00:41:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,92.9862023653088,62.254901960784316,1610612741,6,0,2022-10-29T00:41:41Z,130000,61.0,13.0,1,right,MISS A. Dosunmu 6' floating Shot,[1630245],1610612741.0,CHI,floating,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,6.27,Missed,,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2022-10-29T00:41:40.5Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,6,0,2022-10-29T00:41:41Z,140000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M35.00S,2022-10-29T00:41:52.7Z,1,REGULAR,3pt,Jump Shot,[],1626196,29.911300919842315,77.45098039215686,1610612759,6,0,2022-10-29T00:41:57Z,150000,-137.0,229.0,1,left,MISS J. Richardson 26' 3PT,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,26.67,Missed,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2022-10-29T00:41:55.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,0,2022-10-29T00:41:57Z,160000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
