actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-24T01:10:14.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-24T01:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-24T01:10:17.1Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-11-24T01:10:17Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Valanciunas: Tip to K. Johnson,"[1629640, 1627751, 202685]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-11-24T01:10:27.6Z,1,REGULAR,3pt,Jump Shot,[],1629640,31.61957950065703,66.17647058823529,1610612759,0,0,2022-11-24T01:10:34Z,70000,False,-81.0,245.0,1,left,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,25.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-11-24T01:10:30.6Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2022-11-24T01:10:34Z,80000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-11-24T01:10:37.2Z,1,REGULAR,3pt,Jump Shot,[],1630529,72.35545335085413,19.607843137254903,1610612740,0,0,2022-11-24T01:10:42Z,90000,False,-152.0,207.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-11-24T01:10:41.0Z,1,REGULAR,rebound,offensive,[],1629627,,,1610612740,0,0,2022-11-24T01:10:41Z,100000,False,,,0,,Z. Williamson REBOUND (Off:1 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M28.00S,2022-11-24T01:10:46.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630529,76.16622864651774,19.362745098039216,1610612740,0,0,2022-11-24T01:11:15Z,110000,False,-153.0,172.0,1,right,MISS H. Jones 23' Jump Shot,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left Center,23.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-11-24T01:10:49.2Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-11-24T01:11:15Z,120000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,16-24 Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M08.00S,2022-11-24T01:11:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,22.421156373193167,7.8431372549019605,1610612759,0,0,2022-11-24T01:11:11Z,130000,False,211.0,158.0,1,left,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,26.36,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2022-11-24T01:11:06.9Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,0,0,2022-11-24T01:11:11Z,140000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
