shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-15T01:10:16.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-15T01:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:58,4,PT11M58.00S,2022-12-15T01:10:18.4Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2022-12-15T01:10:18Z,40000,False,,,0,,Jump Ball J. Nurkic vs. C. Bassey: Tip to J. Grant,"[203924, 203994, 1629646]",9,1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Bassey,1629646.0,,,,,,,,,,,,,,,,,,,,,,
11:51,7,PT11M51.00S,2022-12-15T01:10:25.5Z,1,REGULAR,3pt,Jump Shot,[],203081,30.17411300919842,82.59803921568627,1610612757,0,0,2022-12-15T01:10:32Z,70000,False,-163.0,231.0,1,left,MISS D. Lillard 28' pullup 3PT,[203081],0,1610612757.0,POR,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,28.28,Missed,,,,,,,,,,,,,,,,,,
11:46,8,PT11M46.00S,2022-12-15T01:10:30.5Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,0,0,2022-12-15T01:10:32Z,80000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],31,1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:40,9,PT11M40.00S,2022-12-15T01:10:35.4Z,1,REGULAR,3pt,Jump Shot,[],1626196,71.43561103810775,16.176470588235293,1610612759,0,0,2022-12-15T01:10:40Z,90000,False,-169.0,216.0,1,right,MISS J. Richardson 27' 3PT,[1626196],7,1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Left Center,27.43,Missed,,,,,,,,,,,,,,,,,,
11:37,10,PT11M37.00S,2022-12-15T01:10:38.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,0,0,2022-12-15T01:10:40Z,100000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],11,1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:20,11,PT11M20.00S,2022-12-15T01:10:56.1Z,1,REGULAR,3pt,Jump Shot,[],203081,29.38567674113009,24.264705882352942,1610612757,0,0,2022-12-15T01:11:03Z,110000,False,129.0,224.0,1,left,MISS D. Lillard 25' 3PT,[203081],0,1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.81,Missed,,,,,,,,,,,,,,,,,,
11:17,12,PT11M17.00S,2022-12-15T01:10:59.1Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,0,0,2022-12-15T01:11:03Z,120000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],3,1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:00,13,PT11M00.00S,2022-12-15T01:11:15.4Z,1,REGULAR,3pt,Jump Shot,[],1628966,91.93495400788436,2.2058823529411766,1610612759,0,0,2022-12-15T01:11:20Z,130000,False,-239.0,23.0,1,right,MISS K. Bates-Diop 24' 3PT,[1628966],31,1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Left Corner 3,24+ Left,24.01,Missed,,,,,,,,,,,,,,,,,,
10:57,14,PT10M57.00S,2022-12-15T01:11:18.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,0,0,2022-12-15T01:11:20Z,140000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],27,1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Left Corner 3,24+ Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
