actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-04T21:10:19.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T21:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-04T21:10:22.1Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-12-04T21:10:22Z,40000,False,,,0,,Jump Ball Z. Collins vs. D. Ayton: Tip to K. Johnson,"[1629640, 1628380, 1629028]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Collins,1628380.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-12-04T21:10:36.9Z,1,REGULAR,2pt,Jump Shot,[],1630170,21.369908015768726,72.54901960784314,1610612759,2,0,2022-12-04T21:10:44Z,70000,False,-113.0,148.0,1,left,D. Vassell 18' pullup Jump Shot (2 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Left Center,18.63,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2022-12-04T21:10:51.9Z,1,REGULAR,2pt,Jump Shot,[],1628969,75.77201051248358,52.94117647058824,1610612756,2,0,2022-12-04T21:11:18Z,80000,False,15.0,175.0,1,right,MISS M. Bridges 17' pullup Shot,[1628969],1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,17.58,Missed,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-12-04T21:10:55.9Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,2,0,2022-12-04T21:10:56Z,90000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,16-24 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M12.00S,2022-12-04T21:11:05.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,27.677398160315374,20.098039215686274,1610612759,5,0,2022-12-04T21:11:13Z,100000,False,150.0,208.0,1,left,D. Vassell 25' 3PT  (5 PTS) (Z. Collins 1 AST),"[1630170, 1628380]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,25.59,Made,5.0,,,,,Z. Collins,1628380.0,1.0,,,,,,,,,,
12,PT10M58.00S,2022-12-04T21:11:21.0Z,1,REGULAR,turnover,lost ball,[],1626164,,,1610612756,5,0,2022-12-04T21:11:26Z,120000,False,,,0,,D. Booker lost ball TURNOVER (1 TO),"[1626164, 1630200]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Jones,1630200.0,,,,,,,
13,PT10M58.00S,2022-12-04T21:11:21.0Z,1,REGULAR,steal,,[],1630200,,,1610612759,5,0,2022-12-04T21:11:22Z,130000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2022-12-04T21:11:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630200,5.601182654402102,47.549019607843135,1610612759,7,0,2022-12-04T21:11:36Z,140000,False,12.0,0.0,1,left,T. Jones running Layup (2 PTS),[1630200],1610612759.0,SAS,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,1.23,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2022-12-04T21:11:38.9Z,1,REGULAR,2pt,Jump Shot,[],1628969,80.50262812089356,67.15686274509804,1610612756,7,2,2022-12-04T21:11:43Z,150000,False,86.0,131.0,1,right,M. Bridges 15' pullup Jump Shot (2 PTS) (C. Payne 1 AST),"[1628969, 1626166]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,15.64,Made,2.0,,,,,C. Payne,1626166.0,1.0,,,,,,,,,,
