actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-03T00:10:09.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-03T00:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-03T00:10:10.6Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2022-11-03T00:10:10Z,40000,,,0,,Jump Ball J. Poeltl vs. C. Koloko: Tip to J. Sochan,"[1631110, 1627751, 1631132]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Poeltl,1627751.0,Koloko,1631132.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-03T00:10:21.4Z,1,REGULAR,turnover,bad pass,[],1629641,,,1610612759,0,0,2022-11-03T00:10:32Z,70000,,,0,,R. Langford bad pass TURNOVER (1 TO),"[1629641, 1628384]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Mid-Range,16-24 Left Center,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-11-03T00:10:21.4Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,0,2022-11-03T00:10:32Z,80000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-11-03T00:10:25.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628384,5.601182654402102,46.81372549019608,1610612761,0,2,2022-11-03T00:10:41Z,90000,16.0,0.0,1,left,O. Anunoby running DUNK (2 PTS),[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,1.59,Made,2.0,,,,,,,,,,,,,,
10,PT11M22.00S,2022-11-03T00:10:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,93.11760840998686,41.911764705882355,1610612759,0,2,2022-11-03T00:10:54Z,100000,-40.0,12.0,1,right,MISS K. Bates-Diop driving finger roll Layup,[1628966],1610612759.0,SAS,driving finger roll,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,4.22,Missed,,,,,,,,,,,,,,,
11,PT11M19.00S,2022-11-03T00:10:48.9Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,2,2022-11-03T00:10:54Z,110000,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M19.00S,2022-11-03T00:10:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627751,94.40999984741211,50.0,1610612759,0,2,2022-11-03T00:10:49Z,120000,0.0,0.0,1,right,MISS J. Poeltl tip Layup,[1627751],1610612759.0,SAS,tip,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
13,PT11M18.00S,2022-11-03T00:10:50.7Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,0,2,2022-11-03T00:10:50Z,130000,,,0,,J. Poeltl REBOUND (Off:2 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,12.0,2.0,0.0,2.0,,,,,,,,,,
14,PT11M13.00S,2022-11-03T00:10:54.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630200,84.83902759526939,36.76470588235294,1610612759,0,2,2022-11-03T00:11:10Z,140000,-66.0,90.0,1,right,MISS T. Jones 11' floating Shot,[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Left,,,,11.17,Missed,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-11-03T00:10:58.4Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,2,2022-11-03T00:11:10Z,150000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT11M08.00S,2022-11-03T00:11:00.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630567,5.863994743758213,44.6078431372549,1610612761,0,4,2022-11-03T00:12:32Z,160000,27.0,3.0,1,left,S. Barnes running DUNK (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,2.71,Made,2.0,,,,,O. Anunoby,1628384.0,1.0,,,,,,,
