actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-26T01:11:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-26T01:11:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-26T01:11:41.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-11-26T01:11:41Z,40000,False,,,0,,Jump Ball A. Davis vs. J. Poeltl: Tip to L. James,"[2544, 203076, 1627751]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-26T01:11:57.0Z,1,REGULAR,2pt,Jump Shot,[],2544,86.94152431011827,22.30392156862745,1610612747,0,2,2022-11-26T01:12:03Z,70000,False,-138.0,70.0,1,right,L. James 15' Jump Shot (2 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,15.53,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2022-11-26T01:12:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,11.251642575558476,55.63725490196079,1610612759,0,2,2022-11-26T01:12:25Z,80000,False,-28.0,53.0,1,left,MISS K. Johnson 6' pullup Shot,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,6.03,Missed,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-11-26T01:12:14.9Z,1,REGULAR,rebound,defensive,[],1629022,,,1610612747,0,2,2022-11-26T01:14:25Z,90000,False,,,0,,L. Walker IV REBOUND (Off:0 Def:1),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-11-26T01:12:22.5Z,1,REGULAR,3pt,Jump Shot,[],1628972,76.03482260183968,87.25490196078431,1610612747,0,5,2022-11-26T01:12:28Z,100000,False,186.0,173.0,1,right,T. Brown Jr. 25' 3PT  (3 PTS) (A. Davis 1 AST),"[1628972, 203076]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Right Center,25.41,Made,3.0,,,,,A. Davis,203076.0,1.0,,,,,,,,,,
12,PT10M59.00S,2022-11-26T01:12:41.2Z,1,REGULAR,2pt,Jump Shot,[],1631110,24.129434954007884,67.15686274509804,1610612759,2,5,2022-11-26T01:12:46Z,120000,False,-86.0,174.0,1,left,J. Sochan 19' Jump Shot (2 PTS),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,19.43,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2022-11-26T01:12:56.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,87.46714848883047,44.11764705882353,1610612747,2,5,2022-11-26T01:14:26Z,130000,False,-29.0,65.0,1,right,MISS L. James 7' floating Shot,[2544],1610612747.0,LAL,floating,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2022-11-26T01:12:58.9Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,2,5,2022-11-26T01:12:58Z,140000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,
15,PT10M40.00S,2022-11-26T01:13:02.0Z,1,REGULAR,turnover,traveling,[],203076,,,1610612747,2,5,2022-11-26T01:13:13Z,150000,False,,,0,,A. Davis traveling TURNOVER (1 TO),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204059.0,1.0,,,,,,,,
