actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-16T00:40:15.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-16T00:40:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-16T00:40:17.6Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612742,0,0,2023-03-16T00:40:17Z,40000,False,,,0,,Jump Ball D. Powell vs. S. Mamukelashvili: Tip to J. Green,"[1630182, 203939, 1630572]",1610612742.0,DAL,startperiod,J. Green,1630182.0,Green,J. Green,Powell,203939.0,Mamukelashvili,1630572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-03-16T00:40:34.2Z,1,REGULAR,foul,personal,['2freethrow'],1630572,,,1610612742,0,0,2023-03-16T00:40:54Z,70000,False,,,0,,S. Mamukelashvili shooting personal FOUL (1 PF) (Hardy 2 FT),"[1630572, 1630702]",1610612759.0,SAS,shooting,,,Mamukelashvili,S. Mamukelashvili,,,,,Restricted Area,0-8 Center,203591.0,1.0,0.0,Hardy,1630702.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2023-03-16T00:40:57.6Z,1,REGULAR,freethrow,1 of 2,[],1630702,,,1610612742,0,1,2023-03-16T00:40:57Z,90000,False,,,0,,J. Hardy Free Throw 1 of 2 (1 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M41.00S,2023-03-16T00:41:10.3Z,1,REGULAR,freethrow,2 of 2,[],1630702,,,1610612742,0,2,2023-03-16T00:41:10Z,100000,False,,,0,,J. Hardy Free Throw 2 of 2 (2 PTS),[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M30.00S,2023-03-16T00:41:23.0Z,1,REGULAR,3pt,Jump Shot,[],1628984,69.07030223390277,19.607843137254903,1610612759,0,2,2023-03-16T00:41:40Z,110000,False,-152.0,238.0,1,right,MISS D. Graham 28' pullup 3PT,[1628984],1610612759.0,SAS,pullup,,,Graham,D. Graham,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,28.26,,,,,,,,,,,,
12,PT11M28.00S,2023-03-16T00:41:25.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,0,2,2023-03-16T00:41:31Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,11.0,,,,,,,,,,,
14,PT11M26.00S,2023-03-16T00:41:45.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630572,71.69842312746385,82.1078431372549,1610612759,0,2,2023-03-16T00:41:52Z,140000,False,161.0,214.0,1,right,MISS S. Mamukelashvili 26' 3PT,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,26.71,,,,,,,,,,,,
15,PT11M21.00S,2023-03-16T00:41:50.5Z,1,REGULAR,rebound,defensive,[],203493,,,1610612742,0,2,2023-03-16T00:41:52Z,150000,False,,,0,,R. Bullock REBOUND (Off:0 Def:1),[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT11M04.00S,2023-03-16T00:42:06.9Z,1,REGULAR,2pt,Jump Shot,[],1630702,16.245072273324574,77.94117647058823,1610612742,0,2,2023-03-16T00:42:17Z,160000,False,-140.0,100.0,1,left,MISS J. Hardy 17' pullup Shot,[1630702],1610612742.0,DAL,pullup,,,Hardy,J. Hardy,,,,,Mid-Range,16-24 Left,,,,,,Missed,,17.19,,,,,,,,,,,,
17,PT11M04.00S,2023-03-16T00:42:06.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,2,2023-03-16T00:42:17Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,,16.0,,,,,,,,,,,
18,PT11M04.00S,2023-03-16T00:42:18.9Z,1,REGULAR,foul,personal,[],1629641,,,1610612742,0,2,2023-03-16T00:42:30Z,180000,False,,,0,,R. Langford loose ball personal FOUL (1 PF),"[1629641, 203939]",1610612759.0,SAS,loose ball,,,Langford,R. Langford,,,,,Mid-Range,8-16 Left,1627964.0,1.0,0.0,Powell,203939.0,,,,,,,,,,,,,,,
20,PT10M56.00S,2023-03-16T00:42:36.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630702,21.50131406044678,35.78431372549019,1610612742,0,4,2023-03-16T00:42:43Z,200000,False,71.0,150.0,1,left,J. Hardy 16' pullup Jump Shot (4 PTS) (D. Powell 1 AST),"[1630702, 203939]",1610612742.0,DAL,pullup,,,Hardy,J. Hardy,,,,,Mid-Range,16-24 Right Center,,,,,,Made,4.0,16.56,,,,,D. Powell,203939.0,1.0,,,,,
22,PT10M43.00S,2023-03-16T00:42:51.5Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612759,0,4,2023-03-16T00:43:05Z,220000,False,,,0,,D. Powell shooting personal FOUL (1 PF) (Langford 2 FT),"[203939, 1629641]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Center,1627964.0,1.0,0.0,Langford,1629641.0,,,,,,,,,,,,,,,
24,PT10M43.00S,2023-03-16T00:43:14.7Z,1,REGULAR,freethrow,1 of 2,[],1629641,,,1610612759,1,4,2023-03-16T00:43:14Z,240000,False,,,0,,R. Langford Free Throw 1 of 2 (1 PTS),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
25,PT10M43.00S,2023-03-16T00:43:29.9Z,1,REGULAR,freethrow,2 of 2,[],1629641,,,1610612759,2,4,2023-03-16T00:43:29Z,250000,False,,,0,,R. Langford Free Throw 2 of 2 (2 PTS),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
26,PT10M25.00S,2023-03-16T00:43:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630182,10.068988173455978,39.950980392156865,1610612742,2,4,2023-03-16T00:44:11Z,260000,False,50.0,42.0,1,left,MISS J. Green 6' turnaround fadeaway bank Shot,[1630182],1610612742.0,DAL,turnaround fadeaway bank,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.55,,,,,,,,,,,,
27,PT10M22.00S,2023-03-16T00:43:52.7Z,1,REGULAR,rebound,defensive,[],1630572,,,1610612759,2,4,2023-03-16T00:43:55Z,270000,False,,,0,,S. Mamukelashvili REBOUND (Off:0 Def:1),[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,
28,PT10M04.00S,2023-03-16T00:44:10.9Z,1,REGULAR,3pt,Jump Shot,[],1629641,92.32917214191852,3.1862745098039214,1610612759,5,4,2023-03-16T00:44:16Z,280000,False,-234.0,20.0,1,right,R. Langford 3PT  (5 PTS) (D. Graham 1 AST),"[1629641, 1628984]",1610612759.0,SAS,,,,Langford,R. Langford,,,,,Left Corner 3,24+ Left,,,,,,Made,5.0,23.49,,,,,D. Graham,1628984.0,1.0,,,,,
30,PT09M50.00S,2023-03-16T00:44:24.8Z,1,REGULAR,3pt,Jump Shot,[],203493,6.652431011826544,96.32352941176471,1610612742,5,7,2023-03-16T00:44:31Z,300000,False,-232.0,10.0,1,left,R. Bullock 3PT  (3 PTS) (J. Green 1 AST),"[203493, 1630182]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Left Corner 3,24+ Left,,,,,,Made,3.0,23.18,,,,,J. Green,1630182.0,1.0,,,,,
32,PT09M30.00S,2023-03-16T00:44:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,88.25558475689881,44.6078431372549,1610612759,5,7,2023-03-16T00:45:09Z,320000,False,-27.0,58.0,1,right,MISS K. Johnson 6' floating Shot,[1629640],1610612759.0,SAS,floating,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.39,,,,,,,,,,,,
33,PT09M29.00S,2023-03-16T00:44:45.3Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,5,7,2023-03-16T00:44:54Z,330000,False,,,0,,K. Johnson REBOUND (Off:1 Def:0),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,32.0,1.0,0.0,1.0,,,,,,,,
34,PT09M26.00S,2023-03-16T00:44:48.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629640,90.62089356110381,49.01960784313725,1610612759,7,7,2023-03-16T00:45:08Z,340000,False,-5.0,36.0,1,right,K. Johnson putback Layup (2 PTS),[1629640],1610612759.0,SAS,putback,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.6,,,,,,,,,,,,
35,PT09M10.00S,2023-03-16T00:45:09.6Z,1,REGULAR,2pt,Jump Shot,[],1630702,21.107095926412615,59.31372549019608,1610612742,7,7,2023-03-16T00:46:19Z,350000,False,-47.0,146.0,1,left,MISS J. Hardy 15' step back Shot,[1630702],1610612742.0,DAL,step back,,,Hardy,J. Hardy,,,,,Mid-Range,8-16 Center,,,,,,Missed,,15.32,,,,,,,,,,,,
