actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-05T00:10:12.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T00:10:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-05T00:10:14.0Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-11-05T00:10:14Z,40000,,,0,,Jump Ball J. Poeltl vs. I. Zubac: Tip to K. Johnson,"[1629640, 1627751, 1627826]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-11-05T00:10:35.8Z,1,REGULAR,2pt,Jump Shot,[],1629640,27.283180026281208,69.6078431372549,1610612759,2,0,2022-11-05T00:19:17Z,70000,-98.0,204.0,1,left,K. Johnson 22' pullup Jump Shot (2 PTS) (J. Sochan 1 AST),"[1629640, 1631110]",1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left Center,22.63,Made,2.0,J. Sochan,1631110.0,1.0,,,,,,,,,,,,,,
9,PT11M12.00S,2022-11-05T00:10:58.5Z,1,REGULAR,2pt,Jump Shot,[],1628379,79.71419185282524,18.137254901960784,1610612746,2,2,2022-11-05T00:11:04Z,90000,-159.0,138.0,1,right,L. Kennard 21' pullup Jump Shot (2 PTS) (I. Zubac 1 AST),"[1628379, 1627826]",1610612746.0,LAC,pullup,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Left Center,21.09,Made,2.0,I. Zubac,1627826.0,1.0,,,,,,,,,,,,,,
10,PT11M04.00S,2022-11-05T00:11:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,17.296320630749015,55.63725490196079,1610612759,2,2,2022-11-05T00:11:17Z,100000,-28.0,110.0,1,left,MISS T. Jones 11' floating Shot,[1630200],1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,11.37,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2022-11-05T00:11:09.9Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,2,2,2022-11-05T00:11:09Z,110000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M56.00S,2022-11-05T00:11:22.9Z,1,REGULAR,foul,personal,[],1631103,,,1610612746,2,2,2022-11-05T00:11:50Z,120000,,,0,,M. Branham personal FOUL (1 PF),"[1631103, 1627826]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2882.0,1.0,0.0,Zubac,1627826.0,,,,,
14,PT10M50.00S,2022-11-05T00:11:48.3Z,1,REGULAR,2pt,Jump Shot,[],202694,75.3777923784494,44.6078431372549,1610612746,2,2,2022-11-05T00:11:54Z,140000,-27.0,179.0,1,right,MISS M. Morris Sr. 18' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Center,18.09,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2022-11-05T00:11:51.3Z,1,REGULAR,rebound,defensive,[],1629640,,,1610612759,2,2,2022-11-05T00:11:54Z,150000,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M40.00S,2022-11-05T00:11:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,9.806176084099869,59.31372549019608,1610612759,2,2,2022-11-05T00:12:05Z,160000,-47.0,40.0,1,left,MISS T. Jones 6' driving Layup,[1630200],1610612759.0,SAS,driving,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,6.12,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2022-11-05T00:12:03.1Z,1,REGULAR,rebound,offensive,[],1629640,,,1610612759,2,2,2022-11-05T00:12:03Z,170000,,,0,,K. Johnson REBOUND (Off:1 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,,
18,PT10M29.00S,2022-11-05T00:12:11.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629640,15.456636005256241,39.950980392156865,1610612759,4,2,2022-11-05T00:12:22Z,180000,50.0,93.0,1,left,K. Johnson 10' pullup bank Jump Shot (4 PTS),[1629640],1610612759.0,SAS,pullup bank,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,10.55,Made,4.0,,,,,,,,,,,,,,,,,
19,PT10M29.00S,2022-11-05T00:12:14.1Z,1,REGULAR,foul,personal,['1freethrow'],1628379,,,1610612759,4,2,2022-11-05T00:12:32Z,190000,,,0,,L. Kennard shooting personal FOUL (1 PF) (Johnson 1 FT),"[1628379, 1629640]",1610612746.0,LAC,shooting,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,203592.0,1.0,0.0,Johnson,1629640.0,,,,,
21,PT10M29.00S,2022-11-05T00:12:41.4Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629640,,,1610612759,4,2,2022-11-05T00:12:44Z,210000,,,0,,MISS K. Johnson Free Throw 1 of 1,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M27.00S,2022-11-05T00:12:43.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,2,2022-11-05T00:12:44Z,220000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT10M11.00S,2022-11-05T00:12:59.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,84.44480946123521,63.725490196078425,1610612746,4,2,2022-11-05T00:13:03Z,230000,69.0,94.0,1,right,MISS M. Morris Sr. 11' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Right,11.61,Missed,,,,,,,,,,,,,,,,,,
24,PT10M08.00S,2022-11-05T00:13:02.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,4,2,2022-11-05T00:13:03Z,240000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
