actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
571,PT04M53.00S,2022-11-10T03:06:09.4Z,4,REGULAR,rebound,offensive,[],203500,,,1610612763,104,106,2022-11-10T03:06:09Z,5650000,False,,,0,,S. Adams REBOUND (Off:9 Def:6),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,,,,,,,570.0,15.0,6.0,9.0,,,,,,,,,,
572,PT04M50.00S,2022-11-10T03:06:16.1Z,4,REGULAR,3pt,Jump Shot,['2ndchance'],1629723,30.56833114323259,73.52941176470588,1610612763,104,106,2022-11-10T03:06:21Z,5660000,False,-118.0,235.0,1,left,MISS J. Konchar 26' 3PT,[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,26.26,Missed,,,,,,,,,,,,,,,,,,
573,PT04M50.00S,2022-11-10T03:06:18.1Z,4,REGULAR,rebound,offensive,['team'],0,,,1610612763,104,106,2022-11-10T03:06:18Z,5670000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,572.0,,,,,,,,,,,,,
574,PT04M50.00S,2022-11-10T03:06:19.4Z,4,REGULAR,foul,personal,[],1631110,,,1610612763,104,106,2022-11-10T03:06:42Z,5680000,False,,,0,,J. Sochan loose ball personal FOUL (2 PF),"[1631110, 203500]",1610612759.0,SAS,loose ball,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,1629183.0,2.0,0.0,Adams,203500.0,,
577,PT04M35.00S,2022-11-10T03:08:36.9Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630217,5.732588699080158,45.588235294117645,1610612763,104,108,2022-11-10T03:08:44Z,5710000,False,22.0,1.0,1,left,D. Bane driving Layup (26 PTS),[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.21,Made,26.0,,,,,,,,,,,,,,,,,
578,PT04M16.00S,2022-11-10T03:08:56.3Z,4,REGULAR,3pt,Jump Shot,[],1629640,94.43166885676742,2.450980392156863,1610612759,107,108,2022-11-10T03:09:03Z,5720000,False,-238.0,0.0,1,right,K. Johnson 3PT  (13 PTS) (T. Jones 9 AST),"[1629640, 1630200]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,23.77,Made,13.0,T. Jones,1630200.0,9.0,,,,,,,,,,,,,,
580,PT03M56.00S,2022-11-10T03:09:22.6Z,4,REGULAR,foul,personal,[],1630200,,,1610612763,107,108,2022-11-10T03:09:32Z,5740000,False,,,0,,T. Jones personal FOUL (2 PF),"[1630200, 1629630]",1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,101284.0,2.0,0.0,Morant,1629630.0,,
582,PT03M52.00S,2022-11-10T03:09:49.9Z,4,REGULAR,foul,offensive,[],203500,,,1610612763,107,108,2022-11-10T03:10:01Z,5760000,False,,,0,,S. Adams offensive FOUL (3 PF),"[203500, 1630170]",1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,101284.0,3.0,0.0,Vassell,1630170.0,,
584,PT03M52.00S,2022-11-10T03:09:49.9Z,4,REGULAR,turnover,offensive foul,[],203500,,,1610612763,107,108,2022-11-10T03:09:49Z,5780000,False,,,0,,S. Adams offensive foul TURNOVER (6 TO),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,6.0,,,101284.0,,,,,,
585,PT03M38.00S,2022-11-10T03:10:17.1Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,79.45137976346912,6.862745098039216,1610612759,107,108,2022-11-10T03:10:24Z,5790000,False,-216.0,141.0,1,right,MISS K. Johnson 25' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,25.75,Missed,,,,,,,,,,,,,,,,,,
