actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-08T02:30:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T02:30:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-08T02:30:55.5Z,1,REGULAR,jumpball,recovered,[],1629640,,,1610612759,0,0,2022-11-08T02:30:55Z,40000,,,0,,Jump Ball J. Poeltl vs. N. Jokic: Tip to K. Johnson,"[1629640, 1627751, 203999]",1610612759.0,SAS,startperiod,K. Johnson,1629640.0,Johnson,K. Johnson,Poeltl,1627751.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-11-08T02:31:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629640,85.54533508541392,64.65226715686275,1610612759,0,0,2022-11-08T02:31:54Z,70000,73.0,83.0,1,right,MISS K. Johnson 11' bank Shot,[1629640],1610612759.0,SAS,bank,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Right,11.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-11-08T02:31:16.6Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,0,2022-11-08T02:31:18Z,80000,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,8-16 Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-08T02:31:17.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630200,84.88830486202366,29.388786764705884,1610612759,2,0,2022-11-08T02:32:37Z,90000,-103.0,90.0,1,right,T. Jones 13' floating Jump Shot (2 PTS) (J. Sochan 1 AST),"[1630200, 1631110]",1610612759.0,SAS,floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,13.65,Made,,,,,2.0,J. Sochan,1631110.0,1.0,,,,,,,,,,
11,PT11M20.00S,2022-11-08T02:31:36.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203932,9.149145860709593,49.50980392156863,1610612743,2,2,2022-11-08T02:31:49Z,110000,2.0,34.0,1,left,A. Gordon turnaround Hook (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,turnaround,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.36,Made,,,,,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,
13,PT11M20.00S,2022-11-08T02:31:39.0Z,1,REGULAR,foul,personal,['1freethrow'],1631110,,,1610612743,2,2,2022-11-08T02:31:47Z,130000,,,0,,J. Sochan shooting personal FOUL (1 PF) (Gordon 1 FT),"[1631110, 203932]",1610612759.0,SAS,shooting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202007.0,1.0,0.0,Gordon,203932.0,,,,,
15,PT11M20.00S,2022-11-08T02:31:57.9Z,1,REGULAR,freethrow,1 of 1,[],203932,,,1610612743,2,3,2022-11-08T02:31:57Z,150000,,,0,,A. Gordon Free Throw 1 of 1 (3 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
16,PT11M09.00S,2022-11-08T02:32:13.4Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612759,2,3,2022-11-08T02:32:23Z,160000,,,0,,N. Jokic kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,101283.0,,,,,,,,,
17,PT11M04.00S,2022-11-08T02:32:29.1Z,1,REGULAR,3pt,Jump Shot,[],1630170,92.32917214191852,95.09803921568627,1610612759,5,3,2022-11-08T02:32:35Z,170000,225.0,20.0,1,right,D. Vassell 3PT  (3 PTS) (J. Poeltl 1 AST),"[1630170, 1627751]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,22.64,Made,,,,,3.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,
19,PT10M40.00S,2022-11-08T02:32:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,8.623521681997373,54.41176470588235,1610612743,5,5,2022-11-08T02:33:13Z,190000,-22.0,29.0,1,left,N. Jokic turnaround Jump Shot (2 PTS) (M. Porter Jr. 1 AST),"[203999, 1629008]",1610612743.0,DEN,turnaround,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,3.61,Made,,,,,2.0,M. Porter Jr.,1629008.0,1.0,,,,,,,,,,
21,PT10M40.00S,2022-11-08T02:32:59.1Z,1,REGULAR,foul,personal,['1freethrow'],1630200,,,1610612743,5,5,2022-11-08T02:33:05Z,210000,,,0,,T. Jones shooting personal FOUL (1 PF) (Jokic 1 FT),"[1630200, 203999]",1610612759.0,SAS,shooting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202007.0,1.0,0.0,Jokic,203999.0,,,,,
23,PT10M40.00S,2022-11-08T02:33:19.4Z,1,REGULAR,freethrow,1 of 1,[],203999,,,1610612743,5,6,2022-11-08T02:33:19Z,230000,,,0,,N. Jokic Free Throw 1 of 1 (3 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
24,PT10M20.00S,2022-11-08T02:33:41.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,92.32917214191852,48.03921568627451,1610612759,7,6,2022-11-08T02:33:50Z,240000,-10.0,20.0,1,right,K. Johnson driving finger roll Layup (2 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,driving finger roll,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.19,Made,,,,,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,
