actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-12-30T01:10:11.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-30T01:10:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-30T01:10:12.9Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2022-12-30T01:10:13Z,40000,False,,,0,,Jump Ball M. Robinson vs. J. Poeltl: Tip to J. Randle,"[203944, 1629011, 1627751]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-12-30T01:10:24.6Z,1,REGULAR,turnover,bad pass,[],1630540,,,1610612752,0,0,2022-12-30T01:10:30Z,70000,False,,,0,,M. McBride bad pass TURNOVER (1 TO),"[1630540, 1629641]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Above the Break 3,24+ Right Center,1.0,Langford,1629641.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-12-30T01:10:24.6Z,1,REGULAR,steal,,[],1629641,,,1610612759,0,0,2022-12-30T01:10:26Z,80000,False,,,0,,R. Langford STEAL (1 STL),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-12-30T01:10:29.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629641,93.51182654402102,49.50980392156863,1610612759,0,0,2022-12-30T01:10:55Z,90000,False,-2.0,8.0,1,right,MISS R. Langford running finger roll Layup,[1629641],1610612759.0,SAS,running finger roll,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,0.89,Missed,,,,,,,,,,,,,,,
10,PT11M39.00S,2022-12-30T01:10:31.2Z,1,REGULAR,rebound,defensive,[],1630540,,,1610612752,0,0,2022-12-30T01:10:55Z,100000,False,,,0,,M. McBride REBOUND (Off:0 Def:1),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M28.00S,2022-12-30T01:10:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630540,6.389618922470433,51.9607843137255,1610612752,0,0,2022-12-30T01:11:03Z,120000,False,-10.0,8.0,1,left,MISS M. McBride driving Layup,[1630540],1610612752.0,NYK,driving,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,,,,1.24,Missed,,,,,,,,,,,,,,,
13,PT11M28.00S,2022-12-30T01:10:53.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-12-30T01:11:22Z,130000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M21.00S,2022-12-30T01:11:02.2Z,1,REGULAR,foul,personal,[],1629656,,,1610612759,0,0,2022-12-30T01:11:15Z,140000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1627751]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628953.0,1.0,0.0,Poeltl,1627751.0,,,,,,
16,PT11M16.00S,2022-12-30T01:11:24.5Z,1,REGULAR,2pt,Jump Shot,[],1629640,89.56964520367937,24.264705882352942,1610612759,0,0,2022-12-30T01:11:34Z,160000,False,-129.0,46.0,1,right,MISS K. Johnson 13' pullup bank Shot,[1629640],1610612759.0,SAS,pullup bank,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Left,,,,13.65,Missed,,,,,,,,,,,,,,,
17,PT11M12.00S,2022-12-30T01:11:28.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,0,0,2022-12-30T01:11:34Z,170000,False,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Left,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT11M09.00S,2022-12-30T01:11:32.0Z,1,REGULAR,foul,personal,[],1629640,,,1610612752,0,0,2022-12-30T01:11:41Z,180000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1630193]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1627519.0,1.0,0.0,Quickley,1630193.0,,,,,,
20,PT10M55.00S,2022-12-30T01:12:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630540,8.886333771353483,45.588235294117645,1610612752,0,0,2022-12-30T01:12:11Z,200000,False,22.0,31.0,1,left,MISS M. McBride driving finger roll Layup - blocked,"[1630540, 1627751]",1610612752.0,NYK,driving finger roll,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,,,,3.81,Missed,,,,,,,,,,Poeltl,1627751.0,,,,
21,PT10M55.00S,2022-12-30T01:12:04.6Z,1,REGULAR,block,,[],1627751,,,1610612752,0,0,2022-12-30T01:12:07Z,210000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M49.00S,2022-12-30T01:12:10.6Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,0,0,2022-12-30T01:12:11Z,220000,False,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,
23,PT10M49.00S,2022-12-30T01:12:10.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629011,5.590000152587891,50.0,1610612752,0,0,2022-12-30T01:12:16Z,230000,False,0.0,0.0,1,left,MISS M. Robinson Layup,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
24,PT10M49.00S,2022-12-30T01:12:10.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-12-30T01:12:16Z,240000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,
25,PT10M45.00S,2022-12-30T01:12:14.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630200,94.03745072273325,47.794117647058826,1610612759,2,0,2022-12-30T01:12:24Z,250000,False,-11.0,4.0,1,right,T. Jones driving finger roll Layup (2 PTS),[1630200],1610612759.0,SAS,driving finger roll,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,1.15,Made,,,,,,,,,,,,2.0,,,
27,PT10M33.00S,2022-12-30T01:12:26.6Z,1,REGULAR,2pt,Jump Shot,[],1630193,13.87976346911958,22.30392156862745,1610612752,2,2,2022-12-30T01:12:33Z,270000,False,138.0,78.0,1,left,I. Quickley 15' pullup Jump Shot (2 PTS),[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Right,,,,15.9,Made,,,,,,,,,,,,2.0,,,
28,PT10M20.00S,2022-12-30T01:12:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,93.9060446780552,54.166666666666664,1610612759,4,2,2022-12-30T01:12:49Z,280000,False,21.0,5.0,1,right,K. Johnson driving Layup (2 PTS) (T. Jones 1 AST),"[1629640, 1630200]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,2.13,Made,,,,,,,,,,,,2.0,T. Jones,1630200.0,1.0
30,PT10M01.00S,2022-12-30T01:13:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,10.85742444152431,56.86274509803921,1610612752,4,4,2022-12-30T01:13:11Z,300000,False,-34.0,50.0,1,left,I. Quickley 6' pullup Jump Shot (4 PTS),[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),0-8 Center,,,,6.03,Made,,,,,,,,,,,,4.0,,,
31,PT10M01.00S,2022-12-30T01:13:05.7Z,1,REGULAR,foul,personal,['1freethrow'],1629640,,,1610612752,4,4,2022-12-30T01:13:12Z,310000,False,,,0,,K. Johnson shooting personal FOUL (2 PF) (Quickley 1 FT),"[1629640, 1630193]",1610612759.0,SAS,shooting,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,1628953.0,2.0,0.0,Quickley,1630193.0,,,,,,
33,PT10M01.00S,2022-12-30T01:13:16.6Z,1,REGULAR,substitution,out,[],1629640,,,1610612752,4,4,2022-12-30T01:14:00Z,330000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT10M01.00S,2022-12-30T01:13:16.6Z,1,REGULAR,substitution,in,[],1626169,,,1610612752,4,4,2022-12-30T01:14:00Z,340000,False,,,0,,SUB in: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT10M01.00S,2022-12-30T01:13:43.9Z,1,REGULAR,freethrow,1 of 1,[],1630193,,,1610612752,4,5,2022-12-30T01:13:43Z,350000,False,,,0,,I. Quickley Free Throw 1 of 1 (5 PTS),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,Made,,,,,,,,,,,,5.0,,,
36,PT09M48.00S,2022-12-30T01:13:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627751,86.81011826544021,49.754901960784316,1610612759,4,5,2022-12-30T01:14:04Z,360000,False,-1.0,71.0,1,right,MISS J. Poeltl 7' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,7.15,Missed,,,,,,,,,,,,,,,
37,PT09M45.00S,2022-12-30T01:14:00.9Z,1,REGULAR,rebound,offensive,[],1626169,,,1610612759,4,5,2022-12-30T01:14:00Z,370000,False,,,0,,S. Johnson REBOUND (Off:1 Def:0),[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,
38,PT09M45.00S,2022-12-30T01:14:00.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626169,94.40999984741211,50.0,1610612759,4,5,2022-12-30T01:14:00Z,380000,False,0.0,0.0,1,right,MISS S. Johnson tip Layup,[1626169],1610612759.0,SAS,tip,,,Johnson,S. Johnson,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
39,PT09M44.00S,2022-12-30T01:14:01.7Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,4,5,2022-12-30T01:14:01Z,390000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,
40,PT09M32.00S,2022-12-30T01:14:16.4Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612752,4,5,2022-12-30T01:14:34Z,400000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Grimes 2 FT),"[1627751, 1629656]",1610612759.0,SAS,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627519.0,1.0,0.0,Grimes,1629656.0,,,,,,
42,PT09M32.00S,2022-12-30T01:14:40.9Z,1,REGULAR,freethrow,1 of 2,[],1629656,,,1610612752,4,6,2022-12-30T01:14:41Z,420000,False,,,0,,Q. Grimes Free Throw 1 of 2 (1 PTS),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
43,PT09M32.00S,2022-12-30T01:14:52.6Z,1,REGULAR,freethrow,2 of 2,[],1629656,,,1610612752,4,7,2022-12-30T01:14:52Z,430000,False,,,0,,Q. Grimes Free Throw 2 of 2 (2 PTS),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,Made,,,,,,,,,,,,2.0,,,
44,PT09M16.00S,2022-12-30T01:15:10.7Z,1,REGULAR,2pt,Jump Shot,[],1630200,78.79434954007884,30.392156862745097,1610612759,4,7,2022-12-30T01:15:22Z,440000,False,-98.0,147.0,1,right,MISS T. Jones 17' pullup Shot,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,Mid-Range,16-24 Left Center,,,,17.65,Missed,,,,,,,,,,,,,,,
45,PT09M13.00S,2022-12-30T01:15:13.7Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,4,7,2022-12-30T01:15:22Z,450000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,,,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,
46,PT09M07.00S,2022-12-30T01:15:20.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631110,94.03745072273325,52.69607843137255,1610612759,6,7,2022-12-30T01:15:30Z,460000,False,13.0,4.0,1,right,J. Sochan reverse Layup (2 PTS) (S. Johnson 1 AST),"[1631110, 1626169]",1610612759.0,SAS,reverse,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,1.39,Made,,,,,,,,,,,,2.0,S. Johnson,1626169.0,1.0
48,PT08M58.00S,2022-12-30T01:15:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629656,24.129434954007884,12.990196078431374,1610612752,6,7,2022-12-30T01:16:23Z,480000,False,185.0,174.0,1,left,MISS Q. Grimes 25' running 3PT,[1629656],1610612752.0,NYK,running,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,25.42,Missed,,,,,,,,,,,,,,,
49,PT08M58.00S,2022-12-30T01:15:27.9Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,6,7,2022-12-30T01:15:43Z,490000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Right Center,,,,,,48.0,3.0,3.0,0.0,,,,,,,,,,,
50,PT08M44.00S,2022-12-30T01:15:43.0Z,1,REGULAR,turnover,bad pass,[],1631110,,,1610612759,6,7,2022-12-30T01:15:48Z,500000,False,,,0,,J. Sochan bad pass TURNOVER (1 TO),"[1631110, 1629656]",1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Left Center,1.0,Grimes,1629656.0,,,,,,,,,,,,,,,,,
51,PT08M44.00S,2022-12-30T01:15:43.0Z,1,REGULAR,steal,,[],1629656,,,1610612752,6,7,2022-12-30T01:15:45Z,510000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
52,PT08M38.00S,2022-12-30T01:15:49.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,30.436925098554536,71.56862745098039,1610612752,6,7,2022-12-30T01:17:37Z,520000,False,-108.0,234.0,1,left,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,25.73,Missed,,,,,,,,,,,,,,,
53,PT08M35.00S,2022-12-30T01:15:51.6Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,6,7,2022-12-30T01:15:51Z,530000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,
54,PT08M28.00S,2022-12-30T01:15:58.0Z,1,REGULAR,3pt,Jump Shot,[],1630200,75.1149802890933,85.29411764705883,1610612759,6,7,2022-12-30T01:16:07Z,540000,False,176.0,181.0,1,right,MISS T. Jones 25' pullup 3PT,[1630200],1610612759.0,SAS,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,25.31,Missed,,,,,,,,,,,,,,,
55,PT08M26.00S,2022-12-30T01:16:00.0Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,6,7,2022-12-30T01:16:07Z,550000,False,,,0,,I. Quickley REBOUND (Off:0 Def:2),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,,,54.0,2.0,2.0,0.0,,,,,,,,,,,
56,PT08M11.00S,2022-12-30T01:16:15.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,17.427726675427067,46.32352941176471,1610612752,6,7,2022-12-30T01:16:27Z,560000,False,18.0,111.0,1,left,MISS J. Randle 11' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,11.28,Missed,,,,,,,,,,,,,,,
57,PT08M08.00S,2022-12-30T01:16:18.8Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,6,7,2022-12-30T01:16:27Z,570000,False,,,0,,T. Jones REBOUND (Off:0 Def:2),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,
58,PT08M04.00S,2022-12-30T01:16:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629641,93.38042049934296,50.245098039215684,1610612759,8,7,2022-12-30T01:16:31Z,580000,False,1.0,10.0,1,right,R. Langford driving finger roll Layup (2 PTS) (T. Jones 2 AST),"[1629641, 1630200]",1610612759.0,SAS,driving finger roll,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,0.98,Made,,,,,,,,,,,,2.0,T. Jones,1630200.0,2.0
60,PT07M48.00S,2022-12-30T01:16:39.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630193,17.69053876478318,37.745098039215684,1610612752,8,9,2022-12-30T01:16:47Z,600000,False,61.0,114.0,1,left,I. Quickley 12' floating Jump Shot (7 PTS) (M. Robinson 1 AST),"[1630193, 1629011]",1610612752.0,NYK,floating,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,,,,12.93,Made,,,,,,,,,,,,7.0,M. Robinson,1629011.0,1.0
62,PT07M39.00S,2022-12-30T01:16:46.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,94.69448094612353,45.09803921568628,1610612759,8,9,2022-12-30T01:18:07Z,620000,False,-25.0,-3.0,1,right,MISS J. Sochan running Layup,[1631110],1610612759.0,SAS,running,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,2.46,Missed,,,,,,,,,,,,,,,
63,PT07M35.00S,2022-12-30T01:16:50.9Z,1,REGULAR,rebound,offensive,[],1629641,,,1610612759,8,9,2022-12-30T01:16:50Z,630000,False,,,0,,R. Langford REBOUND (Off:1 Def:0),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,,,62.0,1.0,0.0,1.0,,,,,,,,,,,
64,PT07M35.00S,2022-12-30T01:16:50.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629641,94.40999984741211,50.0,1610612759,10,9,2022-12-30T01:18:30Z,640000,False,0.0,0.0,1,right,R. Langford tip DUNK (4 PTS),[1629641],1610612759.0,SAS,tip,,,Langford,R. Langford,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,,,,,,4.0,,,
65,PT07M34.00S,2022-12-30T01:17:03.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,10,9,2022-12-30T01:17:03Z,650000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
