actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-04T01:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-04T01:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-02-04T01:10:14.1Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2023-02-04T01:10:14Z,40000,False,,,0,,Jump Ball J. Embiid vs. J. Poeltl: Tip to J. Harden,"[201935, 203954, 1627751]",1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2023-02-04T01:10:20.6Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,0,0,2023-02-04T01:10:34Z,70000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1626196]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,1.0,Richardson,1626196.0,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2023-02-04T01:10:20.6Z,1,REGULAR,steal,,[],1626196,,,1610612759,0,0,2023-02-04T01:10:22Z,80000,False,,,0,,J. Richardson STEAL (1 STL),[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2023-02-04T01:10:25.8Z,1,REGULAR,turnover,out-of-bounds,[],1629640,,,1610612759,0,0,2023-02-04T01:10:42Z,90000,False,,,0,,K. Johnson step out-of-bounds TURNOVER (1 TO),[1629640],1610612759.0,SAS,step,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,1.0,,,1626302.0,,,,,,,,,,,,,,,,
10,PT11M36.00S,2023-02-04T01:10:45.9Z,1,REGULAR,turnover,traveling,[],202699,,,1610612755,0,0,2023-02-04T01:11:02Z,100000,False,,,0,,T. Harris traveling TURNOVER (1 TO),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2023-02-04T01:11:03.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631103,79.71419185282524,36.029411764705884,1610612759,2,0,2023-02-04T01:11:12Z,110000,False,-70.0,138.0,1,right,M. Branham 15' pullup Jump Shot (2 PTS),[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,,,,15.49,Made,2.0,,,,,,,,,,,,,
12,PT11M12.00S,2023-02-04T01:11:15.6Z,1,REGULAR,turnover,bad pass,[],203954,,,1610612755,2,0,2023-02-04T01:11:21Z,120000,False,,,0,,J. Embiid bad pass TURNOVER (1 TO),"[203954, 1629640]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,1.0,Johnson,1629640.0,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2023-02-04T01:11:15.6Z,1,REGULAR,steal,,[],1629640,,,1610612759,2,0,2023-02-04T01:11:18Z,130000,False,,,0,,K. Johnson STEAL (1 STL),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2023-02-04T01:11:30.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629640,76.42904073587385,8.57843137254902,1610612759,2,0,2023-02-04T01:11:36Z,140000,False,-207.0,169.0,1,right,MISS K. Johnson 26' 3PT,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,26.74,Missed,,,,,,,,,,,,,,
15,PT10M53.00S,2023-02-04T01:11:36.1Z,1,REGULAR,rebound,offensive,[],1627751,,,1610612759,2,0,2023-02-04T01:11:36Z,150000,False,,,0,,J. Poeltl REBOUND (Off:1 Def:0),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Above the Break 3,24+ Left Center,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
