actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-15T00:10:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-15T00:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-03-15T00:10:30.5Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-03-15T00:10:30Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. Z. Collins: Tip to M. Fultz,"[1628365, 1628976, 1628380]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-03-15T00:10:39.3Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,0,0,2023-03-15T00:10:58Z,70000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1631110]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Center,1.0,Sochan,1631110.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2023-03-15T00:10:39.3Z,1,REGULAR,steal,,[],1631110,,,1610612759,0,0,2023-03-15T00:10:44Z,80000,False,,,0,,J. Sochan STEAL (1 STL),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M48.00S,2023-03-15T00:10:47.5Z,1,REGULAR,turnover,out-of-bounds,[],1631110,,,1610612759,0,0,2023-03-15T00:11:07Z,90000,False,,,0,,J. Sochan step out-of-bounds TURNOVER (1 TO),[1631110],1610612759.0,SAS,step,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,1.0,,,1151.0,,,,,,,,,,,,,,,,
10,PT11M38.00S,2023-03-15T00:11:01.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,23.99802890932983,11.029411764705882,1610612753,0,3,2023-03-15T00:11:11Z,100000,False,195.0,173.0,1,left,W. Carter Jr. 26' 3PT  (3 PTS) (G. Harris 1 AST),"[1628976, 203914]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,26.07,Made,3.0,G. Harris,203914.0,1.0,,,,,,,,,,
12,PT11M22.00S,2023-03-15T00:11:15.8Z,1,REGULAR,2pt,Jump Shot,[],1628380,78.9257555847569,50.0,1610612759,0,3,2023-03-15T00:11:23Z,120000,False,0.0,146.0,1,right,MISS Z. Collins 14' Jump Shot,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Center,,,,,14.56,Missed,,,,,,,,,,,,,,
13,PT11M19.00S,2023-03-15T00:11:18.8Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,3,2023-03-15T00:11:23Z,130000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT11M09.00S,2023-03-15T00:11:28.6Z,1,REGULAR,turnover,bad pass,[],1631094,,,1610612753,0,3,2023-03-15T00:11:35Z,140000,False,,,0,,P. Banchero bad pass TURNOVER (2 TO),"[1631094, 1628380]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,2.0,Collins,1628380.0,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2023-03-15T00:11:28.6Z,1,REGULAR,steal,,[],1628380,,,1610612759,0,3,2023-03-15T00:11:32Z,150000,False,,,0,,Z. Collins STEAL (1 STL),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT11M02.00S,2023-03-15T00:11:36.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,74.45795006570303,13.23529411764706,1610612759,0,3,2023-03-15T00:11:42Z,160000,False,-184.0,188.0,1,right,MISS D. Graham 26' 3PT,[1628984],1610612759.0,SAS,,,,Graham,D. Graham,,,,,Above the Break 3,24+ Left Center,,,,,26.26,Missed,,,,,,,,,,,,,,
