actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-12T01:42:09.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-12T01:42:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-12T01:42:13.1Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-01-12T01:42:13Z,40000,False,,,0,,Jump Ball Q. Post vs. O. Okongwu: Tip to D. Green,"[203110, 1642366, 1630168]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-12T01:42:26.7Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612744,0,0,2026-01-12T01:42:52Z,70000,False,,,0,,J. Butler III bad pass out-of-bounds TURNOVER (1 TO),[202710],1610612744.0,GSW,bad pass,,,Butler III,J. Butler III,,,,,Mid-Range,8-16 Right,200834.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2026-01-12T01:42:49.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630249,29.122864651773984,77.69607843137256,1610612737,0,0,2026-01-12T01:44:06Z,80000,False,-138.0,221.0,1,left,MISS V. Krejčí 26' pullup 3PT,[1630249],1610612737.0,ATL,pullup,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Left Center,,,26.11,Missed,,,,,,,,,,,,,,,,
9,PT11M28.00S,2026-01-12T01:42:52.9Z,1,REGULAR,rebound,defensive,[],202710,,,1610612744,0,0,2026-01-12T01:42:57Z,90000,False,,,0,,J. Butler III REBOUND (Off:0 Def:1),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M14.00S,2026-01-12T01:43:07.1Z,1,REGULAR,2pt,Jump Shot,[],201939,88.38699080157687,82.59803921568627,1610612744,2,0,2026-01-12T01:43:20Z,100000,False,163.0,57.0,1,right,S. Curry 17' step back Jump Shot (2 PTS),[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Mid-Range,16-24 Right,,,17.26,Made,,,,,2.0,,,,,,,,,,,
11,PT10M59.00S,2026-01-12T01:43:21.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,8.886333771353483,48.529411764705884,1610612737,2,0,2026-01-12T01:45:08Z,110000,False,7.0,31.0,1,left,MISS O. Okongwu driving Hook,[1630168],1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,,,3.19,Missed,,,,,,,,,,,,,,,,
12,PT10M58.00S,2026-01-12T01:43:22.4Z,1,REGULAR,rebound,defensive,[],202710,,,1610612744,2,0,2026-01-12T01:45:39Z,120000,False,,,0,,J. Butler III REBOUND (Off:0 Def:2),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,
13,PT10M44.00S,2026-01-12T01:43:36.8Z,1,REGULAR,3pt,Jump Shot,[],203110,66.44218134034165,56.86274509803921,1610612744,2,0,2026-01-12T01:43:44Z,130000,False,34.0,263.0,1,right,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,26.51,Missed,,,,,,,,,,,,,,,,
14,PT10M40.00S,2026-01-12T01:43:40.8Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,0,2026-01-12T01:43:44Z,140000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Center,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT10M31.00S,2026-01-12T01:43:49.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,15.719448094612352,53.92156862745098,1610612737,2,0,2026-01-12T01:46:36Z,150000,False,-20.0,95.0,1,left,MISS D. Daniels 9' floating Shot,[1630700],1610612737.0,ATL,floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,9.73,Missed,,,,,,,,,,,,,,,,
16,PT10M28.00S,2026-01-12T01:43:52.7Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,2,0,2026-01-12T01:43:58Z,160000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,
17,PT10M27.00S,2026-01-12T01:43:53.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630168,20.581471747700395,90.93137254901961,1610612737,2,0,2026-01-12T01:44:00Z,170000,False,-205.0,141.0,1,left,MISS O. Okongwu 24' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,24.86,Missed,,,,,,,,,,,,,,,,
18,PT10M24.00S,2026-01-12T01:43:56.4Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,0,2026-01-12T01:44:00Z,180000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M12.00S,2026-01-12T01:44:29.1Z,1,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612744,2,0,2026-01-12T01:44:37Z,200000,False,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Curry 2 FT),"[1629638, 201939]",1610612737.0,ATL,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,200834.0,,,,,,,,,1.0,0.0,Curry,201939.0,,,,,,,
22,PT10M12.00S,2026-01-12T01:44:57.2Z,1,REGULAR,freethrow,1 of 2,[],201939,,,1610612744,3,0,2026-01-12T01:44:57Z,220000,False,,,0,,S. Curry Free Throw 1 of 2 (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
23,PT10M12.00S,2026-01-12T01:45:14.6Z,1,REGULAR,freethrow,2 of 2,[],201939,,,1610612744,4,0,2026-01-12T01:45:14Z,230000,False,,,0,,S. Curry Free Throw 2 of 2 (4 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
