actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-10T03:12:21.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-10T03:12:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-02-10T03:12:24.7Z,1,REGULAR,jumpball,recovered,[],1630311,,,1610612744,0,0,2026-02-10T03:12:24Z,40000,False,,,0,,Jump Ball D. Green vs. G. Jackson: Tip to P. Spencer,"[1630311, 203110, 1641713]",1610612744.0,GSW,startperiod,P. Spencer,1630311.0,Spencer,P. Spencer,Green,203110.0,Jackson,1641713.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-10T03:12:39.8Z,1,REGULAR,foul,personal,[],1641713,,,1610612744,0,0,2026-02-10T03:13:15Z,70000,False,,,0,,G. Jackson personal FOUL (1 PF),"[1641713, 203110]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Mid-Range,16-24 Center,1162.0,1.0,0.0,Green,203110.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-02-10T03:13:01.2Z,1,REGULAR,turnover,out-of-bounds,[],1630541,,,1610612744,0,0,2026-02-10T03:16:27Z,90000,False,,,0,,M. Moody bad pass out-of-bounds TURNOVER (1 TO),[1630541],1610612744.0,GSW,bad pass,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,1155.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M16.00S,2026-02-10T03:13:32.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629660,42.394875164257556,49.01960784313725,1610612763,0,0,2026-02-10T03:14:47Z,100000,False,5.0,346.0,1,left,MISS T. Jerome 34' pullup 3PT,[1629660],1610612763.0,MEM,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Center,,,,,,,34.6,Missed,,,,,,,,,,,,
11,PT11M16.00S,2026-02-10T03:13:34.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2026-02-10T03:13:34Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,10.0,,,,,,,,,,,
12,PT11M16.00S,2026-02-10T03:13:35.9Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612763,0,0,2026-02-10T03:13:47Z,120000,False,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,1162.0,,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2026-02-10T03:13:52.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630541,91.14651773981603,95.34313725490196,1610612744,0,0,2026-02-10T03:14:31Z,130000,False,227.0,31.0,1,right,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Right Corner 3,24+ Right,,,,,,,22.88,Missed,,,,,,,,,,,,
14,PT11M02.00S,2026-02-10T03:13:55.1Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,0,0,2026-02-10T03:14:31Z,140000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,Right Corner 3,24+ Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M47.00S,2026-02-10T03:14:13.9Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612763,0,0,2026-02-10T03:14:23Z,150000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Anderson 2 FT),"[203110, 203937]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,202056.0,1.0,0.0,Anderson,203937.0,,,,,,,,,,,,,,,
17,PT10M47.00S,2026-02-10T03:14:44.0Z,1,REGULAR,freethrow,1 of 2,[],203937,,,1610612763,0,1,2026-02-10T03:14:44Z,170000,False,,,0,,K. Anderson Free Throw 1 of 2 (1 PTS),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
18,PT10M47.00S,2026-02-10T03:15:06.7Z,1,REGULAR,freethrow,2 of 2,[],203937,,,1610612763,0,2,2026-02-10T03:15:06Z,180000,False,,,0,,K. Anderson Free Throw 2 of 2 (2 PTS),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
19,PT10M28.00S,2026-02-10T03:15:27.4Z,1,REGULAR,3pt,Jump Shot,[],203110,93.77463863337714,98.0392156862745,1610612744,0,2,2026-02-10T03:17:57Z,190000,False,240.0,6.0,1,right,MISS D. Green 24' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,,,,,24.03,Missed,,,,,,,,,,,,
20,PT10M26.00S,2026-02-10T03:15:29.4Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,0,2,2026-02-10T03:16:53Z,200000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Mid-Range,24+ Right,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
21,PT10M11.00S,2026-02-10T03:15:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642907,11.251642575558476,46.07843137254902,1610612763,0,4,2026-02-10T03:15:55Z,210000,False,20.0,53.0,1,left,C. Coward driving Layup (2 PTS) (T. Jerome 1 AST),"[1642907, 1629660]",1610612763.0,MEM,driving,,,Coward,C. Coward,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.68,Made,,,,,2.0,T. Jerome,1629660.0,1.0,,,,
23,PT10M02.00S,2026-02-10T03:15:52.9Z,1,REGULAR,3pt,Jump Shot,[],1630311,72.35545335085413,14.950980392156863,1610612744,3,4,2026-02-10T03:17:26Z,230000,False,-175.0,207.0,1,right,P. Spencer 27' 3PT pullup (3 PTS) (G. Santos 1 AST),"[1630311, 1630611]",1610612744.0,GSW,pullup,,,Spencer,P. Spencer,,,,,Above the Break 3,24+ Left Center,,,,,,,27.15,Made,,,,,3.0,G. Santos,1630611.0,1.0,,,,
25,PT09M44.00S,2026-02-10T03:16:11.4Z,1,REGULAR,turnover,lost ball,[],1629660,,,1610612763,3,4,2026-02-10T03:17:52Z,250000,False,,,0,,T. Jerome lost ball TURNOVER (1 TO),"[1629660, 1630541]",1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Center,,,,,,1.0,,,,,,,,,,,Moody,1630541.0,,
26,PT09M44.00S,2026-02-10T03:16:11.4Z,1,REGULAR,steal,,[],1630541,,,1610612744,3,4,2026-02-10T03:16:12Z,260000,False,,,0,,M. Moody STEAL (1 STL),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
27,PT09M37.00S,2026-02-10T03:16:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203110,92.72339027595268,44.85294117647059,1610612744,5,4,2026-02-10T03:17:14Z,270000,False,-26.0,16.0,1,right,D. Green running Layup (2 PTS) (M. Moody 1 AST),"[203110, 1630541]",1610612744.0,GSW,running,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,3.02,Made,,,,,2.0,M. Moody,1630541.0,1.0,,,,
29,PT09M23.00S,2026-02-10T03:16:32.3Z,1,REGULAR,turnover,bad pass,[],203937,,,1610612763,5,4,2026-02-10T03:16:41Z,290000,False,,,0,,K. Anderson bad pass TURNOVER (1 TO),"[203937, 203110]",1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,1.0,,,,,,,,,,,Green,203110.0,,
30,PT09M23.00S,2026-02-10T03:16:32.3Z,1,REGULAR,steal,,[],203110,,,1610612744,5,4,2026-02-10T03:16:34Z,300000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M17.00S,2026-02-10T03:16:38.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629001,68.54467805519053,71.07843137254902,1610612744,5,4,2026-02-10T03:19:48Z,310000,False,105.0,243.0,1,right,MISS D. Melton 26' running pullup 3PT,[1629001],1610612744.0,GSW,running pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,,26.51,Missed,,,,,,,,,,,,
32,PT09M14.00S,2026-02-10T03:16:41.5Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,5,4,2026-02-10T03:16:48Z,320000,False,,,0,,C. Coward REBOUND (Off:0 Def:2),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,
33,PT09M14.00S,2026-02-10T03:16:47.1Z,1,REGULAR,foul,personal,[],1630541,,,1610612763,5,4,2026-02-10T03:17:00Z,330000,False,,,0,,M. Moody personal FOUL (1 PF),"[1630541, 1642907]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,8-16 Left,202056.0,1.0,0.0,Coward,1642907.0,,,,,,,,,,,,,,,
35,PT09M04.00S,2026-02-10T03:17:10.4Z,1,REGULAR,3pt,Jump Shot,[],1642377,4.02431011826544,96.56862745098039,1610612763,5,4,2026-02-10T03:17:17Z,350000,False,-233.0,-15.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,,,,,23.33,Missed,,,,,,,,,,,,
36,PT09M04.00S,2026-02-10T03:17:10.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,5,4,2026-02-10T03:17:17Z,360000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,35.0,,,,,,,,,,,
37,PT09M02.00S,2026-02-10T03:17:16.8Z,1,REGULAR,foul,personal,[],1630311,,,1610612763,5,4,2026-02-10T03:17:43Z,370000,False,,,0,,P. Spencer loose ball personal FOUL (1 PF),"[1630311, 203937]",1610612744.0,GSW,loose ball,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),0-8 Center,1162.0,1.0,0.0,Anderson,203937.0,,,,,,,,,,,,,,,
39,PT08M51.00S,2026-02-10T03:17:46.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629660,16.770696452036795,26.96078431372549,1610612763,5,6,2026-02-10T03:20:54Z,390000,False,115.0,105.0,1,left,T. Jerome 15' driving floating Jump Shot (2 PTS) (C. Coward 1 AST),"[1629660, 1642907]",1610612763.0,MEM,driving floating,,,Jerome,T. Jerome,,,,,Mid-Range,8-16 Right,,,,,,,15.59,Made,,,,,2.0,C. Coward,1642907.0,1.0,,,,
41,PT08M43.00S,2026-02-10T03:17:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630611,69.99014454664915,75.24509803921569,1610612744,5,6,2026-02-10T03:21:19Z,410000,False,126.0,230.0,1,right,MISS G. Santos 26' pullup 3PT,[1630611],1610612744.0,GSW,pullup,,,Santos,G. Santos,,,,,Above the Break 3,24+ Right Center,,,,,,,26.2,Missed,,,,,,,,,,,,
42,PT08M43.00S,2026-02-10T03:17:54.1Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,5,6,2026-02-10T03:18:04Z,420000,False,,,0,,K. Anderson REBOUND (Off:0 Def:2),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,
43,PT08M33.00S,2026-02-10T03:18:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,10.068988173455978,57.107843137254896,1610612763,5,8,2026-02-10T03:22:13Z,430000,False,-36.0,42.0,1,left,T. Jerome driving floating Jump Shot (4 PTS),[1629660],1610612763.0,MEM,driving floating,,,Jerome,T. Jerome,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.51,Made,,,,,4.0,,,,,,,
44,PT08M25.00S,2026-02-10T03:18:14.3Z,1,REGULAR,foul,personal,['2freethrow'],1641713,,,1610612744,5,8,2026-02-10T03:18:22Z,440000,False,,,0,,G. Jackson shooting personal FOUL (2 PF) (Melton 2 FT),"[1641713, 1629001]",1610612763.0,MEM,shooting,,,Jackson,G. Jackson,,,,,In The Paint (Non-RA),0-8 Center,202056.0,2.0,0.0,Melton,1629001.0,,,,,,,,,,,,,,,
46,PT08M25.00S,2026-02-10T03:18:38.4Z,1,REGULAR,freethrow,1 of 2,[],1629001,,,1610612744,6,8,2026-02-10T03:18:38Z,460000,False,,,0,,D. Melton Free Throw 1 of 2 (1 PTS),[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,,,,,,,Made,,,,,1.0,,,,,,,
47,PT08M25.00S,2026-02-10T03:18:39.9Z,1,REGULAR,substitution,out,[],1641713,,,1610612744,6,8,2026-02-10T03:18:44Z,470000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M25.00S,2026-02-10T03:18:39.9Z,1,REGULAR,substitution,in,[],1641707,,,1610612744,6,8,2026-02-10T03:18:44Z,480000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M25.00S,2026-02-10T03:18:54.6Z,1,REGULAR,freethrow,2 of 2,[],1629001,,,1610612744,7,8,2026-02-10T03:18:54Z,490000,False,,,0,,D. Melton Free Throw 2 of 2 (2 PTS),[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,,,,,,,,Made,,,,,2.0,,,,,,,
50,PT08M13.00S,2026-02-10T03:19:07.6Z,1,REGULAR,3pt,Jump Shot,['defensivegoaltending'],1629660,25.443495400788436,12.745098039215685,1610612763,7,11,2026-02-10T03:22:56Z,500000,False,186.0,187.0,1,left,T. Jerome 26' 3PT step back (7 PTS),[1629660],1610612763.0,MEM,step back,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Right Center,,,,,,,26.38,Made,,,,,7.0,,,,,,,
53,PT08M13.00S,2026-02-10T03:19:39.7Z,1,REGULAR,violation,defensive goaltending,[],1629001,,,1610612763,7,11,2026-02-10T03:22:03Z,530000,False,,,0,,D. Melton defensive goaltending VIOLATION,[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,,,1155.0,,,,,,,,,,,,,,,,,,,
54,PT08M02.00S,2026-02-10T03:19:47.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,90.3580814717477,42.15686274509804,1610612744,7,11,2026-02-10T03:24:10Z,540000,False,-39.0,38.0,1,right,MISS D. Melton driving Layup - blocked,"[1629001, 203937]",1610612744.0,GSW,driving,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,5.47,Missed,,,,,,,,,,,Anderson,203937.0
55,PT08M02.00S,2026-02-10T03:19:47.2Z,1,REGULAR,block,,[],203937,,,1610612744,7,11,2026-02-10T03:19:50Z,550000,False,,,0,,K. Anderson BLOCK (1 BLK),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT08M02.00S,2026-02-10T03:19:47.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612763,7,11,2026-02-10T03:20:34Z,560000,False,,,0,,TEAM defensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,54.0,,,,,,,,,,,
58,PT08M02.00S,2026-02-10T03:19:59.6Z,1,REGULAR,substitution,out,[],1630611,,,1610612763,7,11,2026-02-10T03:20:16Z,580000,False,,,0,,SUB out: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT08M02.00S,2026-02-10T03:19:59.6Z,1,REGULAR,substitution,in,[],1642954,,,1610612763,7,11,2026-02-10T03:20:16Z,590000,False,,,0,,SUB in: W. Richard,[1642954],1610612744.0,GSW,,,,Richard,W. Richard,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT08M02.00S,2026-02-10T03:19:59.6Z,1,REGULAR,substitution,out,[],1642907,,,1610612763,7,11,2026-02-10T03:20:55Z,595000,False,,,0,,SUB out: C. Coward,[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT08M02.00S,2026-02-10T03:19:59.6Z,1,REGULAR,substitution,in,[],1642285,,,1610612763,7,11,2026-02-10T03:20:55Z,597500,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M50.00S,2026-02-10T03:20:39.0Z,1,REGULAR,3pt,Jump Shot,[],1641707,3.4986859395532193,95.83333333333334,1610612763,7,14,2026-02-10T03:20:45Z,600000,False,-229.0,-20.0,1,left,T. Hendricks 3PT  (3 PTS) (T. Jerome 2 AST),"[1641707, 1629660]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Left Corner 3,24+ Left,,,,,,,23.0,Made,,,,,3.0,T. Jerome,1629660.0,2.0,,,,
64,PT07M30.00S,2026-02-10T03:20:59.4Z,1,REGULAR,turnover,bad pass,[],1630541,,,1610612744,7,14,2026-02-10T03:21:07Z,620000,False,,,0,,M. Moody bad pass TURNOVER (2 TO),"[1630541, 1641707]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,,,,,,2.0,,,,,,,,,,,Hendricks,1641707.0,,
65,PT07M30.00S,2026-02-10T03:20:59.4Z,1,REGULAR,steal,,[],1641707,,,1610612763,7,14,2026-02-10T03:21:01Z,630000,False,,,0,,T. Hendricks STEAL (1 STL),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
66,PT07M22.00S,2026-02-10T03:21:09.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641707,6.652431011826544,45.34313725490196,1610612763,7,16,2026-02-10T03:21:15Z,640000,False,23.0,10.0,1,left,T. Hendricks cutting Layup (5 PTS) (C. Spencer 1 AST),"[1641707, 1642285]",1610612763.0,MEM,cutting,,,Hendricks,T. Hendricks,,,,,Restricted Area,0-8 Center,,,,,,,2.54,Made,,,,,5.0,C. Spencer,1642285.0,1.0,,,,
68,PT07M22.00S,2026-02-10T03:21:11.6Z,1,REGULAR,foul,personal,['1freethrow'],1642954,,,1610612763,7,16,2026-02-10T03:21:23Z,660000,False,,,0,,W. Richard shooting personal FOUL (1 PF) (Hendricks 1 FT),"[1642954, 1641707]",1610612744.0,GSW,shooting,,,Richard,W. Richard,,,,,Restricted Area,0-8 Center,1162.0,1.0,0.0,Hendricks,1641707.0,,,,,,,,,,,,,,,
70,PT07M22.00S,2026-02-10T03:21:22.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,7,16,2026-02-10T03:21:35Z,680000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M22.00S,2026-02-10T03:23:33.9Z,1,REGULAR,substitution,out,[],1629660,,,1610612763,7,16,2026-02-10T03:24:13Z,690000,False,,,0,,SUB out: T. Jerome,[1629660],1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M22.00S,2026-02-10T03:23:33.9Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,7,16,2026-02-10T03:24:13Z,700000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M22.00S,2026-02-10T03:24:39.7Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1641707,,,1610612763,7,17,2026-02-10T03:24:39Z,710000,False,,,0,,T. Hendricks Free Throw 1 of 1 (6 PTS),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,Made,,,,,6.0,,,,,,,
74,PT07M07.00S,2026-02-10T03:24:56.0Z,1,REGULAR,3pt,Jump Shot,[],1630541,73.40670170827858,17.15686274509804,1610612744,7,17,2026-02-10T03:25:01Z,720000,False,-164.0,197.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,,,,,,,25.68,Missed,,,,,,,,,,,,
