actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-04-08T02:11:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-08T02:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-04-08T02:11:16.7Z,1,REGULAR,jumpball,recovered,[],1631342,,,1610612758,0,0,2026-04-08T02:11:16Z,40000,False,,,0,,Jump Ball M. Raynaud vs. D. Green: Tip to D. Plowden,"[1631342, 1642875, 203110]",1610612758.0,SAC,startperiod,D. Plowden,1631342.0,Plowden,D. Plowden,Raynaud,1642875.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-04-08T02:11:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,11.777266754270697,54.90196078431373,1610612758,0,0,2026-04-08T02:20:46Z,70000,False,-25.0,58.0,1,left,MISS M. Raynaud 6' floating Shot,[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,6.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-04-08T02:11:33.9Z,1,REGULAR,rebound,offensive,[],1642363,,,1610612758,0,0,2026-04-08T02:20:46Z,80000,False,,,0,,N. Clifford REBOUND (Off:1 Def:0),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2026-04-08T02:11:33.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642875,6.389618922470433,47.05882352941176,1610612758,0,0,2026-04-08T02:21:18Z,90000,False,15.0,8.0,1,left,MISS M. Raynaud cutting Layup - blocked,"[1642875, 203110]",1610612758.0,SAC,cutting,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,Green,203110.0,,,,,,,,,,,,
10,PT11M36.00S,2026-04-08T02:11:33.7Z,1,REGULAR,block,,[],203110,,,1610612758,0,0,2026-04-08T02:11:36Z,100000,False,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2026-04-08T02:11:37.7Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2026-04-08T02:21:18Z,110000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M29.00S,2026-04-08T02:11:46.0Z,1,REGULAR,foul,personal,['2freethrow'],1642363,,,1610612744,0,0,2026-04-08T02:11:52Z,120000,False,,,0,,N. Clifford shooting personal FOUL (1 PF) (Podziemski 2 FT),"[1642363, 1641764]",1610612758.0,SAC,shooting,,,Clifford,N. Clifford,,,,,Restricted Area,0-8 Center,,,,,,,,,201245.0,1.0,0.0,Podziemski,1641764.0,,,,,,,
14,PT11M29.00S,2026-04-08T02:12:05.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641764,,,1610612744,1,0,2026-04-08T02:12:05Z,140000,False,,,0,,B. Podziemski Free Throw 1 of 2 (1 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
15,PT11M29.00S,2026-04-08T02:12:05.4Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641764,,,1610612744,2,0,2026-04-08T02:13:25Z,150000,False,,,0,,B. Podziemski Free Throw 2 of 2 (2 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
16,PT11M08.00S,2026-04-08T02:12:45.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,7.703679369250986,56.127450980392155,1610612758,2,2,2026-04-08T02:12:55Z,160000,False,-31.0,20.0,1,left,M. Raynaud floating Jump Shot (2 PTS),[1642875],1610612758.0,SAC,floating,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,3.65,Made,,,,,,,,,,,,2.0,,,,,,
17,PT11M08.00S,2026-04-08T02:12:51.9Z,1,REGULAR,foul,personal,['1freethrow'],1642502,,,1610612758,2,2,2026-04-08T02:12:59Z,170000,False,,,0,,M. Leons shooting personal FOUL (1 PF) (Raynaud 1 FT),"[1642502, 1642875]",1610612744.0,GSW,shooting,,,Leons,M. Leons,,,,,Restricted Area,0-8 Center,,,,,,,,,201245.0,1.0,0.0,Raynaud,1642875.0,,,,,,,
19,PT11M08.00S,2026-04-08T02:13:13.2Z,1,REGULAR,freethrow,1 of 1,[],1642875,,,1610612758,2,3,2026-04-08T02:13:13Z,190000,False,,,0,,M. Raynaud Free Throw 1 of 1 (3 PTS),[1642875],1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
20,PT10M51.00S,2026-04-08T02:13:30.7Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,2,3,2026-04-08T02:13:38Z,200000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1642363]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,1.0,Clifford,1642363.0,,,
21,PT10M51.00S,2026-04-08T02:13:30.7Z,1,REGULAR,steal,,[],1642363,,,1610612758,2,3,2026-04-08T02:33:20Z,210000,False,,,0,,N. Clifford STEAL (1 STL),[1642363],1610612758.0,SAC,,,,Clifford,N. Clifford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
22,PT10M45.00S,2026-04-08T02:13:37.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642875,5.469776609724048,59.31372549019608,1610612758,2,3,2026-04-08T02:13:44Z,220000,False,-47.0,-1.0,1,left,MISS M. Raynaud running Layup,[1642875],1610612758.0,SAC,running,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,,,,
23,PT10M42.00S,2026-04-08T02:13:40.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,3,2026-04-08T02:13:44Z,230000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M21.00S,2026-04-08T02:14:01.6Z,1,REGULAR,2pt,Jump Shot,[],1641764,91.93495400788436,13.23529411764706,1610612744,2,3,2026-04-08T02:14:13Z,240000,False,-184.0,23.0,1,right,MISS B. Podziemski 18' pullup Shot,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Left,18.53,Missed,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2026-04-08T02:14:05.6Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612758,2,3,2026-04-08T02:14:13Z,250000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Left,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M02.00S,2026-04-08T02:14:20.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642875,8.623521681997373,46.32352941176471,1610612758,2,5,2026-04-08T02:15:28Z,260000,False,18.0,29.0,1,left,M. Raynaud driving Layup (5 PTS),[1642875],1610612758.0,SAC,driving,,,Raynaud,M. Raynaud,,,,,Restricted Area,0-8 Center,3.4,Made,,,,,,,,,,,,5.0,,,,,,
