actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-04T03:11:01.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-04T03:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-04T03:11:03.0Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-01-04T03:11:03Z,40000,False,,,0,,Jump Ball Q. Post vs. L. Markkanen: Tip to D. Green,"[203110, 1642366, 1628374]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Markkanen,1628374.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-01-04T03:11:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630541,19.793035479632064,41.911764705882355,1610612744,0,0,2026-01-04T03:11:43Z,70000,False,40.0,134.0,1,left,MISS M. Moody 13' fadeaway Shot,[1630541],1610612744.0,GSW,fadeaway,,,Moody,M. Moody,,,,,In The Paint (Non-RA),8-16 Center,13.96,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-01-04T03:11:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2026-01-04T03:11:35Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-04T03:11:31.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,0,0,2026-01-04T03:11:43Z,90000,False,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,Restricted Area,0-8 Center,,,,1662.0,,,,,,,,,,,,,,,,
10,PT11M23.00S,2026-01-04T03:11:53.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641718,76.42904073587385,32.84313725490196,1610612762,0,0,2026-01-04T03:12:03Z,100000,False,-86.0,169.0,1,right,MISS K. George 18' pullup Shot,[1641718],1610612762.0,UTA,pullup,,,George,K. George,,,,,Mid-Range,16-24 Left Center,18.96,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-01-04T03:11:56.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,0,2026-01-04T03:12:03Z,110000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left Center,,,10.0,,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M07.00S,2026-01-04T03:12:09.1Z,1,REGULAR,3pt,Jump Shot,[],201939,27.283180026281208,15.196078431372548,1610612744,0,0,2026-01-04T03:12:18Z,120000,False,174.0,204.0,1,left,MISS S. Curry 26' step back 3PT,[201939],1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,26.81,Missed,,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2026-01-04T03:12:13.1Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612762,0,0,2026-01-04T03:12:18Z,130000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,,,12.0,,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M51.00S,2026-01-04T03:12:24.8Z,1,REGULAR,2pt,Jump Shot,[],1641718,70.51576872536137,66.42156862745098,1610612762,0,0,2026-01-04T03:12:36Z,140000,False,82.0,225.0,1,right,MISS K. George 23' step back Shot,[1641718],1610612762.0,UTA,step back,,,George,K. George,,,,,Mid-Range,24+ Right Center,23.92,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2026-01-04T03:12:28.8Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,0,0,2026-01-04T03:12:36Z,150000,False,,,0,,Q. Post REBOUND (Off:0 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Mid-Range,24+ Right Center,,,14.0,,1.0,1.0,0.0,,,,,,,,,,,,,
