actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
41,PT08M52.00S,2025-12-13T03:16:19.0Z,1,REGULAR,foul,personal,[],1627741,,,1610612750,7,9,2025-12-13T03:16:26Z,410000,False,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 1628978]",1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,202056.0,,,,,,,,1.0,0.0,DiVincenzo,1628978.0,,,,,,,,
43,PT08M43.00S,2025-12-13T03:16:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,92.85479632063075,44.85294117647059,1610612750,7,11,2025-12-13T03:17:57Z,430000,False,-26.0,15.0,1,right,J. McDaniels finger roll Layup (4 PTS),[1630183],1610612750.0,MIN,finger roll,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,2.96,Made,,,,,,,,,4.0,,,,,,,
44,PT08M30.00S,2025-12-13T03:16:56.3Z,1,REGULAR,3pt,Jump Shot,[],1630311,11.12023653088042,4.6568627450980395,1610612744,7,11,2025-12-13T03:17:04Z,440000,False,227.0,52.0,1,left,MISS P. Spencer 3PT,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,Right Corner 3,24+ Right,,,23.26,Missed,,,,,,,,,,,,,,,,
45,PT08M27.00S,2025-12-13T03:16:59.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,7,11,2025-12-13T03:17:04Z,450000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Right Corner 3,24+ Right,,,,,44.0,,,,,,,,,,,,,,,
47,PT08M20.00S,2025-12-13T03:17:25.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630311,14.931011826544022,53.67647058823529,1610612744,9,11,2025-12-13T03:18:35Z,470000,False,-18.0,88.0,1,left,P. Spencer 8' driving floating Jump Shot (2 PTS) (Q. Post 2 AST),"[1630311, 1642366]",1610612744.0,GSW,driving floating,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),8-16 Center,,,8.98,Made,,,,,,,,,2.0,Q. Post,1642366.0,2.0,,,,
49,PT07M54.00S,2025-12-13T03:17:50.7Z,1,REGULAR,3pt,Jump Shot,[],1628978,68.01905387647832,10.784313725490197,1610612750,9,11,2025-12-13T03:17:55Z,490000,False,-196.0,248.0,1,right,MISS D. DiVincenzo 31' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,31.62,Missed,,,,,,,,,,,,,,,,
50,PT07M52.00S,2025-12-13T03:17:52.7Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,9,11,2025-12-13T03:17:55Z,500000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT07M46.00S,2025-12-13T03:17:59.7Z,1,REGULAR,3pt,Jump Shot,[],201939,34.37910643889619,49.26470588235294,1610612744,12,11,2025-12-13T03:18:04Z,510000,False,4.0,271.0,1,left,S. Curry 27' 3PT  (8 PTS) (J. Butler III 2 AST),"[201939, 202710]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,27.07,Made,,,,,,,,,8.0,J. Butler III,202710.0,2.0,,,,
53,PT07M30.00S,2025-12-13T03:18:19.2Z,1,REGULAR,3pt,Jump Shot,[],203944,94.56307490144546,3.431372549019608,1610612750,12,14,2025-12-13T03:18:24Z,530000,False,-233.0,-1.0,1,right,J. Randle 3PT  (5 PTS) (B. Hyland 2 AST),"[203944, 1630538]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Left Corner 3,24+ Left,,,23.28,Made,,,,,,,,,5.0,B. Hyland,1630538.0,2.0,,,,
55,PT07M21.00S,2025-12-13T03:18:32.3Z,1,REGULAR,foul,personal,[],1630538,,,1610612744,12,14,2025-12-13T03:18:38Z,550000,False,,,0,,B. Hyland personal FOUL (1 PF),"[1630538, 1630311]",1610612750.0,MIN,,,,Hyland,B. Hyland,,,,,In The Paint (Non-RA),0-8 Center,101284.0,,,,,,,,1.0,0.0,Spencer,1630311.0,,,,,,,,
