actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-03T02:11:05.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-03T02:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2026-04-03T02:11:27.0Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612739,0,0,2026-04-03T02:11:27Z,40000,False,,,0,,Jump Ball J. Allen vs. K. Porziņģis: Tip to J. Harden,"[201935, 1628386, 204001]",1610612739.0,CLE,startperiod,J. Harden,201935.0,Harden,J. Harden,Allen,1628386.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-04-03T02:11:35.1Z,1,REGULAR,3pt,Jump Shot,[],1630596,95.6143232588699,2.450980392156863,1610612739,0,0,2026-04-03T02:11:40Z,70000,False,-238.0,-11.0,1,right,MISS E. Mobley 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-04-03T02:11:37.1Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612744,0,0,2026-04-03T02:11:40Z,80000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612744.0,GSW,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2026-04-03T02:11:55.3Z,1,REGULAR,turnover,bad pass,[],1630611,,,1610612744,0,0,2026-04-03T02:12:01Z,90000,False,,,0,,G. Santos bad pass TURNOVER (1 TO),[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,,,,,,,,,,,,,
10,PT11M32.00S,2026-04-03T02:12:00.8Z,1,REGULAR,foul,personal,[],203110,,,1610612739,0,0,2026-04-03T02:17:51Z,100000,False,,,0,,D. Green loose ball personal FOUL (1 PF),"[203110, 1628386]",1610612744.0,GSW,loose ball,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,1627524.0,1.0,0.0,Allen,1628386.0,,,,,,,,
12,PT11M25.00S,2026-04-03T02:12:23.9Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,0,0,2026-04-03T02:12:36Z,120000,False,,,0,,D. Mitchell step out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,step,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Right,,,,,,,1.0,201639.0,,,,,,,,,,,,
13,PT11M10.00S,2026-04-03T02:12:39.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,34.247700394218136,46.07843137254902,1610612744,3,0,2026-04-03T02:12:45Z,130000,False,20.0,269.0,1,left,D. Green 27' 3PT  (3 PTS) (B. Podziemski 1 AST),"[203110, 1641764]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,27.01,Made,,,,,,,,,,,3.0,B. Podziemski,1641764.0,1.0,,,,
15,PT10M54.00S,2026-04-03T02:12:56.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,87.20433639947439,45.09803921568628,1610612739,3,2,2026-04-03T02:13:01Z,150000,False,-25.0,68.0,1,right,E. Mobley 7' driving Hook (2 PTS) (J. Harden 1 AST),"[1630596, 201935]",1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,7.21,Made,,,,,,,,,,,2.0,J. Harden,201935.0,1.0,,,,
17,PT10M46.00S,2026-04-03T02:13:03.9Z,1,REGULAR,3pt,Jump Shot,[],203110,33.065045992115635,25.98039215686275,1610612744,3,2,2026-04-03T02:13:09Z,170000,False,120.0,258.0,1,left,MISS D. Green 28' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,28.49,Missed,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2026-04-03T02:13:08.9Z,1,REGULAR,rebound,defensive,[],1629622,,,1610612739,3,2,2026-04-03T02:13:09Z,180000,False,,,0,,M. Strus REBOUND (Off:0 Def:1),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Right Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M34.00S,2026-04-03T02:13:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,85.23324572930355,50.73529411764706,1610612739,3,4,2026-04-03T02:55:18Z,190000,False,4.0,86.0,1,right,D. Mitchell 8' driving floating Jump Shot (2 PTS) (E. Mobley 1 AST),"[1628378, 1630596]",1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,8.64,Made,,,,,,,,,,,2.0,E. Mobley,1630596.0,1.0,,,,
