actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-03T03:12:43.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T03:12:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-03T03:12:45.1Z,1,REGULAR,jumpball,recovered,[],1641717,,,1610612760,0,0,2026-01-03T03:12:45Z,40000,False,,,0,,Jump Ball C. Holmgren vs. Q. Post: Tip to C. Wallace,"[1641717, 1631096, 1642366]",1610612760.0,OKC,startperiod,C. Wallace,1641717.0,Wallace,C. Wallace,Holmgren,1631096.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-03T03:13:01.1Z,1,REGULAR,2pt,Jump Shot,[],1631114,88.91261498028909,71.56862745098039,1610612760,0,2,2026-01-03T03:13:06Z,70000,False,108.0,52.0,1,right,J. Williams 11' pullup Jump Shot (2 PTS) (C. Holmgren 1 AST),"[1631114, 1631096]",1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Mid-Range,8-16 Right,11.96,Made,2.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2026-01-03T03:13:18.2Z,1,REGULAR,3pt,Jump Shot,[],1642954,4.155716162943495,97.05882352941177,1610612744,3,2,2026-01-03T03:13:23Z,90000,False,-235.0,-13.0,1,left,W. Richard 3PT  (3 PTS) (B. Podziemski 1 AST),"[1642954, 1641764]",1610612744.0,GSW,,,,Richard,W. Richard,,,,,Left Corner 3,24+ Left,23.57,Made,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2026-01-03T03:13:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,84.44480946123521,57.84313725490197,1610612760,3,2,2026-01-03T03:13:39Z,110000,False,39.0,94.0,1,right,MISS S. Gilgeous-Alexander 10' pullup Shot - blocked,"[1628983, 1630611]",1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,10.16,Missed,,,,,Santos,1630611.0,,,,,,,,,,,,
12,PT11M09.00S,2026-01-03T03:13:33.3Z,1,REGULAR,block,,[],1630611,,,1610612760,3,2,2026-01-03T03:22:33Z,120000,False,,,0,,G. Santos BLOCK (1 BLK),[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2026-01-03T03:13:36.3Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,3,2,2026-01-03T03:13:39Z,130000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
15,PT10M49.00S,2026-01-03T03:14:06.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641764,6.389618922470433,55.14705882352941,1610612744,3,2,2026-01-03T03:14:12Z,150000,False,-26.0,8.0,1,left,MISS B. Podziemski driving Layup,[1641764],1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2026-01-03T03:14:08.1Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,3,2,2026-01-03T03:14:12Z,160000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M44.00S,2026-01-03T03:14:13.0Z,1,REGULAR,foul,personal,['2freethrow'],1642366,,,1610612760,3,2,2026-01-03T03:14:27Z,170000,False,,,0,,Q. Post shooting personal FOUL (1 PF) (Williams 2 FT),"[1642366, 1631114]",1610612744.0,GSW,shooting,,,Post,Q. Post,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1179.0,1.0,0.0,Williams,1631114.0,,,
19,PT10M44.00S,2026-01-03T03:14:37.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631114,,,1610612760,3,3,2026-01-03T03:14:37Z,190000,False,,,0,,J. Williams Free Throw 1 of 2 (3 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
20,PT10M44.00S,2026-01-03T03:14:53.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631114,,,1610612760,3,4,2026-01-03T03:14:53Z,200000,False,,,0,,J. Williams Free Throw 2 of 2 (4 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2026-01-03T03:15:10.1Z,1,REGULAR,3pt,Jump Shot,[],1642366,4.944152431011826,5.147058823529411,1610612744,3,4,2026-01-03T03:15:18Z,210000,False,224.0,-6.0,1,left,MISS Q. Post 3PT,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Right Corner 3,24+ Right,22.44,Missed,,,,,,,,,,,,,,,,,,
