actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
20,PT09M43.00S,2025-12-23T03:13:01.1Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,4,2,2025-12-23T03:13:03Z,190000,False,,,0,,Q. Post REBOUND (Off:0 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Right Corner 3,24+ Right,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,
21,PT09M32.00S,2025-12-23T03:13:11.6Z,1,REGULAR,3pt,Jump Shot,[],1642366,87.59855453350855,95.83333333333334,1610612744,4,2,2025-12-23T03:13:16Z,200000,False,229.0,64.0,1,right,MISS Q. Post 3PT,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Right Corner 3,24+ Right,,,23.8,Missed,,,,,,,,,,,,,,,,
22,PT09M30.00S,2025-12-23T03:13:13.6Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,4,2,2025-12-23T03:13:16Z,210000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Right Corner 3,24+ Right,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT09M26.00S,2025-12-23T03:13:18.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,31.750985545335087,20.34313725490196,1610612753,4,5,2025-12-23T03:14:37Z,220000,False,148.0,246.0,1,left,D. Bane 28' 3PT running pullup (3 PTS) (A. Black 1 AST),"[1630217, 1641710]",1610612753.0,ORL,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right Center,,,28.72,Made,,,,,3.0,A. Black,1641710.0,1.0,,,,,,,,
25,PT09M12.00S,2025-12-23T03:13:32.2Z,1,REGULAR,3pt,Jump Shot,[],201939,70.12155059132719,23.774509803921568,1610612744,4,5,2025-12-23T03:13:36Z,240000,False,-131.0,228.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,26.34,Missed,,,,,,,,,,,,,,,,
26,PT09M08.00S,2025-12-23T03:13:36.2Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,5,2025-12-23T03:13:36Z,250000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,
27,PT08M55.00S,2025-12-23T03:13:49.1Z,1,REGULAR,3pt,Jump Shot,[],1626145,27.414586070959263,82.1078431372549,1610612753,4,8,2025-12-23T03:13:53Z,260000,False,-161.0,205.0,1,left,T. Jones 26' 3PT  (3 PTS) (A. Black 2 AST),"[1626145, 1641710]",1610612753.0,ORL,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,26.05,Made,,,,,3.0,A. Black,1641710.0,2.0,,,,,,,,
29,PT08M45.00S,2025-12-23T03:13:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,92.85479632063075,58.57843137254902,1610612744,4,8,2025-12-23T03:15:52Z,280000,False,43.0,15.0,1,right,MISS S. Curry driving Layup,[201939],1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,4.53,Missed,,,,,,,,,,,,,,,,
30,PT08M43.00S,2025-12-23T03:14:01.1Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,4,8,2025-12-23T03:14:05Z,290000,False,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,
31,PT08M26.00S,2025-12-23T03:14:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626145,8.360709592641262,44.85294117647059,1610612753,4,8,2025-12-23T03:14:38Z,300000,False,26.0,26.0,1,left,MISS T. Jones cutting Layup,[1626145],1610612753.0,ORL,cutting,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,3.66,Missed,,,,,,,,,,,,,,,,
