actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-21T01:41:46.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-21T01:41:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-12-21T01:42:20.0Z,1,REGULAR,jumpball,recovered,[],1631221,,,0,0,0,2025-12-21T01:42:20Z,40000,False,,,0,,Jump Ball M. Williams vs. Q. Post: Tip to C. Gillespie,"[1631221, 1631109, 1642366]",1610612756.0,PHX,heldball,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Post,1642366.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-12-21T01:42:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,13.354139290407357,38.970588235294116,1610612756,0,2,2025-12-21T01:43:06Z,70000,False,55.0,73.0,1,left,D. Booker 9' step back Jump Shot (2 PTS),[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Right,9.15,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2025-12-21T01:42:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,89.30683311432325,56.372549019607845,1610612744,0,2,2025-12-21T01:43:05Z,80000,False,32.0,48.0,1,right,MISS J. Butler III turnaround Shot,[202710],1610612744.0,GSW,turnaround,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,5.76,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-12-21T01:42:58.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,0,2,2025-12-21T01:43:34Z,90000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M02.00S,2025-12-21T01:43:15.3Z,1,REGULAR,foul,personal,['2freethrow'],1630541,,,1610612756,0,2,2025-12-21T01:43:29Z,100000,False,,,0,,M. Moody shooting personal FOUL (1 PF) (Booker 2 FT),"[1630541, 1626164]",1610612744.0,GSW,shooting,,,Moody,M. Moody,,,,,Mid-Range,8-16 Left,,,,,,,,1627529.0,1.0,0.0,Booker,1626164.0,,,,,,,,
12,PT11M02.00S,2025-12-21T01:43:41.6Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,0,3,2025-12-21T01:43:41Z,120000,False,,,0,,D. Booker Free Throw 1 of 2 (3 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2025-12-21T01:43:55.2Z,1,REGULAR,freethrow,2 of 2,[],1626164,,,1610612756,0,4,2025-12-21T01:43:55Z,130000,False,,,0,,D. Booker Free Throw 2 of 2 (4 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2025-12-21T01:44:06.6Z,1,REGULAR,2pt,Layup,[],201939,84.97043363994744,67.8921568627451,1610612744,2,4,2025-12-21T01:44:19Z,140000,False,89.0,89.0,1,right,S. Curry 12' driving finger roll Layup (2 PTS),[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,Mid-Range,8-16 Right,12.61,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2025-12-21T01:44:19.8Z,1,REGULAR,3pt,Jump Shot,[],1631221,25.443495400788436,87.00980392156863,1610612756,2,4,2025-12-21T01:45:19Z,150000,False,-185.0,187.0,1,left,MISS C. Gillespie 26' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,26.28,Missed,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2025-12-21T01:44:22.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,4,2025-12-21T01:45:19Z,160000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M28.00S,2025-12-21T01:44:30.9Z,1,REGULAR,3pt,Jump Shot,[],1642366,91.01511169513797,4.166666666666666,1610612744,2,4,2025-12-21T01:44:38Z,170000,False,-229.0,32.0,1,right,MISS Q. Post 3PT,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Left Corner 3,24+ Left,23.14,Missed,,,,,,,,,,,,,,,,,,
18,PT10M25.00S,2025-12-21T01:44:33.9Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,2,4,2025-12-21T01:44:38Z,180000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Left Corner 3,24+ Left,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M21.00S,2025-12-21T01:44:38.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,11.514454664914586,71.32352941176471,1610612756,2,6,2025-12-21T01:44:52Z,190000,False,-107.0,56.0,1,left,D. Booker 12' step back bank Jump Shot (6 PTS),[1626164],1610612756.0,PHX,step back bank,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,12.03,Made,6.0,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2025-12-21T01:44:43.5Z,1,REGULAR,turnover,bad pass,[],1642366,,,1610612744,2,6,2025-12-21T01:46:39Z,200000,False,,,0,,Q. Post bad pass TURNOVER (1 TO),"[1642366, 1626164]",1610612744.0,GSW,,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Booker,1626164.0,,,,,
21,PT10M16.00S,2025-12-21T01:44:43.5Z,1,REGULAR,steal,,[],1626164,,,1610612756,2,6,2025-12-21T01:44:48Z,210000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M15.00S,2025-12-21T01:44:48.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,6.389618922470433,95.83333333333334,1610612756,2,6,2025-12-21T01:46:33Z,220000,False,-229.0,8.0,1,left,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,22.93,Missed,,,,,,,,,,,,,,,,,,
23,PT10M14.00S,2025-12-21T01:44:49.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,6,2025-12-21T01:46:33Z,230000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,
24,PT10M03.00S,2025-12-21T01:44:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,91.93495400788436,46.81372549019608,1610612744,4,6,2025-12-21T01:45:10Z,240000,False,-16.0,23.0,1,right,D. Green floating Jump Shot (2 PTS) (Q. Post 1 AST),"[203110, 1642366]",1610612744.0,GSW,floating,,,Green,D. Green,,,,,Restricted Area,0-8 Center,2.82,Made,2.0,,,,,,,,,,,,,Q. Post,1642366.0,1.0,,
26,PT09M51.00S,2025-12-21T01:45:07.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,8.09789750328515,49.754901960784316,1610612756,4,8,2025-12-21T01:45:13Z,260000,False,1.0,24.0,1,left,M. Williams DUNK (2 PTS) (D. Brooks 1 AST),"[1631109, 1628415]",1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,,,,D. Brooks,1628415.0,1.0,,
28,PT09M34.00S,2025-12-21T01:45:26.8Z,1,REGULAR,3pt,Jump Shot,[],1642366,88.64980289093299,3.431372549019608,1610612744,4,8,2025-12-21T01:47:25Z,280000,False,-233.0,54.0,1,right,MISS Q. Post pullup 3PT,[1642366],1610612744.0,GSW,pullup,,,Post,Q. Post,,,,,Left Corner 3,24+ Left,23.9,Missed,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2025-12-21T01:45:28.8Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,4,8,2025-12-21T01:47:25Z,290000,False,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,
30,PT09M28.00S,2025-12-21T01:45:31.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201939,67.36202365308804,69.11764705882352,1610612744,7,8,2025-12-21T01:45:40Z,300000,False,96.0,254.0,1,right,S. Curry 27' 3PT  (5 PTS) (M. Moody 1 AST),"[201939, 1630541]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,27.17,Made,5.0,,,,,,,,,,,,,M. Moody,1630541.0,1.0,,
32,PT09M14.00S,2025-12-21T01:45:45.3Z,1,REGULAR,2pt,Jump Shot,[],1628415,11.514454664914586,68.62745098039215,1610612756,7,10,2025-12-21T01:45:51Z,320000,False,-93.0,56.0,1,left,D. Brooks 10' turnaround Jump Shot (2 PTS),[1628415],1610612756.0,PHX,turnaround,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,10.85,Made,2.0,,,,,,,,,,,,,,,,,
34,PT08M55.00S,2025-12-21T01:46:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,92.46057818659659,58.82352941176471,1610612744,9,10,2025-12-21T01:46:12Z,340000,False,44.0,18.0,1,right,J. Butler III Layup (2 PTS) (S. Curry 1 AST),"[202710, 201939]",1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,4.78,Made,2.0,,,,,,,,,,,,,S. Curry,201939.0,1.0,,
36,PT08M48.00S,2025-12-21T01:46:10.5Z,1,REGULAR,3pt,Jump Shot,[],1626220,33.327858081471746,25.98039215686275,1610612756,9,10,2025-12-21T01:46:17Z,360000,False,120.0,261.0,1,left,MISS R. O'Neale 28' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,28.71,Missed,,,,,,,,,,,,,,,,,,
37,PT08M46.00S,2025-12-21T01:46:12.5Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,9,10,2025-12-21T01:46:17Z,370000,False,,,0,,Q. Post REBOUND (Off:0 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Right Center,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
38,PT08M37.00S,2025-12-21T01:46:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,87.99277266754271,51.9607843137255,1610612744,11,10,2025-12-21T01:46:30Z,380000,False,10.0,60.0,1,right,J. Butler III 6' floating Jump Shot (4 PTS),[202710],1610612744.0,GSW,floating,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,6.12,Made,4.0,,,,,,,,,,,,,,,,,
39,PT08M37.00S,2025-12-21T01:46:47.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612756,11,10,2025-12-21T01:49:03Z,390000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,2003.0,,,,,,,,,,,,
40,PT08M24.00S,2025-12-21T01:46:57.1Z,1,REGULAR,3pt,Jump Shot,[],1626220,14.14257555847569,96.07843137254902,1610612756,11,13,2025-12-21T01:47:03Z,400000,False,-230.0,80.0,1,left,R. O'Neale 24' 3PT  (3 PTS) (D. Booker 1 AST),"[1626220, 1626164]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,24.4,Made,3.0,,,,,,,,,,,,,D. Booker,1626164.0,1.0,,
42,PT08M09.00S,2025-12-21T01:47:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630541,73.40670170827858,17.647058823529413,1610612744,11,13,2025-12-21T01:47:17Z,420000,False,-162.0,197.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,25.53,Missed,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2025-12-21T01:47:13.2Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,11,13,2025-12-21T01:47:17Z,430000,False,,,0,,M. Williams REBOUND (Off:0 Def:2),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Left Center,,,,42.0,2.0,2.0,0.0,,,,,,,,,,,,,
44,PT07M57.00S,2025-12-21T01:47:24.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,6.915243101182654,46.32352941176471,1610612756,11,15,2025-12-21T01:47:33Z,440000,False,18.0,13.0,1,left,M. Williams alley-oop DUNK (4 PTS) (D. Booker 2 AST),"[1631109, 1626164]",1610612756.0,PHX,alley-oop,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,2.22,Made,4.0,,,,,,,,,,,,,D. Booker,1626164.0,2.0,,
46,PT07M57.00S,2025-12-21T01:47:33.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,11,15,2025-12-21T01:47:33Z,460000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M57.00S,2025-12-21T01:48:57.7Z,1,REGULAR,substitution,out,[],202710,,,1610612744,11,15,2025-12-21T01:50:12Z,470000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
