actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-25T03:10:47.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-25T03:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-25T03:10:51.4Z,1,REGULAR,jumpball,recovered,[],1642366,,,1610612744,0,0,2025-11-25T03:10:51Z,40000,False,,,0,,Jump Ball Q. Post vs. J. Nurkić: Tip to Q. Post,"[1642366, 1642366, 203994]",1610612744.0,GSW,startperiod,Q. Post,1642366.0,Post,Q. Post,Post,1642366.0,Nurkić,203994.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-25T03:11:02.6Z,1,REGULAR,3pt,Jump Shot,[],1630541,24.655059132720105,12.254901960784313,1610612744,0,0,2025-11-25T03:11:09Z,70000,False,189.0,179.0,1,left,MISS M. Moody 26' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-11-25T03:11:05.6Z,1,REGULAR,rebound,defensive,[],203994,,,1610612762,0,0,2025-11-25T03:11:09Z,80000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:1),[203994],1610612762.0,UTA,,,,Nurkić,J. Nurkić,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-11-25T03:11:17.1Z,1,REGULAR,2pt,Jump Shot,[],1642846,93.24901445466492,68.62745098039215,1610612762,0,0,2025-11-25T03:11:40Z,90000,False,93.0,11.0,1,right,MISS A. Bailey 9' driving floating Shot,[1642846],1610612762.0,UTA,driving floating,,,Bailey,A. Bailey,,,,,Mid-Range,8-16 Right,9.37,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-11-25T03:11:18.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,0,0,2025-11-25T03:11:24Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Mid-Range,8-16 Right,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2025-11-25T03:11:37.9Z,1,REGULAR,3pt,Jump Shot,[],201939,27.151773981603156,84.31372549019608,1610612744,0,0,2025-11-25T03:11:49Z,120000,False,-172.0,203.0,1,left,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2025-11-25T03:11:41.9Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612762,0,0,2025-11-25T03:11:49Z,130000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M05.00S,2025-11-25T03:11:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,93.24901445466492,41.17647058823529,1610612762,0,0,2025-11-25T03:11:53Z,140000,False,-44.0,11.0,1,right,MISS L. Markkanen driving Layup,[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,4.55,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2025-11-25T03:11:49.9Z,1,REGULAR,rebound,defensive,[],1627780,,,1610612744,0,0,2025-11-25T03:11:53Z,150000,False,,,0,,G. Payton II REBOUND (Off:0 Def:1),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
