actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-11T02:10:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-11T02:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-03-11T02:10:53.2Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-03-11T02:10:53Z,40000,False,,,0,,Jump Ball A. Horford vs. M. Buzelis: Tip to D. Green,"[203110, 201143, 1641824]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Horford,201143.0,Buzelis,1641824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-11T02:11:09.4Z,1,REGULAR,foul,personal,['2freethrow'],1631159,,,1610612744,0,0,2026-03-11T02:11:19Z,70000,False,,,0,,L. Miller shooting personal FOUL (1 PF) (Podziemski 2 FT),"[1631159, 1641764]",1610612741.0,CHI,shooting,,,Miller,L. Miller,,,,,In The Paint (Non-RA),8-16 Center,1627962.0,1.0,0.0,Podziemski,1641764.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2026-03-11T02:11:31.4Z,1,REGULAR,freethrow,1 of 2,[],1641764,,,1610612744,1,0,2026-03-11T02:11:31Z,90000,False,,,0,,B. Podziemski Free Throw 1 of 2 (1 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2026-03-11T02:11:45.7Z,1,REGULAR,freethrow,2 of 2,[],1641764,,,1610612744,2,0,2026-03-11T02:11:45Z,100000,False,,,0,,B. Podziemski Free Throw 2 of 2 (2 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M36.00S,2026-03-11T02:11:57.5Z,1,REGULAR,3pt,Jump Shot,[],1627824,71.82982917214193,79.65686274509804,1610612741,2,0,2026-03-11T02:12:02Z,110000,False,148.0,212.0,1,right,MISS G. Yabusele 25' 3PT - blocked,"[1627824, 201143]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.9,Horford,201143.0,,,,,,,,,,
266,PT11M36.00S,2026-03-11T02:11:57.5Z,1,REGULAR,block,,[],201143,,,1610612741,2,0,2026-03-11T02:51:45Z,115000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2026-03-11T02:12:01.5Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,0,2026-03-11T02:12:02Z,120000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M16.00S,2026-03-11T02:12:17.6Z,1,REGULAR,3pt,Jump Shot,[],1642954,25.18068331143233,14.215686274509803,1610612744,2,0,2026-03-11T02:12:23Z,130000,False,179.0,184.0,1,left,MISS W. Richard 25' 3PT,[1642954],1610612744.0,GSW,,,,Richard,W. Richard,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.68,,,,,,,,,,,,
14,PT11M11.00S,2026-03-11T02:12:22.6Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,2,0,2026-03-11T02:12:23Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
