actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-01-20T03:14:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-20T03:14:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-20T03:14:10.8Z,1,REGULAR,jumpball,recovered,[],1630541,,,1610612744,0,0,2026-01-20T03:14:10Z,40000,False,,,0,,Jump Ball Q. Post vs. B. Adebayo: Tip to M. Moody,"[1630541, 1642366, 1628389]",1610612744.0,GSW,startperiod,M. Moody,1630541.0,Moody,M. Moody,Post,1642366.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-20T03:14:29.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630541,83.39356110381078,55.392156862745104,1610612744,0,0,2026-01-20T03:14:35Z,70000,False,27.0,104.0,1,right,MISS M. Moody 10' turnaround fadeaway Shot,[1630541],1610612744.0,GSW,turnaround fadeaway,,,Moody,M. Moody,,,,,In The Paint (Non-RA),8-16 Center,10.71,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-20T03:14:31.2Z,1,REGULAR,rebound,offensive,[],202710,,,1610612744,0,0,2026-01-20T03:14:35Z,80000,False,,,0,,J. Butler III REBOUND (Off:1 Def:0),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-20T03:14:33.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202710,88.64980289093299,69.36274509803921,1610612744,0,0,2026-01-20T03:15:01Z,90000,False,97.0,54.0,1,right,MISS J. Butler III 11' turnaround fadeaway bank Shot,[202710],1610612744.0,GSW,turnaround fadeaway bank,,,Butler III,J. Butler III,,,,,Mid-Range,8-16 Right,11.09,Missed,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2026-01-20T03:14:33.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,0,2026-01-20T03:14:39Z,100000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Mid-Range,8-16 Right,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2026-01-20T03:14:39.3Z,1,REGULAR,foul,personal,[],1642366,,,1610612748,0,0,2026-01-20T03:15:00Z,110000,False,,,0,,Q. Post loose ball personal FOUL (1 PF),"[1642366, 203952]",1610612744.0,GSW,loose ball,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628171.0,1.0,0.0,Wiggins,203952.0,,,,,,,,,
13,PT11M23.00S,2026-01-20T03:14:59.7Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,0,0,2026-01-20T03:15:02Z,130000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 202710]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Butler III,202710.0,,,,,,
14,PT11M23.00S,2026-01-20T03:14:59.7Z,1,REGULAR,steal,,[],202710,,,1610612744,0,0,2026-01-20T03:15:01Z,140000,False,,,0,,J. Butler III STEAL (1 STL),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2026-01-20T03:15:08.9Z,1,REGULAR,turnover,backcourt,[],201939,,,1610612744,0,0,2026-01-20T03:15:13Z,150000,False,,,0,,S. Curry backcourt TURNOVER (1 TO),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,,2003.0,,,,,1.0,,,,,,,,
16,PT11M05.00S,2026-01-20T03:15:30.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628389,4.155716162943495,96.56862745098039,1610612748,0,0,2026-01-20T03:15:34Z,160000,False,-233.0,-13.0,1,left,MISS B. Adebayo 3PT,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,23.32,Missed,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2026-01-20T03:15:31.2Z,1,REGULAR,rebound,offensive,[],1641796,,,1610612748,0,0,2026-01-20T03:17:32Z,170000,False,,,0,,P. Larsson REBOUND (Off:1 Def:0),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Left Corner 3,24+ Left,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,
