actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-28T02:11:13.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-28T02:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-10-28T02:11:21.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612744,0,0,2025-10-28T02:11:21Z,40000,False,,,0,,Jump Ball D. Green vs. J. Jackson Jr.: Tip to Team (GSW),"[203110, 1628991]",1610612744.0,GSW,startperiod,Team (GSW),Green,203110.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2025-10-28T02:11:36.2Z,1,REGULAR,3pt,Jump Shot,[],1641764,68.80749014454665,22.30392156862745,1610612744,3,0,2025-10-28T02:11:41Z,70000,False,-138.0,241.0,1,right,B. Podziemski 27' 3PT  (3 PTS) (D. Green 1 AST),"[1641764, 203110]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Left Center,27.77,Made,3.0,Podziemski,B. Podziemski,D. Green,203110.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-10-28T02:11:56.3Z,1,REGULAR,3pt,Jump Shot,[],203484,13.354139290407357,1.715686274509804,1610612763,3,0,2025-10-28T02:12:01Z,90000,False,241.0,73.0,1,left,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,25.22,Missed,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-10-28T02:11:57.3Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,3,0,2025-10-28T02:12:23Z,100000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,,,,Right Corner 3,24+ Right,,,,Curry,S. Curry,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M17.00S,2025-10-28T02:12:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,94.43166885676742,52.94117647058824,1610612744,5,0,2025-10-28T02:12:21Z,110000,False,15.0,0.0,1,right,J. Butler III cutting Layup (2 PTS) (D. Green 2 AST),"[202710, 203110]",1610612744.0,GSW,cutting,,,,,,Restricted Area,0-8 Center,1.47,Made,2.0,Butler III,J. Butler III,D. Green,203110.0,2.0,,,,,,,,,,,,,,
13,PT11M00.00S,2025-10-28T02:12:26.9Z,1,REGULAR,turnover,lost ball,[],1642377,,,1610612763,5,0,2025-10-28T02:12:34Z,130000,False,,,0,,J. Wells lost ball TURNOVER (1 TO),"[1642377, 1641764]",1610612763.0,MEM,,,,,,,Mid-Range,16-24 Center,,,,Wells,J. Wells,,,,,,,,1.0,Podziemski,1641764.0,,,,,,,
14,PT11M00.00S,2025-10-28T02:12:26.9Z,1,REGULAR,steal,,[],1641764,,,1610612744,5,0,2025-10-28T02:12:28Z,140000,False,,,0,,B. Podziemski STEAL (1 STL),[1641764],1610612744.0,GSW,,,,,,,Mid-Range,16-24 Center,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,
15,PT10M52.00S,2025-10-28T02:12:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,95.48291721419186,53.431372549019606,1610612744,7,0,2025-10-28T02:12:44Z,150000,False,17.0,-10.0,1,right,S. Curry driving Layup (2 PTS) (B. Podziemski 1 AST),"[201939, 1641764]",1610612744.0,GSW,driving,,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,Curry,S. Curry,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
17,PT10M51.00S,2025-10-28T02:12:44.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,7,0,2025-10-28T02:12:44Z,170000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
