actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-30T01:43:05.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-30T01:43:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-30T01:43:07.4Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2025-11-30T01:43:07Z,40000,False,,,0,,Jump Ball Q. Post vs. D. Queen: Tip to D. Green,"[203110, 1642366, 1642852]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-11-30T01:43:19.6Z,1,REGULAR,3pt,Jump Shot,[],203110,3.3672798948751645,95.58823529411765,1610612744,0,0,2025-11-30T01:43:25Z,70000,False,-228.0,-21.0,1,left,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Left Corner 3,24+ Left,22.88,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-11-30T01:43:24.6Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,0,0,2025-11-30T01:43:25Z,80000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2025-11-30T01:43:29.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642852,88.43626806833115,63.50337009803921,1610612740,0,0,2025-11-30T01:43:38Z,90000,False,68.0,56.0,1,right,MISS D. Queen 8' driving floating bank Shot,[1642852],1610612740.0,NOP,driving floating bank,,,Queen,D. Queen,,,,,In The Paint (Non-RA),8-16 Right,8.78,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-11-30T01:43:31.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2025-11-30T01:43:38Z,100000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M28.00S,2025-11-30T01:43:36.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642366,32.802233902759525,42.8921568627451,1610612744,0,0,2025-11-30T01:43:44Z,110000,False,36.0,256.0,1,left,MISS Q. Post 25' running 3PT,[1642366],1610612744.0,GSW,running,,,Post,Q. Post,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2025-11-30T01:43:40.9Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,0,0,2025-11-30T01:43:42Z,120000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M08.00S,2025-11-30T01:43:56.4Z,1,REGULAR,3pt,Jump Shot,[],1630180,78.66294349540078,7.352941176470589,1610612740,0,0,2025-11-30T01:44:00Z,130000,False,-213.0,148.0,1,right,MISS S. Bey 25' 3PT,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,25.96,Missed,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2025-11-30T01:43:59.4Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,0,0,2025-11-30T01:44:00Z,140000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M43.00S,2025-11-30T01:44:21.1Z,1,REGULAR,3pt,Jump Shot,[],1642366,24.129434954007884,84.80392156862744,1610612744,3,0,2025-11-30T01:44:25Z,150000,False,-174.0,174.0,1,left,Q. Post 24' 3PT  (3 PTS) (B. Podziemski 1 AST),"[1642366, 1641764]",1610612744.0,GSW,,,,Post,Q. Post,,,,,Above the Break 3,24+ Left Center,24.63,Made,,,,,3.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,
17,PT10M23.00S,2025-11-30T01:44:41.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642852,91.67214191852825,39.46078431372549,1610612740,3,0,2025-11-30T01:44:45Z,170000,False,-53.0,26.0,1,right,MISS D. Queen driving Layup,[1642852],1610612740.0,NOP,driving,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2025-11-30T01:44:43.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,3,0,2025-11-30T01:44:45Z,180000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M18.00S,2025-11-30T01:44:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641764,6.389618922470433,52.94117647058824,1610612744,3,0,2025-11-30T01:44:51Z,190000,False,-15.0,8.0,1,left,MISS B. Podziemski running Layup,[1641764],1610612744.0,GSW,running,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,1.65,Missed,,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2025-11-30T01:44:49.6Z,1,REGULAR,rebound,offensive,[],202710,,,1610612744,3,0,2025-11-30T01:44:49Z,200000,False,,,0,,J. Butler III REBOUND (Off:1 Def:0),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M17.00S,2025-11-30T01:44:53.2Z,1,REGULAR,foul,personal,['2freethrow'],1631121,,,1610612744,3,0,2025-11-30T01:45:03Z,210000,False,,,0,,B. McGowens shooting personal FOUL (1 PF) (Butler III 2 FT),"[1631121, 202710]",1610612740.0,NOP,shooting,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1626300.0,1.0,0.0,Butler III,202710.0,,,,,
23,PT10M17.00S,2025-11-30T01:45:15.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202710,,,1610612744,4,0,2025-11-30T01:45:15Z,230000,False,,,0,,J. Butler III Free Throw 1 of 2 (1 PTS),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
24,PT10M17.00S,2025-11-30T01:45:28.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202710,,,1610612744,5,0,2025-11-30T01:45:28Z,240000,False,,,0,,J. Butler III Free Throw 2 of 2 (2 PTS),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
25,PT10M03.00S,2025-11-30T01:45:43.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629627,85.75886990801577,39.21568627450981,1610612740,5,0,2025-11-30T01:45:48Z,250000,False,-54.0,81.0,1,right,MISS Z. Williamson 9' pullup Shot,[1629627],1610612740.0,NOP,pullup,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Left,9.76,Missed,,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2025-11-30T01:45:46.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,0,2025-11-30T01:45:48Z,260000,False,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Left,,,25.0,3.0,3.0,0.0,,,,,,,,,,,,,,
27,PT09M45.00S,2025-11-30T01:46:02.2Z,1,REGULAR,3pt,Jump Shot,[],1641764,25.04927726675427,86.02941176470588,1610612744,5,0,2025-11-30T01:46:06Z,270000,False,-180.0,183.0,1,left,MISS B. Podziemski 25' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
28,PT09M41.00S,2025-11-30T01:46:06.2Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,5,0,2025-11-30T01:46:06Z,280000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT09M36.00S,2025-11-30T01:46:11.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.82391590013141,38.99356617647059,1610612740,5,0,2025-11-30T01:46:25Z,290000,False,-55.0,6.0,1,right,MISS Z. Williamson driving Layup - blocked,"[1629627, 1630541]",1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,5.53,Missed,,,,,,,,,,,,,,Moody,1630541.0,,,
30,PT09M36.00S,2025-11-30T01:46:11.8Z,1,REGULAR,block,,[],1630541,,,1610612740,5,0,2025-11-30T01:46:14Z,300000,False,,,0,,M. Moody BLOCK (1 BLK),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M36.00S,2025-11-30T01:46:11.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,5,0,2025-11-30T01:46:25Z,310000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,29.0,,,,,,,,,,,,,,,,,
33,PT09M31.00S,2025-11-30T01:46:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,88.25558475689881,46.81372549019608,1610612740,5,2,2025-11-30T01:48:43Z,330000,False,-16.0,58.0,1,right,S. Bey 6' driving finger roll Layup (2 PTS),[1630180],1610612740.0,NOP,driving finger roll,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,6.0,Made,,,,,2.0,,,,,,,,,,,,,
34,PT09M31.00S,2025-11-30T01:46:40.2Z,1,REGULAR,foul,personal,['1freethrow'],1642366,,,1610612740,5,2,2025-11-30T01:46:48Z,340000,False,,,0,,Q. Post shooting personal FOUL (1 PF) (Bey 1 FT),"[1642366, 1630180]",1610612744.0,GSW,shooting,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202037.0,1.0,0.0,Bey,1630180.0,,,,,
36,PT09M31.00S,2025-11-30T01:47:06.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630180,,,1610612740,5,2,2025-11-30T01:47:10Z,360000,False,,,0,,MISS S. Bey Free Throw 1 of 1,[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT09M29.00S,2025-11-30T01:47:08.7Z,1,REGULAR,rebound,defensive,[],1642366,,,1610612744,5,2,2025-11-30T01:47:10Z,370000,False,,,0,,Q. Post REBOUND (Off:0 Def:1),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M15.00S,2025-11-30T01:47:22.2Z,1,REGULAR,3pt,Jump Shot,[],1630541,29.122864651773984,76.7156862745098,1610612744,5,2,2025-11-30T01:47:25Z,380000,False,-134.0,221.0,1,left,MISS M. Moody 25' pullup 3PT,[1630541],1610612744.0,GSW,pullup,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
39,PT09M13.00S,2025-11-30T01:47:24.2Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,5,2,2025-11-30T01:47:25Z,390000,False,,,0,,J. Fears REBOUND (Off:0 Def:2),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Left Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT09M05.00S,2025-11-30T01:47:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642847,87.86136662286465,50.73529411764706,1610612740,5,2,2025-11-30T01:47:36Z,400000,False,4.0,62.0,1,right,MISS J. Fears 6' driving finger roll Layup,[1642847],1610612740.0,NOP,driving finger roll,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,6.17,Missed,,,,,,,,,,,,,,,,,,
41,PT09M04.00S,2025-11-30T01:47:33.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612744,5,2,2025-11-30T01:47:36Z,410000,False,,,0,,TEAM defensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,,,,,,,,,,,,,,,,,
43,PT08M50.00S,2025-11-30T01:47:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,8.229303547963205,51.225490196078425,1610612744,7,2,2025-11-30T01:47:55Z,430000,False,-6.0,25.0,1,left,J. Butler III driving finger roll Layup (4 PTS) (B. Podziemski 2 AST),"[202710, 1641764]",1610612744.0,GSW,driving finger roll,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,2.56,Made,,,,,4.0,B. Podziemski,1641764.0,2.0,,,,,,,,,,
45,PT08M30.00S,2025-11-30T01:48:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,93.77463863337714,41.42156862745098,1610612740,7,2,2025-11-30T01:48:15Z,450000,False,-43.0,6.0,1,right,MISS B. McGowens driving Layup - blocked,"[1631121, 1642366]",1610612740.0,NOP,driving,,,McGowens,B. McGowens,,,,,In The Paint (Non-RA),0-8 Center,4.33,Missed,,,,,,,,,,,,,,Post,1642366.0,,,
46,PT08M30.00S,2025-11-30T01:48:12.0Z,1,REGULAR,block,,[],1642366,,,1610612740,7,2,2025-11-30T01:48:13Z,460000,False,,,0,,Q. Post BLOCK (1 BLK),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M27.00S,2025-11-30T01:48:15.0Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,7,2,2025-11-30T01:53:51Z,470000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT08M17.00S,2025-11-30T01:48:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630541,7.30946123521682,41.911764705882355,1610612744,7,2,2025-11-30T01:48:30Z,480000,False,40.0,16.0,1,left,MISS M. Moody Layup - blocked,"[1630541, 1630180]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,4.35,Missed,,,,,,,,,,,,,,Bey,1630180.0,,,
49,PT08M17.00S,2025-11-30T01:48:25.2Z,1,REGULAR,block,,[],1630180,,,1610612744,7,2,2025-11-30T01:48:29Z,490000,False,,,0,,S. Bey BLOCK (1 BLK),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT08M17.00S,2025-11-30T01:48:25.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,7,2,2025-11-30T01:48:30Z,500000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,48.0,,,,,,,,,,,,,,,,,
52,PT08M17.00S,2025-11-30T01:48:48.1Z,1,REGULAR,substitution,out,[],1631121,,,1610612744,7,2,2025-11-30T01:48:55Z,520000,False,,,0,,SUB out: B. McGowens,[1631121],1610612740.0,NOP,,,,McGowens,B. McGowens,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M17.00S,2025-11-30T01:48:48.1Z,1,REGULAR,substitution,out,[],1629627,,,1610612744,7,2,2025-11-30T01:48:55Z,530000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT08M17.00S,2025-11-30T01:48:48.1Z,1,REGULAR,substitution,in,[],1630631,,,1610612744,7,2,2025-11-30T01:48:55Z,540000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT08M17.00S,2025-11-30T01:48:48.1Z,1,REGULAR,substitution,in,[],1642877,,,1610612744,7,2,2025-11-30T01:48:55Z,550000,False,,,0,,SUB in: M. Peavy,[1642877],1610612740.0,NOP,,,,Peavy,M. Peavy,,,,,,,,,,,,,,,,,,,,,,,,,,
