actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-10T03:11:07.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-10T03:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-10T03:11:10.0Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-01-10T03:11:10Z,40000,False,,,0,,Jump Ball Q. Post vs. M. Raynaud: Tip to D. Green,"[203110, 1642366, 1642875]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Post,1642366.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-01-10T03:11:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642366,81.42247043363994,58.82352941176471,1610612744,2,0,2026-01-10T03:11:40Z,70000,False,44.0,122.0,1,right,Q. Post 12' floating Jump Shot (2 PTS) (S. Curry 1 AST),"[1642366, 201939]",1610612744.0,GSW,floating,,,Post,Q. Post,,,,,In The Paint (Non-RA),8-16 Center,12.98,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-01-10T03:11:46.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642875,4.02431011826544,38.48039215686275,1610612758,2,0,2026-01-10T03:11:55Z,90000,False,58.0,-15.0,1,left,MISS M. Raynaud Jump Shot - blocked,"[1642875, 1642366]",1610612758.0,SAC,,,,Raynaud,M. Raynaud,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,Post,1642366.0,,,,,,,,,,,,
10,PT11M20.00S,2026-01-10T03:11:46.2Z,1,REGULAR,block,,[],1642366,,,1610612758,2,0,2026-01-10T03:11:49Z,100000,False,,,0,,Q. Post BLOCK (1 BLK),[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2026-01-10T03:11:47.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,2,0,2026-01-10T03:12:27Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,9.0,,,,,,,,,,,
12,PT11M19.00S,2026-01-10T03:11:54.5Z,1,REGULAR,foul,personal,[],1630541,,,1610612758,2,0,2026-01-10T03:12:58Z,120000,False,,,0,,M. Moody loose ball personal FOUL (1 PF),"[1630541, 201566]",1610612744.0,GSW,loose ball,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2534.0,1.0,0.0,Westbrook,201566.0,,,,,,
15,PT11M09.00S,2026-01-10T03:12:23.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203897,20.318659658344284,20.098039215686274,1610612758,2,2,2026-01-10T03:13:33Z,150000,False,150.0,138.0,1,left,Z. LaVine 20' step back Jump Shot (2 PTS),[203897],1610612758.0,SAC,step back,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Right Center,20.38,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2026-01-10T03:12:41.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,89.17542706964521,47.549019607843135,1610612744,4,2,2026-01-10T03:12:55Z,170000,False,-12.0,49.0,1,right,S. Curry driving Layup (2 PTS) (Q. Post 1 AST),"[201939, 1642366]",1610612744.0,GSW,driving,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,5.08,Made,2.0,Q. Post,1642366.0,1.0,,,,,,,,,,,,,,
18,PT10M51.00S,2026-01-10T03:12:44.8Z,1,REGULAR,foul,personal,['1freethrow'],1631165,,,1610612744,4,2,2026-01-10T03:13:04Z,180000,False,,,0,,K. Ellis shooting personal FOUL (1 PF) (Curry 1 FT),"[1631165, 201939]",1610612758.0,SAC,shooting,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2534.0,1.0,0.0,Curry,201939.0,,,,,,
