actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-31T03:18:01.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-31T03:18:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-31T03:18:06.2Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2026-01-31T03:18:06Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Duren: Tip to D. Green,"[203110, 201143, 1631105]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Horford,201143.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-31T03:18:16.9Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612744,0,0,2026-01-31T03:18:29Z,70000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Horford 2 FT),"[1629130, 201143]",1610612765.0,DET,shooting,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,202037.0,1.0,0.0,Horford,201143.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2026-01-31T03:18:42.9Z,1,REGULAR,freethrow,1 of 2,[],201143,,,1610612744,1,0,2026-01-31T03:18:42Z,90000,False,,,0,,A. Horford Free Throw 1 of 2 (1 PTS),[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2026-01-31T03:18:58.6Z,1,REGULAR,freethrow,2 of 2,[],201143,,,1610612744,2,0,2026-01-31T03:18:58Z,100000,False,,,0,,A. Horford Free Throw 2 of 2 (2 PTS),[201143],1610612744.0,GSW,,,,Horford,A. Horford,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M28.00S,2026-01-31T03:19:15.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.521024967148489,46.568627450980394,1610612765,2,2,2026-01-31T03:19:21Z,110000,False,17.0,9.0,1,left,C. Cunningham driving Layup (2 PTS) (J. Duren 1 AST),"[1630595, 1631105]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.93,J. Duren,1631105.0,1.0,,,,,,,,,
13,PT11M22.00S,2026-01-31T03:19:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,93.11760840998686,42.64705882352941,1610612744,4,2,2026-01-31T03:19:31Z,130000,False,-37.0,12.0,1,right,D. Green driving Layup (2 PTS) (B. Podziemski 1 AST),"[203110, 1641764]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.88,B. Podziemski,1641764.0,1.0,,,,,,,,,
15,PT11M22.00S,2026-01-31T03:19:27.2Z,1,REGULAR,foul,personal,['1freethrow'],1631105,,,1610612744,4,2,2026-01-31T03:19:38Z,150000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Green 1 FT),"[1631105, 203110]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1146.0,1.0,0.0,Green,203110.0,,,,,,,,,,,,,,,
17,PT11M22.00S,2026-01-31T03:19:48.7Z,1,REGULAR,freethrow,1 of 1,[],203110,,,1610612744,5,2,2026-01-31T03:19:48Z,170000,False,,,0,,D. Green Free Throw 1 of 1 (3 PTS),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
19,PT11M00.00S,2026-01-31T03:21:06.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,6.1268068331143235,61.029411764705884,1610612765,5,4,2026-01-31T03:21:13Z,190000,False,-55.0,5.0,1,left,A. Thompson driving Layup (2 PTS) (J. Duren 2 AST),"[1641709, 1631105]",1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,5.53,J. Duren,1631105.0,2.0,,,,,,,,,
