actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-28T02:11:05.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-28T02:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-03-28T02:11:07.3Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2026-03-28T02:11:07Z,40000,False,,,0,,Jump Ball A. Sarr vs. K. Porziņģis: Tip to B. Carrington,"[1642267, 1642259, 204001]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Sarr,1642259.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-03-28T02:11:22.5Z,1,REGULAR,2pt,Jump Shot,[],1642267,80.46977660972405,71.56862745098039,1610612764,0,2,2026-03-28T02:11:51Z,70000,False,108.0,131.0,1,right,B. Carrington 16' pullup Jump Shot (2 PTS),[1642267],1610612764.0,WAS,pullup,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Right Center,16.97,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2026-03-28T02:11:39.9Z,1,REGULAR,3pt,Jump Shot,[],204001,30.009855453350852,21.813725490196077,1610612744,3,2,2026-03-28T02:13:58Z,80000,False,141.0,230.0,1,left,K. Porziņģis 26' 3PT  (3 PTS) (G. Santos 1 AST),"[204001, 1630611]",1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,26.94,Made,3.0,G. Santos,1630611.0,1.0,,,,,,,,,,,,,,
10,PT11M22.00S,2026-03-28T02:11:53.5Z,1,REGULAR,turnover,out-of-bounds,[],1642267,,,1610612764,3,2,2026-03-28T02:15:47Z,92500,False,,,0,,B. Carrington bad pass out-of-bounds TURNOVER (1 TO),[1642267],1610612764.0,WAS,bad pass,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Center,,,,,,,1.0,,,,,,,,,,,,,
12,PT11M04.00S,2026-03-28T02:12:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",204001,5.305519053876466,50.245098039215684,1610612744,5,2,2026-03-28T02:12:10Z,120000,False,-1.0,-3.0,1,left,K. Porziņģis cutting Layup (5 PTS) (D. Green 1 AST),"[204001, 203110]",1610612744.0,GSW,cutting,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,0.29,Made,5.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
14,PT10M52.00S,2026-03-28T02:12:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642848,85.20039421813404,59.068627450980394,1610612764,5,2,2026-03-28T02:17:11Z,140000,False,45.0,87.0,1,right,MISS T. Johnson 9' pullup Shot,[1642848],1610612764.0,WAS,pullup,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),8-16 Center,9.77,Missed,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2026-03-28T02:12:19.7Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,5,2,2026-03-28T02:17:36Z,150000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M48.00S,2026-03-28T02:12:22.8Z,1,REGULAR,foul,personal,[],1642848,,,1610612744,5,2,2026-03-28T02:12:39Z,160000,False,,,0,,T. Johnson personal FOUL (1 PF),"[1642848, 1641764]",1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,202026.0,1.0,0.0,Podziemski,1641764.0,,,,
18,PT10M42.00S,2026-03-28T02:12:45.7Z,1,REGULAR,3pt,Jump Shot,[],204001,27.513140604467807,12.74509803921569,1610612744,5,2,2026-03-28T02:12:50Z,180000,False,186.0,206.0,1,left,MISS K. Porziņģis 27' 3PT,[204001],1610612744.0,GSW,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,27.78,Missed,,,,,,,,,,,,,,,,,,
