actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-16T01:14:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T01:14:47Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-16T01:14:50.2Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2021-11-16T01:14:50Z,40000,,,0,,Jump Ball D. Ayton vs. K. Towns: Tip to C. Paul,"[101108, 1629028, 1626157]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Ayton,1629028.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-16T01:15:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203109,19.136005256241788,40.931372549019606,1610612756,0,0,2021-11-16T01:15:09Z,70000,45.0,127.0,1,left,MISS J. Crowder 13' pullup Shot,[203109],1610612756.0,PHX,pullup,,,Crowder,J. Crowder,,,,,13.52,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-11-16T01:15:06.1Z,1,REGULAR,rebound,defensive,[],201976,,,1610612750,0,0,2021-11-16T01:15:09Z,80000,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2021-11-16T01:15:13.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,75.24638633377135,12.745098039215685,1610612750,0,0,2021-11-16T01:15:21Z,90000,-186.0,180.0,1,right,MISS K. Towns 25' pullup 3PT,[1626157],1610612750.0,MIN,pullup,,,Towns,K. Towns,,,,,25.92,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-11-16T01:15:19.6Z,1,REGULAR,rebound,offensive,[],1630162,,,1610612750,0,0,2021-11-16T01:15:19Z,100000,,,0,,A. Edwards REBOUND (Off:1 Def:0),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-11-16T01:15:26.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630162,95.22010512483574,4.166666666666666,1610612750,0,0,2021-11-16T01:15:32Z,110000,-229.0,-8.0,1,right,MISS A. Edwards 3PT,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-11-16T01:15:29.4Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,0,2021-11-16T01:15:32Z,120000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M14.00S,2021-11-16T01:15:33.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,6.258212877792378,49.50980392156863,1610612756,0,2,2021-11-16T01:16:38Z,130000,2.0,6.0,1,left,D. Booker running finger roll Layup (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,running finger roll,,,Booker,D. Booker,,,,,0.68,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,
14,PT10M53.00S,2021-11-16T01:15:57.2Z,1,REGULAR,turnover,traveling,[],1626157,,,1610612750,0,2,2021-11-16T01:16:05Z,140000,,,0,,K. Towns traveling TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,,1148.0,1.0,,,,,,,,,
