actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-26T01:10:51.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T01:10:51Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-26T01:10:54.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-02-26T01:10:54Z,40000,,,0,,Jump Ball J. Embiid vs. K. Towns: Tip to T. Maxey,"[1630178, 203954, 1626157]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-26T01:11:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,89.43823915900131,41.66666666666667,1610612755,0,0,2022-02-26T01:12:15Z,70000,-42.0,47.0,1,right,MISS T. Harris 6' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,6.27,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-02-26T01:11:16.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2022-02-26T01:11:16Z,80000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-02-26T01:11:19.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,0,0,2022-02-26T01:11:19Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-02-26T01:11:33.6Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612755,0,0,2022-02-26T01:11:42Z,100000,,,0,,K. Towns shooting personal FOUL (1 PF) (Embiid 2 FT),"[1626157, 203954]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,,,,1627962.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,
12,PT11M32.00S,2022-02-26T01:11:59.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,0,1,2022-02-26T01:12:19Z,120000,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,
13,PT11M32.00S,2022-02-26T01:11:59.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,0,1,2022-02-26T01:12:19Z,130000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M29.00S,2022-02-26T01:12:02.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,1,2022-02-26T01:12:19Z,140000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,13.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT11M16.00S,2022-02-26T01:12:31.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,16.376478318002626,49.50980392156863,1610612750,0,1,2022-02-26T01:12:34Z,150000,2.0,101.0,1,left,MISS K. Towns 10' Hook,[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,10.14,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2022-02-26T01:12:33.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,1,2022-02-26T01:12:34Z,160000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,15.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
17,PT11M03.00S,2022-02-26T01:12:44.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,91.67214191852825,50.0,1610612755,0,1,2022-02-26T01:12:57Z,170000,0.0,26.0,1,right,MISS J. Embiid Layup,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,2.58,Missed,,,,,,,,,,,,,,,,,,,
18,PT11M01.00S,2022-02-26T01:12:46.1Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,0,1,2022-02-26T01:12:57Z,180000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,17.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
19,PT10M43.00S,2022-02-26T01:13:04.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,29.6484888304862,70.58823529411765,1610612750,3,1,2022-02-26T01:13:18Z,190000,-103.0,226.0,1,left,D. Russell 24' 3PT step back (3 PTS) (A. Edwards 1 AST),"[1626156, 1630162]",1610612750.0,MIN,step back,,,Russell,D. Russell,,,,,24.85,Made,,,,,,,3.0,,,,A. Edwards,1630162.0,1.0,,,,,,
21,PT10M43.00S,2022-02-26T01:13:07.7Z,1,REGULAR,foul,personal,['1freethrow'],1629680,,,1610612750,3,1,2022-02-26T01:13:18Z,210000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Russell 1 FT),"[1629680, 1626156]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,2530.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,
23,PT10M43.00S,2022-02-26T01:13:36.8Z,1,REGULAR,freethrow,1 of 1,[],1626156,,,1610612750,4,1,2022-02-26T01:13:36Z,230000,,,0,,D. Russell Free Throw 1 of 1 (4 PTS),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,
24,PT10M35.00S,2022-02-26T01:13:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,90.88370565045992,34.068627450980394,1610612755,4,1,2022-02-26T01:14:36Z,240000,-80.0,33.0,1,right,MISS J. Embiid 8' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,8.63,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M32.00S,2022-02-26T01:13:49.9Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,4,1,2022-02-26T01:13:52Z,250000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,24.0,,,,,,,1.0,1.0,0.0,,,,,,,,,
